experiment_id,instcode,genus,accenumb,agent_id,doi,days_to_heading,plant_height,thousand_kernel_weight,powdery_mildew,leaf_rust,yellow_rust,septoria_tritici_ssp,protein_content,sds_sedimentation_volume,name,description,campaign,site_name,longitude,latitude,remarks
1,ITA383,Triticum,TA00040,NA,NA,126,111,NA,0,0,NA,0,NA,NA,CREA2005_SAL,"S. Angelo Lodigiano_plot size: 1.36 square meters (6 rows, 1 m long), unreplicated; mechanical sowing; winter and spring varieties",2005-2006,S. Angelo Lodigiano,9.42247,45.24503,NA
1,ITA383,Triticum,TA00041,NA,NA,147,109,NA,2,0,NA,0,NA,NA,CREA2005_SAL,"S. Angelo Lodigiano_plot size: 1.36 square meters (6 rows, 1 m long), unreplicated; mechanical sowing; winter and spring varieties",2005-2006,S. Angelo Lodigiano,9.42247,45.24503,NA
1,ITA383,Triticum,TA00043,NA,NA,140,107,NA,2,2,NA,0,NA,NA,CREA2005_SAL,"S. Angelo Lodigiano_plot size: 1.36 square meters (6 rows, 1 m long), unreplicated; mechanical sowing; winter and spring varieties",2005-2006,S. Angelo Lodigiano,9.42247,45.24503,NA
1,ITA383,Triticum,TA00047,NA,NA,126,104,NA,7,0,NA,0,NA,NA,CREA2005_SAL,"S. Angelo Lodigiano_plot size: 1.36 square meters (6 rows, 1 m long), unreplicated; mechanical sowing; winter and spring varieties",2005-2006,S. Angelo Lodigiano,9.42247,45.24503,NA
1,ITA383,Triticum,TA00048,NA,NA,126,99,NA,2,2,NA,0,NA,NA,CREA2005_SAL,"S. Angelo Lodigiano_plot size: 1.36 square meters (6 rows, 1 m long), unreplicated; mechanical sowing; winter and spring varieties",2005-2006,S. Angelo Lodigiano,9.42247,45.24503,NA
1,ITA383,Triticum,TA00049,NA,NA,122,105,NA,0,0,NA,0,NA,NA,CREA2005_SAL,"S. Angelo Lodigiano_plot size: 1.36 square meters (6 rows, 1 m long), unreplicated; mechanical sowing; winter and spring varieties",2005-2006,S. Angelo Lodigiano,9.42247,45.24503,NA
1,ITA383,Triticum,TA00050,NA,NA,123,117,NA,2,0,NA,0,NA,NA,CREA2005_SAL,"S. Angelo Lodigiano_plot size: 1.36 square meters (6 rows, 1 m long), unreplicated; mechanical sowing; winter and spring varieties",2005-2006,S. Angelo Lodigiano,9.42247,45.24503,NA
1,ITA383,Triticum,TA00051,NA,NA,123,99,NA,0,2,NA,0,NA,NA,CREA2005_SAL,"S. Angelo Lodigiano_plot size: 1.36 square meters (6 rows, 1 m long), unreplicated; mechanical sowing; winter and spring varieties",2005-2006,S. Angelo Lodigiano,9.42247,45.24503,NA
1,ITA383,Triticum,TA00052,NA,NA,130,85,NA,4,4,NA,0,NA,NA,CREA2005_SAL,"S. Angelo Lodigiano_plot size: 1.36 square meters (6 rows, 1 m long), unreplicated; mechanical sowing; winter and spring varieties",2005-2006,S. Angelo Lodigiano,9.42247,45.24503,NA
1,ITA383,Triticum,TA00052,NA,NA,127,82,NA,0,0,NA,0,NA,NA,CREA2005_SAL,"S. Angelo Lodigiano_plot size: 1.36 square meters (6 rows, 1 m long), unreplicated; mechanical sowing; winter and spring varieties",2005-2006,S. Angelo Lodigiano,9.42247,45.24503,NA
1,ITA383,Triticum,TA00053,NA,NA,123,111,NA,0,2,NA,0,NA,NA,CREA2005_SAL,"S. Angelo Lodigiano_plot size: 1.36 square meters (6 rows, 1 m long), unreplicated; mechanical sowing; winter and spring varieties",2005-2006,S. Angelo Lodigiano,9.42247,45.24503,NA
1,ITA383,Triticum,TA00056,NA,NA,127,109,NA,2,0,NA,0,NA,NA,CREA2005_SAL,"S. Angelo Lodigiano_plot size: 1.36 square meters (6 rows, 1 m long), unreplicated; mechanical sowing; winter and spring varieties",2005-2006,S. Angelo Lodigiano,9.42247,45.24503,NA
1,ITA383,Triticum,TA00057,NA,NA,128,79,NA,2,0,NA,0,NA,NA,CREA2005_SAL,"S. Angelo Lodigiano_plot size: 1.36 square meters (6 rows, 1 m long), unreplicated; mechanical sowing; winter and spring varieties",2005-2006,S. Angelo Lodigiano,9.42247,45.24503,NA
1,ITA383,Triticum,TA00058,NA,NA,123,93,NA,4,0,NA,0,NA,NA,CREA2005_SAL,"S. Angelo Lodigiano_plot size: 1.36 square meters (6 rows, 1 m long), unreplicated; mechanical sowing; winter and spring varieties",2005-2006,S. Angelo Lodigiano,9.42247,45.24503,NA
1,ITA383,Triticum,TA00059,NA,NA,124,94,NA,4,2,NA,0,NA,NA,CREA2005_SAL,"S. Angelo Lodigiano_plot size: 1.36 square meters (6 rows, 1 m long), unreplicated; mechanical sowing; winter and spring varieties",2005-2006,S. Angelo Lodigiano,9.42247,45.24503,NA
1,ITA383,Triticum,TA00060,NA,NA,123,98,NA,2,2,NA,0,NA,NA,CREA2005_SAL,"S. Angelo Lodigiano_plot size: 1.36 square meters (6 rows, 1 m long), unreplicated; mechanical sowing; winter and spring varieties",2005-2006,S. Angelo Lodigiano,9.42247,45.24503,NA
1,ITA383,Triticum,TA00061,NA,NA,123,96,NA,2,2,NA,0,NA,NA,CREA2005_SAL,"S. Angelo Lodigiano_plot size: 1.36 square meters (6 rows, 1 m long), unreplicated; mechanical sowing; winter and spring varieties",2005-2006,S. Angelo Lodigiano,9.42247,45.24503,NA
1,ITA383,Triticum,TA00062,NA,NA,130,87,NA,4,0,NA,0,NA,NA,CREA2005_SAL,"S. Angelo Lodigiano_plot size: 1.36 square meters (6 rows, 1 m long), unreplicated; mechanical sowing; winter and spring varieties",2005-2006,S. Angelo Lodigiano,9.42247,45.24503,NA
1,ITA383,Triticum,TA00065,NA,NA,126,77,NA,0,2,NA,0,NA,NA,CREA2005_SAL,"S. Angelo Lodigiano_plot size: 1.36 square meters (6 rows, 1 m long), unreplicated; mechanical sowing; winter and spring varieties",2005-2006,S. Angelo Lodigiano,9.42247,45.24503,NA
1,ITA383,Triticum,TA00066,NA,NA,126,73,NA,0,2,NA,0,NA,NA,CREA2005_SAL,"S. Angelo Lodigiano_plot size: 1.36 square meters (6 rows, 1 m long), unreplicated; mechanical sowing; winter and spring varieties",2005-2006,S. Angelo Lodigiano,9.42247,45.24503,NA
1,ITA383,Triticum,TA00067,NA,NA,120,71,NA,4,0,NA,0,NA,NA,CREA2005_SAL,"S. Angelo Lodigiano_plot size: 1.36 square meters (6 rows, 1 m long), unreplicated; mechanical sowing; winter and spring varieties",2005-2006,S. Angelo Lodigiano,9.42247,45.24503,NA
1,ITA383,Triticum,TA00070,NA,NA,126,68,NA,0,0,NA,0,NA,NA,CREA2005_SAL,"S. Angelo Lodigiano_plot size: 1.36 square meters (6 rows, 1 m long), unreplicated; mechanical sowing; winter and spring varieties",2005-2006,S. Angelo Lodigiano,9.42247,45.24503,NA
1,ITA383,Triticum,TA00071,NA,NA,125,94,NA,4,0,NA,0,NA,NA,CREA2005_SAL,"S. Angelo Lodigiano_plot size: 1.36 square meters (6 rows, 1 m long), unreplicated; mechanical sowing; winter and spring varieties",2005-2006,S. Angelo Lodigiano,9.42247,45.24503,NA
1,ITA383,Triticum,TA00072,NA,NA,127,67,NA,0,4,NA,0,NA,NA,CREA2005_SAL,"S. Angelo Lodigiano_plot size: 1.36 square meters (6 rows, 1 m long), unreplicated; mechanical sowing; winter and spring varieties",2005-2006,S. Angelo Lodigiano,9.42247,45.24503,NA
1,ITA383,Triticum,TA00075,NA,NA,126,66,NA,0,2,NA,0,NA,NA,CREA2005_SAL,"S. Angelo Lodigiano_plot size: 1.36 square meters (6 rows, 1 m long), unreplicated; mechanical sowing; winter and spring varieties",2005-2006,S. Angelo Lodigiano,9.42247,45.24503,NA
1,ITA383,Triticum,TA00076,NA,NA,130,73,NA,0,0,NA,0,NA,NA,CREA2005_SAL,"S. Angelo Lodigiano_plot size: 1.36 square meters (6 rows, 1 m long), unreplicated; mechanical sowing; winter and spring varieties",2005-2006,S. Angelo Lodigiano,9.42247,45.24503,NA
1,ITA383,Triticum,TA00077,NA,NA,140,101,NA,0,2,NA,0,NA,NA,CREA2005_SAL,"S. Angelo Lodigiano_plot size: 1.36 square meters (6 rows, 1 m long), unreplicated; mechanical sowing; winter and spring varieties",2005-2006,S. Angelo Lodigiano,9.42247,45.24503,NA
1,ITA383,Triticum,TA00078,NA,NA,128,96,NA,0,0,NA,2,NA,NA,CREA2005_SAL,"S. Angelo Lodigiano_plot size: 1.36 square meters (6 rows, 1 m long), unreplicated; mechanical sowing; winter and spring varieties",2005-2006,S. Angelo Lodigiano,9.42247,45.24503,NA
1,ITA383,Triticum,TA00079,NA,NA,131,73,NA,2,2,NA,0,NA,NA,CREA2005_SAL,"S. Angelo Lodigiano_plot size: 1.36 square meters (6 rows, 1 m long), unreplicated; mechanical sowing; winter and spring varieties",2005-2006,S. Angelo Lodigiano,9.42247,45.24503,NA
1,ITA383,Triticum,TA00080,NA,NA,126,67,NA,0,0,NA,2,NA,NA,CREA2005_SAL,"S. Angelo Lodigiano_plot size: 1.36 square meters (6 rows, 1 m long), unreplicated; mechanical sowing; winter and spring varieties",2005-2006,S. Angelo Lodigiano,9.42247,45.24503,NA
1,ITA383,Triticum,TA00081,NA,NA,127,77,NA,2,2,NA,2,NA,NA,CREA2005_SAL,"S. Angelo Lodigiano_plot size: 1.36 square meters (6 rows, 1 m long), unreplicated; mechanical sowing; winter and spring varieties",2005-2006,S. Angelo Lodigiano,9.42247,45.24503,NA
1,ITA383,Triticum,TA00082,NA,NA,127,73,NA,0,4,NA,0,NA,NA,CREA2005_SAL,"S. Angelo Lodigiano_plot size: 1.36 square meters (6 rows, 1 m long), unreplicated; mechanical sowing; winter and spring varieties",2005-2006,S. Angelo Lodigiano,9.42247,45.24503,NA
1,ITA383,Triticum,TA00083,NA,NA,139,72,NA,0,4,NA,0,NA,NA,CREA2005_SAL,"S. Angelo Lodigiano_plot size: 1.36 square meters (6 rows, 1 m long), unreplicated; mechanical sowing; winter and spring varieties",2005-2006,S. Angelo Lodigiano,9.42247,45.24503,NA
1,ITA383,Triticum,TA00083,NA,NA,134,88,NA,0,4,NA,0,NA,NA,CREA2005_SAL,"S. Angelo Lodigiano_plot size: 1.36 square meters (6 rows, 1 m long), unreplicated; mechanical sowing; winter and spring varieties",2005-2006,S. Angelo Lodigiano,9.42247,45.24503,NA
1,ITA383,Triticum,TA00084,NA,NA,128,77,NA,0,2,NA,0,NA,NA,CREA2005_SAL,"S. Angelo Lodigiano_plot size: 1.36 square meters (6 rows, 1 m long), unreplicated; mechanical sowing; winter and spring varieties",2005-2006,S. Angelo Lodigiano,9.42247,45.24503,NA
1,ITA383,Triticum,TA00085,NA,NA,130,79,NA,0,2,NA,0,NA,NA,CREA2005_SAL,"S. Angelo Lodigiano_plot size: 1.36 square meters (6 rows, 1 m long), unreplicated; mechanical sowing; winter and spring varieties",2005-2006,S. Angelo Lodigiano,9.42247,45.24503,NA
1,ITA383,Triticum,TA00086,NA,NA,154,96,NA,4,0,NA,0,NA,NA,CREA2005_SAL,"S. Angelo Lodigiano_plot size: 1.36 square meters (6 rows, 1 m long), unreplicated; mechanical sowing; winter and spring varieties",2005-2006,S. Angelo Lodigiano,9.42247,45.24503,NA
1,ITA383,Triticum,TA00087,NA,NA,127,114,NA,2,2,NA,2,NA,NA,CREA2005_SAL,"S. Angelo Lodigiano_plot size: 1.36 square meters (6 rows, 1 m long), unreplicated; mechanical sowing; winter and spring varieties",2005-2006,S. Angelo Lodigiano,9.42247,45.24503,NA
1,ITA383,Triticum,TA00088,NA,NA,136,125,NA,0,0,NA,0,NA,NA,CREA2005_SAL,"S. Angelo Lodigiano_plot size: 1.36 square meters (6 rows, 1 m long), unreplicated; mechanical sowing; winter and spring varieties",2005-2006,S. Angelo Lodigiano,9.42247,45.24503,NA
1,ITA383,Triticum,TA00089,NA,NA,126,84,NA,0,2,NA,0,NA,NA,CREA2005_SAL,"S. Angelo Lodigiano_plot size: 1.36 square meters (6 rows, 1 m long), unreplicated; mechanical sowing; winter and spring varieties",2005-2006,S. Angelo Lodigiano,9.42247,45.24503,NA
1,ITA383,Triticum,TA00093,NA,NA,126,103,NA,0,2,NA,0,NA,NA,CREA2005_SAL,"S. Angelo Lodigiano_plot size: 1.36 square meters (6 rows, 1 m long), unreplicated; mechanical sowing; winter and spring varieties",2005-2006,S. Angelo Lodigiano,9.42247,45.24503,NA
1,ITA383,Triticum,TA00094,NA,NA,132,94,NA,7,0,NA,0,NA,NA,CREA2005_SAL,"S. Angelo Lodigiano_plot size: 1.36 square meters (6 rows, 1 m long), unreplicated; mechanical sowing; winter and spring varieties",2005-2006,S. Angelo Lodigiano,9.42247,45.24503,NA
1,ITA383,Triticum,TA00096,NA,NA,136,124,NA,0,2,NA,0,NA,NA,CREA2005_SAL,"S. Angelo Lodigiano_plot size: 1.36 square meters (6 rows, 1 m long), unreplicated; mechanical sowing; winter and spring varieties",2005-2006,S. Angelo Lodigiano,9.42247,45.24503,NA
1,ITA383,Triticum,TA00097,NA,NA,127,114,NA,0,2,NA,0,NA,NA,CREA2005_SAL,"S. Angelo Lodigiano_plot size: 1.36 square meters (6 rows, 1 m long), unreplicated; mechanical sowing; winter and spring varieties",2005-2006,S. Angelo Lodigiano,9.42247,45.24503,NA
1,ITA383,Triticum,TA00098,NA,NA,126,108,NA,4,2,NA,0,NA,NA,CREA2005_SAL,"S. Angelo Lodigiano_plot size: 1.36 square meters (6 rows, 1 m long), unreplicated; mechanical sowing; winter and spring varieties",2005-2006,S. Angelo Lodigiano,9.42247,45.24503,NA
1,ITA383,Triticum,TA00099,NA,NA,128,103,NA,2,2,NA,0,NA,NA,CREA2005_SAL,"S. Angelo Lodigiano_plot size: 1.36 square meters (6 rows, 1 m long), unreplicated; mechanical sowing; winter and spring varieties",2005-2006,S. Angelo Lodigiano,9.42247,45.24503,NA
1,ITA383,Triticum,TA00100,NA,NA,130,63,NA,7,0,NA,0,NA,NA,CREA2005_SAL,"S. Angelo Lodigiano_plot size: 1.36 square meters (6 rows, 1 m long), unreplicated; mechanical sowing; winter and spring varieties",2005-2006,S. Angelo Lodigiano,9.42247,45.24503,NA
1,ITA383,Triticum,TA00101,NA,NA,126,118,NA,0,0,NA,0,NA,NA,CREA2005_SAL,"S. Angelo Lodigiano_plot size: 1.36 square meters (6 rows, 1 m long), unreplicated; mechanical sowing; winter and spring varieties",2005-2006,S. Angelo Lodigiano,9.42247,45.24503,NA
1,ITA383,Triticum,TA00102,NA,NA,126,98,NA,0,2,NA,0,NA,NA,CREA2005_SAL,"S. Angelo Lodigiano_plot size: 1.36 square meters (6 rows, 1 m long), unreplicated; mechanical sowing; winter and spring varieties",2005-2006,S. Angelo Lodigiano,9.42247,45.24503,NA
1,ITA383,Triticum,TA00106,NA,NA,126,69,NA,4,2,NA,0,NA,NA,CREA2005_SAL,"S. Angelo Lodigiano_plot size: 1.36 square meters (6 rows, 1 m long), unreplicated; mechanical sowing; winter and spring varieties",2005-2006,S. Angelo Lodigiano,9.42247,45.24503,NA
1,ITA383,Triticum,TA00108,NA,NA,126,71,NA,0,2,NA,0,NA,NA,CREA2005_SAL,"S. Angelo Lodigiano_plot size: 1.36 square meters (6 rows, 1 m long), unreplicated; mechanical sowing; winter and spring varieties",2005-2006,S. Angelo Lodigiano,9.42247,45.24503,NA
1,ITA383,Triticum,TA00109,NA,NA,132,73,NA,7,2,NA,0,NA,NA,CREA2005_SAL,"S. Angelo Lodigiano_plot size: 1.36 square meters (6 rows, 1 m long), unreplicated; mechanical sowing; winter and spring varieties",2005-2006,S. Angelo Lodigiano,9.42247,45.24503,NA
1,ITA383,Triticum,TA00109,NA,NA,127,90,NA,0,2,NA,0,NA,NA,CREA2005_SAL,"S. Angelo Lodigiano_plot size: 1.36 square meters (6 rows, 1 m long), unreplicated; mechanical sowing; winter and spring varieties",2005-2006,S. Angelo Lodigiano,9.42247,45.24503,NA
1,ITA383,Triticum,TA00110,NA,NA,127,122,NA,0,0,NA,0,NA,NA,CREA2005_SAL,"S. Angelo Lodigiano_plot size: 1.36 square meters (6 rows, 1 m long), unreplicated; mechanical sowing; winter and spring varieties",2005-2006,S. Angelo Lodigiano,9.42247,45.24503,NA
