genotype,days_to_heading_BLUE,plant_height_BLUE,thousand_kernel_weight_BLUE,powdery_mildew_BLUE,leaf_rust_BLUE,septoria_tritici_ssp_BLUE,protein_content_BLUE,sds_sedimentation_volume_BLUE
TA00860,NA,NA,NA,NA,NA,NA,NA,NA
TA00861,NA,NA,NA,NA,NA,NA,NA,NA
TA00862,NA,NA,NA,NA,NA,NA,NA,NA
TA00863,NA,NA,NA,NA,NA,NA,NA,NA
TA00864,NA,NA,NA,NA,NA,NA,NA,NA
TA00865,NA,NA,NA,NA,NA,NA,NA,NA
TA00866,NA,NA,NA,NA,NA,NA,NA,NA
TA00867,NA,NA,NA,NA,NA,NA,NA,NA
TA00868,NA,NA,NA,NA,NA,NA,NA,NA
TA00869,NA,NA,NA,NA,NA,NA,NA,NA
TA00870,NA,NA,NA,NA,NA,NA,NA,NA
TA00871,NA,NA,NA,NA,NA,NA,NA,NA
TA00872,NA,NA,NA,NA,NA,NA,NA,NA
TA00873,NA,NA,NA,NA,NA,NA,NA,NA
TA00874,NA,NA,NA,NA,NA,NA,NA,NA
TA00875,NA,NA,NA,NA,NA,NA,NA,NA
TA00876,NA,NA,NA,NA,NA,NA,NA,NA
TA00877,NA,NA,NA,NA,NA,NA,NA,NA
TA00878,NA,NA,NA,NA,NA,NA,NA,NA
TA00879,NA,NA,NA,NA,NA,NA,NA,NA
TA00880,NA,NA,NA,NA,NA,NA,NA,NA
TA00881,135.68,134.26,41.58,1.53,2.57,1.75,15.27,49.72
TA00882,134.25,133.37,42.42,1.53,1.12,2.65,15.1,46.84
TA00883,132.68,127.53,44.39,1.95,1.98,3.19,14.82,48.9
TA00884,134.11,131.82,43.42,1.11,1.72,2.78,15.11,45.38
TA00885,133.01,127.22,43.74,3.16,1.95,2.69,15.97,44.49
TA00886,134.75,135.64,41.61,1.53,1.31,1.75,14.13,42.34
TA00887,134.26,128.9,44,1.95,1.72,1.75,15.03,40.01
TA00888,134.19,136.98,42.97,2.57,2.43,2.42,15.57,42.7
TA00889,134.3,134.27,43.84,1.95,2.47,2.87,16.02,42.48
TA00890,133.43,132.42,46.26,2.57,2.37,2.58,15.95,42.13
TA00891,NA,NA,NA,NA,NA,NA,NA,NA
TA00892,NA,NA,NA,NA,NA,NA,NA,NA
TA00893,NA,NA,NA,NA,NA,NA,NA,NA
TA00894,NA,NA,NA,NA,NA,NA,NA,NA
TA00895,NA,NA,NA,NA,NA,NA,NA,NA
TA00896,127.55,81.8,NA,-0.97,-0.5,NA,NA,NA
TA00897,NA,NA,NA,NA,NA,NA,NA,NA
TA00898,NA,NA,NA,NA,NA,NA,NA,NA
TA00899,NA,NA,NA,NA,NA,NA,NA,NA
TA00900,NA,NA,NA,NA,NA,NA,NA,NA
TA00901,124.22,96.51,41.35,2.57,2.79,3.11,13.69,46.07
TA00902,138.88,113.26,NA,2.02,0.75,NA,NA,NA
TA00903,NA,NA,NA,NA,NA,NA,NA,NA
TA00904,133.76,145.59,47.74,1.95,1.33,2.03,15.7,32.56
TA00905,122.52,96.06,40.31,1.78,1.6,3.26,16.64,26.85
TA00906,137.4,134.08,40.88,2.07,1.85,2.82,16.18,47.73
TA00907,137.9,105.62,NA,1.45,3.29,NA,NA,NA
TA00908,137.58,110.65,NA,2.58,2.33,2.86,NA,NA
TA00909,134.37,128.44,43.74,2.26,2.84,2.38,15.93,33.68
TA00910,134.7,132.77,47.84,1.75,3.02,2.39,16,37.65
TA00911,129.43,61.26,NA,1.45,1.41,NA,NA,NA
TA00912,132.53,59.78,NA,1.45,1.41,NA,NA,NA
TA00913,129.43,91.26,NA,2.92,0.98,NA,NA,NA
TA00914,139.26,79.78,NA,3.43,4.51,NA,NA,NA
TA00915,NA,NA,NA,NA,NA,NA,NA,NA
TA00916,137.85,69.96,NA,-0.5,2.94,NA,NA,NA
TA00917,NA,NA,NA,NA,NA,NA,NA,NA
TA00918,125.07,79.53,NA,0.48,2.94,NA,NA,NA
TA00919,128.8,52.22,NA,1.45,1.41,NA,NA,NA
TA00920,132.85,68.27,NA,3.43,0.98,NA,NA,NA
TA00921,138.58,95.62,NA,3.43,3.29,NA,NA,NA
TA00922,146.85,106.48,NA,-0.5,1.41,NA,NA,NA
TA00923,127.77,50.93,NA,0.98,2.86,3.26,NA,NA
TA00924,129.54,65.42,NA,3.26,0.65,3.1,NA,NA
TA00925,125.07,59.82,NA,0.48,2.63,NA,NA,NA
TA00926,127.85,69.78,NA,1.45,1.41,NA,NA,NA
TA00927,127.43,66.45,NA,2.62,0.94,2.86,NA,NA
TA00928,125.17,52.6,NA,2.92,1.41,NA,NA,NA
TA00929,126.74,53.21,NA,0.98,0.65,2.86,NA,NA
TA00930,127.16,57.78,NA,2.62,1.76,2.86,NA,NA
TA00931,123.48,65.52,NA,2.92,1.85,NA,NA,NA
TA00932,128.48,66.78,NA,1.45,2.94,NA,NA,NA
TA00933,127.21,50.65,NA,1.45,1.41,NA,NA,NA
TA00934,124.17,56.91,NA,0.48,0.98,NA,NA,NA
TA00935,131.02,75.91,NA,1.45,1.41,NA,NA,NA
TA00936,126.9,58.87,NA,1.45,2.51,NA,NA,NA
TA00937,127.17,73.83,NA,0.48,1.41,NA,NA,NA
TA00938,128.48,71.26,NA,0.48,0.98,NA,NA,NA
TA00939,127.53,77.48,NA,-0.5,1.41,NA,NA,NA
TA00940,127.9,72,NA,0.48,1.85,NA,NA,NA
TA00941,137.85,95.14,NA,-0.5,1.41,NA,NA,NA
TA00942,126.53,87.78,NA,0.48,1.41,NA,NA,NA
TA00943,127.21,79,NA,0.48,2.63,NA,NA,NA
TA00944,124.65,57.35,NA,2.92,1.85,NA,NA,NA
TA00945,135.31,83.48,NA,0.96,0.94,3.18,NA,NA
TA00946,121.44,102.13,43.86,0.91,1.09,3.19,15.32,42.17
TA00947,121.56,96.64,40.1,1.75,2.98,2.93,13.84,26.36
TA00948,123.27,104.85,38.09,2.11,2.87,2.56,13.66,30.86
TA00949,125.48,74.56,NA,1.97,2.63,NA,NA,NA
TA00950,131.48,85.39,NA,-0.5,1.41,NA,NA,NA
TA00951,133.33,103.55,NA,-0.34,0.65,2.86,NA,NA
TA00952,126.48,66.39,NA,1.97,1.85,NA,NA,NA
TA00953,126.85,60.04,NA,0.99,1.85,NA,NA,NA
TA00954,144.65,80.89,NA,2.96,0.94,2.86,NA,NA
TA00955,127.72,72.56,NA,3.93,0.94,2.86,NA,NA
TA00956,143.14,57.35,NA,2.92,1.85,NA,NA,NA
TA00957,127.85,74.3,NA,1.45,NA,NA,NA,NA
TA00958,127.53,65.17,NA,1.45,1.41,NA,NA,NA
TA00959,126.53,74.3,NA,3.89,1.85,NA,NA,NA
TA00960,127.74,64.6,NA,3.26,1.24,3.02,NA,NA
TA00961,124.26,61.46,38.7,1.83,2.11,3.53,13.77,62.13
TA00962,130.12,52.48,NA,1.45,0.98,NA,NA,NA
TA00963,127.85,53.21,NA,1.45,2.51,NA,NA,NA
TA00964,127.06,52.95,33.42,1.41,2.19,2.96,14.9,56.85
TA00965,130.85,72.35,NA,2.92,1.41,NA,NA,NA
TA00966,129.95,59.09,32.8,2.91,2.44,3.66,15.09,59.58
TA00967,129.8,75.36,NA,6.45,1.41,NA,NA,NA
TA00968,128.48,64.82,NA,1.45,2.63,NA,NA,NA
TA00969,127,64.55,NA,3.26,0.94,3.18,NA,NA
TA00970,126.14,100.71,42.8,2.26,1.52,3.53,15.39,39.47
TA00971,121.94,93.24,46.99,3.3,1.52,3.51,15.54,51.1
TA00972,126.48,86.48,NA,3.43,3.29,NA,NA,NA
TA00973,123.8,70.84,NA,1.45,1.41,NA,NA,NA
TA00974,123.1,68.1,22.3,0.99,4.93,3.12,NA,NA
TA00975,126.85,71.39,NA,1.45,3.72,NA,NA,NA
TA00976,129.95,90.87,NA,2.99,2.63,NA,NA,NA
TA00977,123.43,89.78,NA,3.43,1.41,NA,NA,NA
TA00978,125.63,69.56,45.04,1.75,3.37,3.62,13.71,48.72
TA00979,124.75,65.52,NA,3.94,2.94,NA,NA,NA
TA00980,133.21,88.57,NA,1.45,3.72,NA,NA,NA
TA00981,130.07,75.17,NA,0.48,1.41,NA,NA,NA
TA00982,133.17,87.48,NA,0.99,1.85,NA,NA,NA
TA00983,131.65,56.13,NA,-0.5,1.85,NA,NA,NA
TA00984,153.75,86.92,NA,0.48,1.85,NA,NA,NA
TA00985,139.85,99.18,NA,-0.5,1.85,NA,NA,NA
TA00986,136.48,95.87,NA,0.48,1.41,NA,NA,NA
TA00987,132.07,57.35,NA,-0.5,0.98,NA,NA,NA
TA00988,141.4,91.97,NA,2.87,1.03,3.1,NA,NA
TA00989,NA,NA,NA,NA,NA,NA,NA,NA
TA00990,129.43,58.69,NA,2.92,1.41,NA,NA,NA
TA00991,131.02,53.21,NA,1.45,2.63,NA,NA,NA
TA00992,131.97,54.43,NA,0.01,1.85,NA,NA,NA
TA00993,132.29,69.43,NA,1.45,4.51,NA,NA,NA
TA00994,130.7,74.91,NA,2.92,3.29,NA,NA,NA
TA00995,131.65,51.26,NA,1.45,1.41,NA,NA,NA
TA00996,136.85,106.13,NA,3.43,1.85,NA,NA,NA
TA00997,129.12,53.69,NA,7.48,1.85,NA,NA,NA
TA00998,NA,NA,NA,NA,NA,NA,NA,NA
TA00999,123.8,78.82,NA,5.94,2.51,NA,NA,NA
TA01000,123.48,74.69,NA,3.94,2.51,NA,NA,NA
TA01001,120.8,NA,NA,0.99,1.85,NA,NA,NA
TA01002,130.07,78.82,NA,1.97,2.51,NA,NA,NA
TA01003,131.65,51.87,NA,2.99,2.51,NA,NA,NA
TA01004,125.41,62.25,36.18,2.67,3.11,2.73,13.57,47.25
TA01005,134.07,54.3,NA,-0.5,1.41,NA,NA,NA
TA01006,137.75,54.78,NA,1.45,0.98,NA,NA,NA
TA01007,NA,58.82,NA,2.92,0.98,NA,NA,NA
TA01008,134.48,71.61,NA,1.45,1.41,NA,NA,NA
TA01009,136.99,87.45,NA,3.43,3.29,NA,NA,NA
TA01010,124.75,63.34,NA,2.99,3.29,NA,NA,NA
TA01011,128.48,54.91,NA,4.45,3.29,NA,NA,NA
TA01012,129.43,NA,NA,3.5,4.07,NA,NA,NA
TA01013,136.2,95.41,NA,1.63,0.94,2.86,NA,NA
TA01014,127.85,NA,NA,4.01,1.85,NA,NA,NA
TA01015,123.8,66.39,NA,4.41,2.51,NA,NA,NA
TA01016,122.12,67.09,NA,0.99,3.72,NA,NA,NA
TA01017,122.12,60.87,NA,0.53,5.29,NA,NA,NA
TA01018,128.17,55.17,NA,5.43,0.98,NA,NA,NA
TA01019,127.85,58.21,NA,-0.5,0.98,NA,NA,NA
TA01020,122.75,56.26,NA,1.45,1.85,NA,NA,NA
TA01021,122.12,55.78,NA,2.92,3.29,NA,NA,NA
TA01022,134.17,64.78,NA,-0.5,2.51,NA,NA,NA
TA01023,127.39,59.91,NA,1.97,1.85,NA,NA,NA
TA01024,130.39,60.04,NA,0.99,2.63,NA,NA,NA
TA01025,130.99,133.66,42.22,2.96,2.59,3.08,16.2,25.36
TA01026,131.02,77.7,NA,4.92,2.51,NA,NA,NA
TA01027,132.44,133.49,44.78,2.98,2.67,2.83,15.45,37.37
TA01028,136.47,120.51,40.48,2.26,2.8,2,16.53,42.47
TA01029,134.02,125.1,44.26,1.89,1.59,2.19,16.2,42.8
TA01030,136.31,120.52,41.23,2.44,4.03,2.39,16.82,47.43
TA01031,139.27,110.79,40.07,2.6,2.95,2.56,16.08,42.35
TA01032,136.03,128.79,41.89,2.11,2.52,3.07,16.15,46.09
TA01033,131.58,131.63,43.28,2.64,2.61,2.56,14.74,25.48
TA01034,131.9,129.99,41.04,2.99,2.47,2.46,14.72,24.27
TA01035,128.12,84.78,NA,2.99,2.94,NA,NA,NA
TA01036,128.75,85.52,NA,4.97,2.51,NA,NA,NA
TA01037,126.85,86.13,NA,3.94,3.29,NA,NA,NA
TA01038,130.39,82.83,NA,3.5,2.94,NA,NA,NA
TA01039,130.39,82.22,NA,2.99,2.94,NA,NA,NA
TA01040,127.8,84.05,NA,4.53,1.85,NA,NA,NA
TA01041,127.53,86.26,NA,2.99,2.63,NA,NA,NA
TA01042,127.85,83.44,NA,4.45,2.51,NA,NA,NA
TA01043,128.17,83.44,NA,4.45,2.51,NA,NA,NA
TA01044,132.63,64.91,NA,3.5,1.85,NA,NA,NA
TA01045,120.71,54.36,NA,3.43,4.51,NA,NA,NA
TA01047,129.48,66.13,NA,4.45,2.51,NA,NA,NA
TA01048,128.17,79.78,NA,4.41,4.85,NA,NA,NA
TA01049,133.95,85.62,NA,3.94,3.29,NA,NA,NA
TA01050,124.12,62.48,NA,2.48,4.85,NA,NA,NA
TA01051,131.9,92.83,NA,1.97,2.63,NA,NA,NA
TA01052,127.53,51.13,NA,3.94,2.19,NA,NA,NA
TA01053,128.17,52.96,NA,-0.5,1.41,NA,NA,NA
TA01054,122.75,51.39,NA,1.45,0.98,NA,NA,NA
TA01055,129.43,84.66,NA,2.99,1.85,NA,NA,NA
TA01056,129.53,96.23,NA,7.53,2.94,NA,NA,NA
TA01057,122.08,85.99,NA,6.04,0.94,3.1,NA,NA
TA01058,131.43,49.92,NA,4.28,2.25,3.02,NA,NA
TA01059,131.68,58.06,NA,8.66,3.6,3.1,NA,NA
TA01060,132.17,66.74,NA,0.48,0.98,NA,NA,NA
TA01061,130.52,66.77,NA,4.65,1.17,3.18,NA,NA
TA01062,132.81,64,NA,6.36,1.89,3.02,NA,NA
TA01063,138.96,103.38,NA,0,1.76,2.86,NA,NA
TA01064,138.52,103.1,NA,1.01,1.76,2.86,NA,NA
TA01065,137.54,94.64,NA,1.33,1.76,3.02,NA,NA
TA01066,142.65,98.54,NA,3,2,2.86,NA,NA
TA01067,137.48,126.01,NA,1.46,2.56,2.86,NA,NA
TA01068,NA,103.54,NA,5.43,1.41,NA,NA,NA
TA01069,121.2,79.72,40.4,1.89,1.9,2.85,15.02,50.51
TA01070,120.67,76.14,42.21,1.67,1.77,3.22,14.61,54.28
TA01071,127.21,NA,NA,1.5,1.85,NA,NA,NA
TA01072,126.12,67.86,NA,4.92,3.72,NA,NA,NA
TA01073,128.83,55.5,NA,1.61,2.21,3.18,NA,NA
TA01074,142.43,72.45,NA,-0.5,2.63,NA,NA,NA
TA01075,151.43,88.89,NA,1.97,4.07,NA,NA,NA
TA01076,133.07,57.22,NA,2.92,0.98,NA,NA,NA
TA01077,130.17,71.26,NA,1.45,2.63,NA,NA,NA
TA01078,122.75,75.17,NA,5.43,6.85,NA,NA,NA
TA01079,122.75,63.09,NA,6.45,4.98,NA,NA,NA
TA01080,145.79,87.24,NA,2.96,1.7,2.94,NA,NA
TA01081,144.7,97.35,NA,2.48,2.19,NA,NA,NA
TA01082,125.39,69.43,NA,5.94,2.54,NA,NA,NA
TA01083,137.43,101.4,NA,3.96,1.47,3.02,NA,NA
TA01084,133.63,92.22,NA,2.48,2.63,NA,NA,NA
TA01085,128.56,93.44,NA,5.34,3.78,2.94,NA,NA
TA01086,135.97,111.28,NA,4.97,2.54,NA,NA,NA
TA01087,134.31,98.82,NA,1.29,1.76,2.86,NA,NA
TA01088,125.43,82.18,NA,3.61,2.5,2.94,NA,NA
TA01089,118.83,105.37,42.72,2.62,3.72,3.17,15.71,35.41
TA01090,123.8,87,NA,2.99,2.94,NA,NA,NA
TA01091,131.18,78.83,NA,1.31,0.94,3.02,NA,NA
TA01092,127.21,63.44,NA,5.04,3.72,NA,NA,NA
TA01093,128.8,59.78,NA,5.94,2.63,NA,NA,NA
TA01094,129.85,52.48,NA,0.99,1.85,NA,NA,NA
TA01095,123.48,70.04,NA,2.99,3.41,NA,NA,NA
TA01096,133.2,62.29,NA,1.66,1.68,2.86,NA,NA
TA01097,139.88,89.47,NA,3.34,2.09,2.86,NA,NA
TA01098,130,69.55,NA,4.67,2.22,2.86,NA,NA
TA01099,129.74,67.06,NA,3.38,1.56,2.86,NA,NA
TA01100,129.49,72.77,32.87,1.1,2.12,2.97,14.07,38.46
TA01101,130.58,58.44,NA,1.04,1.85,NA,NA,NA
TA01102,126.68,77.4,41.44,1.14,2.33,4.11,16.15,52.72
TA01103,132.95,70.25,39.1,2.33,6.45,NA,16.43,50.02
TA01104,126.68,64.1,NA,7.02,3.18,2.94,NA,NA
TA01105,128.12,73.31,34.15,2.88,1.61,4.11,13.53,40.62
TA01106,138.95,104.66,NA,0.53,2.19,NA,NA,NA
TA01107,130.17,64.91,NA,3.94,2.19,NA,NA,NA
TA01108,124.75,58.82,NA,5.43,2.19,NA,NA,NA
TA01109,125.7,63.34,NA,2.92,1.76,NA,NA,NA
TA01110,132.21,50.39,NA,1.45,0.98,NA,NA,NA
TA01111,131.89,82.77,NA,2.27,2.42,2.86,NA,NA
TA01112,132.48,68.82,NA,1.45,1.85,NA,NA,NA
TA01113,131.21,84.66,NA,0.48,2.19,NA,NA,NA
TA01114,131.26,58.44,NA,2.92,2.63,NA,NA,NA
TA01115,127.85,58.69,NA,4.92,2.54,NA,NA,NA
TA01116,122.75,54.3,NA,2.92,2.63,NA,NA,NA
TA01117,119.24,61.87,NA,1.45,1.85,NA,NA,NA
TA01118,119.24,55.52,NA,1.45,2.63,NA,NA,NA
TA01119,NA,50.04,NA,1.45,1.85,NA,NA,NA
TA01120,141.7,94.21,NA,1.63,0.94,2.86,NA,NA
TA01121,125.17,61.26,NA,2.48,1.85,NA,NA,NA
TA01122,116.07,56.26,NA,1.97,1.85,NA,NA,NA
TA01123,126.79,60.39,NA,6.26,5.84,2.94,NA,NA
TA01124,125.17,48.09,NA,-0.5,1.41,NA,NA,NA
TA01125,133.36,99.66,NA,0.48,1.41,NA,NA,NA
TA01126,131.63,87.48,NA,1.45,1.41,NA,NA,NA
TA01127,132.31,99.66,NA,0.99,1.41,NA,NA,NA
TA01128,144.43,114.88,NA,3.5,2.63,NA,NA,NA
TA01129,129.43,75.78,NA,7.48,3.72,NA,NA,NA
TA01130,125.7,50.39,NA,6.5,1.85,NA,NA,NA
TA01131,128.41,92.87,NA,2.62,0.94,3.18,NA,NA
TA01132,127.43,93.75,NA,2.32,3.17,3.1,NA,NA
TA01133,124.02,76.51,NA,2.48,2.51,NA,NA,NA
TA01134,135.73,133.09,36.64,1.95,3.8,2.91,13.55,27.53
TA01135,135.68,139.38,42.92,2.46,2.58,3.08,14.72,30.45
TA01136,132.3,133.35,39.28,2.82,3.5,3.67,15.42,30.91
TA01137,140.48,74.66,NA,0.48,2.19,NA,NA,NA
TA01138,133.48,88.92,NA,8.5,2.94,NA,NA,NA
TA01139,137.43,100.38,NA,1.96,0.94,3.1,NA,NA
TA01140,140.29,94.74,NA,0.32,0.65,3.1,NA,NA
TA01141,133.75,55.17,NA,1.45,1.76,NA,NA,NA
TA01142,130.39,70.39,NA,2.48,1.41,NA,NA,NA
TA01143,130.07,56.39,NA,1.45,1.85,NA,NA,NA
TA01144,138.17,94.4,NA,-0.5,1.41,NA,NA,NA
TA01145,136.26,94.4,NA,2.48,1.41,NA,NA,NA
TA01146,137.85,90.75,NA,3.5,1.41,NA,NA,NA
TA01147,125.7,69.18,NA,6.06,1.85,NA,NA,NA
TA01148,128.75,59.69,NA,4.01,0.98,NA,NA,NA
TA01149,140.26,107.7,NA,5.04,1.85,NA,NA,NA
TA01150,130.85,76.39,NA,5.99,3.72,NA,NA,NA
TA01151,131.48,71.36,NA,2.53,1.85,NA,NA,NA
TA01152,137.68,70.62,NA,2.48,2.51,NA,NA,NA
TA01153,123.92,71.87,NA,2.53,1.41,NA,NA,NA
TA01154,141.22,115.07,NA,2.35,0.65,3.18,NA,NA
TA01155,NA,NA,NA,NA,NA,NA,NA,NA
TA01156,133.07,70.87,NA,1.97,1.41,NA,NA,NA
TA01157,130.7,64.18,NA,4.97,1.41,NA,NA,NA
TA01158,131.97,51.51,NA,4.01,1.41,NA,NA,NA
TA01159,146.48,59.18,NA,1.45,1.76,NA,NA,NA
TA01160,130.7,67.83,NA,1.97,2.19,NA,NA,NA
TA01161,129.39,64.18,NA,0.48,0.98,NA,NA,NA
TA01162,132.43,50.78,NA,2.48,1.76,NA,NA,NA
TA01163,131.65,53.09,NA,0.48,1.41,NA,NA,NA
TA01164,123.48,64.78,NA,0.99,0.98,NA,NA,NA
TA01165,123.43,64.78,NA,2.48,0.98,NA,NA,NA
TA01166,129.26,61.61,NA,7.53,4.98,NA,NA,NA
TA01167,127.85,61,NA,7.53,3.29,NA,NA,NA
TA01168,129.75,64.91,NA,7.53,1.85,NA,NA,NA
TA01169,136.99,54.05,NA,5.09,1.85,NA,NA,NA
TA01170,121.97,73.69,NA,5.55,4.51,NA,NA,NA
TA01171,123.97,73.69,NA,7.01,4.51,NA,NA,NA
TA01172,124.61,78.09,NA,2.01,2.51,NA,NA,NA
TA01173,NA,72.6,NA,7.53,4.19,NA,NA,NA
TA01174,138.39,106.47,NA,5.35,1.24,3.18,NA,NA
TA01175,139.85,110.14,NA,5.04,1.41,NA,NA,NA
TA01176,139.12,101,NA,4.53,1.41,NA,NA,NA
TA01177,NA,50.52,NA,3.5,3.29,NA,NA,NA
TA01178,126.65,80.04,NA,4.53,1.76,NA,NA,NA
TA01179,126.65,70.91,NA,4.45,2.19,NA,NA,NA
TA01180,NA,NA,NA,NA,NA,NA,NA,NA
TA01181,133.48,72.48,NA,0.48,3.29,NA,NA,NA
TA01182,133.48,71.87,NA,-0.5,3.29,NA,NA,NA
TA01183,139.9,95.27,NA,0.48,2.63,NA,NA,NA
TA01184,136.17,102.7,NA,2.48,1.85,NA,NA,NA
TA01185,139.76,91.84,NA,1.63,1.47,2.94,NA,NA
TA01186,139.68,103.31,NA,2.92,1.85,NA,NA,NA
TA01187,141.04,96.23,NA,1.45,1.85,NA,NA,NA
TA01188,139.36,103.18,NA,3.94,3.29,NA,NA,NA
TA01189,136.26,62.6,NA,3.43,1.41,NA,NA,NA
TA01190,128.8,64.18,NA,6.45,6.07,NA,NA,NA
TA01191,128.8,71.51,NA,1.45,1.76,NA,NA,NA
TA01192,130.53,54.91,NA,-0.5,0.98,NA,NA,NA
TA01193,128.48,61.51,NA,2.92,4.19,NA,NA,NA
TA01194,125.39,57.6,NA,2.92,4.54,NA,NA,NA
TA01195,127.75,56.39,NA,3.94,2.63,NA,NA,NA
TA01196,131.95,57.35,NA,1.97,1.85,NA,NA,NA
TA01197,127.8,106.74,NA,2.99,1.85,NA,NA,NA
TA01198,132.29,85.2,NA,3.31,1.76,3.26,NA,NA
TA01199,142.81,104.07,NA,3.96,1.24,3.02,NA,NA
TA01200,122.87,89.42,38.08,3,4.23,2.89,13.4,34.24
TA01201,123.73,83.13,34.5,3.85,6.2,3.36,14.79,41.27
TA01202,120.44,77.46,30.86,3.33,4.86,3.37,15.39,43.74
TA01203,127.92,50.65,NA,2.48,2.98,NA,NA,NA
TA01204,134.39,100.27,NA,0.48,2.51,NA,NA,NA
TA01205,128.24,61,NA,7.53,3.72,NA,NA,NA
TA01206,NA,NA,NA,NA,NA,NA,NA,NA
TA01207,136.85,79.4,NA,2.06,0.98,NA,NA,NA
TA01208,134.75,95.27,NA,-0.5,0.98,NA,NA,NA
TA01209,133.48,101,NA,0.01,2.19,NA,NA,NA
TA01210,132.85,92.22,NA,0.99,1.76,NA,NA,NA
TA01211,135.16,105.53,NA,6.91,2.65,3.26,NA,NA
TA01212,135.9,105.39,NA,4.01,1.41,NA,NA,NA
TA01213,130.34,NA,NA,2.99,0.98,NA,NA,NA
TA01214,128.24,55.04,NA,2.48,2.19,NA,NA,NA
TA01215,130.07,95.75,NA,4.41,3.41,NA,NA,NA
TA01216,140.17,97.57,NA,2.48,1.41,NA,NA,NA
TA01217,137.63,90.75,NA,1.97,1.41,NA,NA,NA
TA01218,138.17,90.75,NA,1.97,1.41,NA,NA,NA
TA01219,136.9,93.18,NA,2.48,3.29,NA,NA,NA
TA01220,121.44,106.25,38.04,2.44,3.47,3.42,14.09,45.66
TA01221,120.1,105.02,40.11,3.41,4.63,3.1,14.42,44.38
TA01222,139.7,91.71,NA,1.63,2.73,3.18,NA,NA
TA01223,139.7,90.83,NA,1.97,2.73,3.02,NA,NA
TA01224,133.39,73.31,NA,4.45,2.19,NA,NA,NA
TA01225,129.63,62.85,NA,2.27,0.94,NA,NA,NA
TA01226,126.97,62.12,NA,4.92,3.29,NA,NA,NA
TA01227,126.34,79.91,NA,4.45,2.51,NA,NA,NA
TA01228,125.34,82.48,NA,3.94,3.29,NA,NA,NA
TA01229,137.85,93.31,NA,1.97,0.98,NA,NA,NA
TA01230,128.24,50.04,NA,3.5,2.19,NA,NA,NA
TA01231,149.8,70.65,NA,4.41,2.51,NA,NA,NA
TA01232,133.07,65.78,NA,2.92,3.72,NA,NA,NA
TA01233,NA,NA,NA,NA,NA,NA,NA,NA
TA01235,NA,NA,NA,NA,NA,NA,NA,NA
TA01236,NA,NA,NA,NA,NA,NA,NA,NA
TA01237,NA,NA,NA,NA,NA,NA,NA,NA
TA01238,NA,NA,NA,NA,NA,NA,NA,NA
TA01239,NA,NA,NA,NA,NA,NA,NA,NA
TA01240,NA,NA,NA,NA,NA,NA,NA,NA
TA01241,128.73,68.36,45.32,1.67,1.92,2.65,12.95,46.62
TA01242,NA,NA,NA,NA,NA,NA,NA,NA
TA01243,NA,NA,NA,NA,NA,NA,NA,NA
TA01244,NA,NA,NA,NA,NA,NA,NA,NA
TA01245,128.43,67.63,41.62,2.11,2.84,2.39,12.13,47.29
TA01246,NA,NA,NA,NA,NA,NA,NA,NA
TA01247,NA,NA,NA,NA,NA,NA,NA,NA
TA01248,121.23,60.63,41.05,1.67,3.39,3.61,13.06,55
TA01249,NA,NA,NA,NA,NA,NA,NA,NA
TA01250,129.42,66.21,35.52,1.67,2.69,3.19,13.48,50.79
TA01251,118.91,62.15,47.48,1.67,3.69,2.77,13,50.98
TA01252,NA,NA,NA,NA,NA,NA,NA,NA
TA01253,127.19,65.29,31.98,1.99,3.29,2.68,14.05,59.29
TA01255,NA,NA,NA,NA,NA,NA,NA,NA
TA01256,NA,NA,NA,NA,NA,NA,NA,NA
TA01257,NA,NA,NA,NA,NA,NA,NA,NA
TA01258,NA,NA,NA,NA,NA,NA,NA,NA
TA01259,NA,NA,NA,NA,NA,NA,NA,NA
TA01260,NA,NA,NA,NA,NA,NA,NA,NA
TA01261,NA,NA,NA,NA,NA,NA,NA,NA
TA01262,NA,NA,NA,NA,NA,NA,NA,NA
TA01263,NA,NA,NA,NA,NA,NA,NA,NA
TA01264,NA,NA,NA,NA,NA,NA,NA,NA
TA01265,NA,NA,NA,NA,NA,NA,NA,NA
TA01266,NA,NA,NA,NA,NA,NA,NA,NA
TA01267,NA,NA,NA,NA,NA,NA,NA,NA
TA01268,NA,NA,NA,NA,NA,NA,NA,NA
TA01270,NA,NA,NA,NA,NA,NA,NA,NA
TA01271,NA,NA,NA,NA,NA,NA,NA,NA
TA01272,NA,NA,NA,NA,NA,NA,NA,NA
TA01273,NA,NA,NA,NA,NA,NA,NA,NA
TA01274,NA,NA,NA,NA,NA,NA,NA,NA
TA01275,NA,NA,NA,NA,NA,NA,NA,NA
TA01276,NA,NA,NA,NA,NA,NA,NA,NA
TA01277,NA,NA,NA,NA,NA,NA,NA,NA
TA01278,NA,NA,NA,NA,NA,NA,NA,NA
TA01280,NA,NA,NA,NA,NA,NA,NA,NA
TA01282,NA,NA,NA,NA,NA,NA,NA,NA
TA01283,NA,NA,NA,NA,NA,NA,NA,NA
TA01285,NA,NA,NA,NA,NA,NA,NA,NA
TA01286,NA,NA,NA,NA,NA,NA,NA,NA
TA01287,NA,NA,NA,NA,NA,NA,NA,NA
TA01290,NA,NA,NA,NA,NA,NA,NA,NA
TA01291,NA,NA,NA,NA,NA,NA,NA,NA
