genotype,days_to_heading_BLUE,plant_height_BLUE,thousand_kernel_weight_BLUE,powdery_mildew_BLUE,leaf_rust_BLUE,septoria_tritici_ssp_BLUE,protein_content_BLUE,sds_sedimentation_volume_BLUE
TA00159,127.93,56.51,30.98,NA,3.72,2.48,14.49,55.29
TA00160,121.38,91.68,NA,1.35,3.48,3.31,NA,NA
TA00161,125.15,65.26,NA,1.97,3.48,3.31,NA,NA
TA00162,127,73.53,NA,1.35,0.21,3.08,NA,NA
TA00163,NA,101.98,NA,NA,NA,NA,NA,NA
TA00164,NA,99.63,NA,NA,NA,NA,NA,NA
TA00165,121.26,67.82,42.6,NA,4.24,3.49,14.92,53.5
TA00166,131.62,98.19,NA,1.24,2.08,NA,NA,NA
TA00167,NA,116.62,NA,NA,NA,NA,NA,NA
TA00168,136.7,110.39,NA,0.99,1.62,3.08,NA,NA
TA00169,119.4,106.66,NA,1.45,2.79,3.31,NA,NA
TA00170,NA,118.62,NA,NA,NA,NA,NA,NA
TA00171,126.11,60.08,NA,NA,NA,NA,NA,NA
TA00172,125.38,98.12,NA,1.97,2.11,3.31,NA,NA
TA00173,132.65,128.09,NA,0.73,2.85,3.08,NA,NA
TA00174,NA,101.74,NA,0.73,2.74,3.31,NA,NA
TA00175,130.46,127.33,50.1,1.52,1.64,2.9,15.7,36.37
TA00176,130.48,120.02,NA,1.45,1.62,3.08,NA,NA
TA00177,128.38,54.69,NA,1.35,2.74,3.08,NA,NA
TA00178,133.79,123.61,NA,2.09,0.7,2.86,NA,NA
TA00179,131.92,110.15,NA,0.64,1.52,3.08,NA,NA
TA00180,123.07,75.79,NA,2.85,2.11,3.08,NA,NA
TA00181,125.8,110.32,NA,3.98,1.37,3.08,NA,NA
TA00182,133.48,108.7,NA,2.64,4.99,3.31,NA,NA
TA00183,NA,132.93,NA,NA,NA,NA,NA,NA
TA00184,131.7,123.59,NA,0.45,3.74,3.08,NA,NA
TA00185,137.05,117.14,NA,2.64,1.41,2.86,NA,NA
TA00186,NA,98.02,NA,NA,NA,NA,NA,NA
TA00187,NA,79.19,NA,NA,NA,NA,NA,NA
TA00188,131.18,71.88,NA,1.35,2.85,3.08,NA,NA
TA00189,NA,76.58,NA,NA,NA,NA,NA,NA
TA00190,139.96,101.57,NA,1.35,1.48,2.86,NA,NA
TA00191,128.96,65.92,NA,NA,NA,NA,NA,NA
TA00192,132.27,128.93,46.78,2.29,2.57,2.38,14.04,45.53
TA00193,121.37,85.46,38.56,1.93,2.77,3.39,14.8,38.95
TA00194,NA,127.76,NA,NA,NA,NA,NA,NA
TA00195,123.09,78.45,NA,0.09,2.06,3.31,NA,NA
TA00196,142.5,119.44,34.15,2.29,2.47,2.73,14.69,34.52
TA00197,138.8,121.16,NA,2.1,2.21,3.08,NA,NA
TA00198,125.43,91.52,37.26,2.67,2.27,3.33,14.39,25.93
TA00199,124.23,107.38,NA,2.85,5.32,4.86,NA,NA
TA00200,123.71,58.28,37.48,1.92,3.56,2.93,14.11,51.5
TA00201,132.8,114.97,NA,0.1,2.21,2.86,NA,NA
TA00202,130.54,78.75,NA,NA,NA,NA,NA,NA
TA00203,126.62,100.27,NA,0.62,1.4,NA,NA,NA
TA00204,126.13,95.85,NA,2.55,1.87,3.31,NA,NA
TA00205,136.44,129.64,NA,1.53,2.87,3.08,NA,NA
TA00206,134,124.98,NA,1,2.13,4.63,NA,NA
TA00207,134.7,128.32,NA,0.99,2.7,4.4,NA,NA
TA00208,127.49,64,NA,0.1,1.48,3.08,NA,NA
TA00209,124.49,58.72,NA,0.73,2.11,3.08,NA,NA
TA00210,121.04,78.22,39.38,1.17,2.56,3.08,16.05,39.71
TA00211,118.32,104.68,34.36,1.68,2.46,3.05,17.1,61.43
TA00212,124.44,66.97,34.4,1.51,2.22,3.23,13.94,47.25
TA00213,132.92,124.04,NA,1.53,1.95,3.08,NA,NA
TA00214,130.61,120.48,NA,0.54,2.16,3.08,NA,NA
TA00215,128,83.62,NA,3.98,3.37,3.31,NA,NA
TA00216,129.79,79.01,NA,0.99,3.12,3.08,NA,NA
TA00217,135.4,96.89,NA,-0.45,1.62,2.86,NA,NA
TA00218,134.66,116.82,NA,2.19,1.96,2.86,NA,NA
TA00219,126.38,112.25,NA,3.98,-0.52,3.08,NA,NA
TA00220,128.96,115.22,NA,2.85,1.48,2.86,NA,NA
TA00221,122.47,62.85,36.83,2.94,3.4,4.32,13.66,48.04
TA00222,126.65,68.55,36.68,1.98,2.18,4.85,14,48.11
TA00223,131.07,69.92,NA,NA,NA,NA,NA,NA
TA00224,128.87,120.99,NA,1.56,2.25,2.86,NA,NA
TA00225,132.33,128.37,59.34,1.74,0.7,2.62,15.85,40.16
TA00226,132.71,134.29,64.29,2.66,0.91,2.96,16.21,40.04
TA00227,124.46,102.88,40.01,2.41,3.01,3.54,14.22,49.83
TA00228,130.71,136.95,50.55,2.78,1.52,2.83,15.54,45.68
TA00229,133.85,133.82,43.65,1.42,1,3.36,15.46,33.63
TA00230,133.73,135.98,46.17,3.12,0.67,2.6,14.4,38.06
TA00231,133.15,137.28,45.16,2.45,1.33,2.38,14.92,40.53
TA00232,129.38,77.24,NA,3.98,2.11,3.08,NA,NA
TA00233,122.38,79.81,NA,2.1,3.48,3.54,NA,NA
TA00234,NA,76.58,NA,NA,NA,NA,NA,NA
