accenumb,agent_id,doi,days_to_heading,thousand_kernel_weight,plant_height,name,description,campaign
C0103942,NA,NA,227,42.9,NA,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0103944,NA,NA,NA,60.6,98,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0104191,NA,NA,NA,42.8,112,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0104191,NA,NA,241,32.1,NA,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0104191,NA,NA,232,46.8,NA,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0104273,NA,NA,NA,37,80,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0104792,NA,NA,241,38.6,NA,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0104792,NA,NA,235,48.05,NA,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0104824,NA,NA,NA,51.5,98,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0104824,NA,NA,238,34.3,NA,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0104824,NA,NA,224,54.2,NA,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0104825,NA,NA,NA,45,99,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0104825,NA,NA,NA,50.1,102,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0104825,NA,NA,237,44.8,NA,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0104825,NA,NA,227,52.6,NA,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0104923,NA,NA,NA,48.7,85,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0105393,NA,NA,NA,41.4,89,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0105794,NA,NA,NA,41.3,132,ZS261,Triticum aestivum trials Piešťany,1973-1974
C0100246,NA,NA,207,47.4,143,ZS313,Triticum aestivum trials Piešťany,1976-1977
C0100246,NA,NA,215,51.6,127.5,ZS313,Triticum aestivum trials Piešťany,1976-1977
C0100246,NA,NA,208,56,113.3,ZS313,Triticum aestivum trials Piešťany,1976-1977
C0100261,NA,NA,215,54.6,85,ZS313,Triticum aestivum trials Piešťany,1976-1977
C0100262,NA,NA,195,47.1,92,ZS313,Triticum aestivum trials Piešťany,1976-1977
C0100262,NA,NA,216,58.8,88,ZS313,Triticum aestivum trials Piešťany,1976-1977
C0100262,NA,NA,206,52.7,90,ZS313,Triticum aestivum trials Piešťany,1976-1977
C0100263,NA,NA,195,54,94,ZS313,Triticum aestivum trials Piešťany,1976-1977
C0100263,NA,NA,211,62.7,77.3,ZS313,Triticum aestivum trials Piešťany,1976-1977
C0100263,NA,NA,205,58.3,85.7,ZS313,Triticum aestivum trials Piešťany,1976-1977
C0100264,NA,NA,218,45.9,101,ZS313,Triticum aestivum trials Piešťany,1976-1977
C0100274,NA,NA,200,32.5,98,ZS313,Triticum aestivum trials Piešťany,1976-1977
C0100274,NA,NA,219,44.4,88.6,ZS313,Triticum aestivum trials Piešťany,1976-1977
C0100274,NA,NA,210,38.1,93.3,ZS313,Triticum aestivum trials Piešťany,1976-1977
C0100283,NA,NA,197,50,102,ZS313,Triticum aestivum trials Piešťany,1976-1977
C0100283,NA,NA,215,61.3,94,ZS313,Triticum aestivum trials Piešťany,1976-1977
C0100283,NA,NA,206,55.1,98,ZS313,Triticum aestivum trials Piešťany,1976-1977
C0100287,NA,NA,196,45.6,87,ZS313,Triticum aestivum trials Piešťany,1976-1977
C0100287,NA,NA,216,51.2,86,ZS313,Triticum aestivum trials Piešťany,1976-1977
C0100287,NA,NA,209,48.5,86,ZS313,Triticum aestivum trials Piešťany,1976-1977
