genotype,days_to_heading_BLUE,plant_height_BLUE,thousand_kernel_weight_BLUE
C0600468,76.76,98.82,43.66
C0600469,79.3,78.99,38.58
C0600470,75.54,NA,48.79
C0600472,NA,78.3,40.07
C0600473,NA,NA,NA
C0600474,NA,78.62,NA
C0600475,NA,NA,NA
C0600478,NA,NA,NA
C0600479,NA,NA,NA
C0600480,NA,NA,NA
C0600481,NA,NA,NA
C0600482,NA,NA,NA
C0600483,NA,NA,NA
C0600485,73.85,69.45,44.14
C0600487,NA,NA,NA
C0600488,NA,NA,NA
C0600490,NA,NA,NA
C0600492,NA,NA,NA
C0600493,NA,NA,NA
C0600494,68.99,70.11,46.74
C0600495,NA,NA,NA
C0600496,NA,NA,NA
C0600497,NA,NA,NA
C0600498,NA,NA,NA
C0600500,NA,NA,NA
C0600501,NA,NA,NA
C0600502,NA,NA,NA
C0600503,NA,NA,NA
C0600504,NA,NA,NA
C0600505,NA,NA,NA
C0600506,NA,NA,NA
C0600507,NA,NA,NA
C0600508,NA,79.44,44.13
C0600509,NA,NA,NA
C0600510,NA,69.89,42.34
C0600511,NA,NA,NA
C0600512,NA,NA,NA
C0600513,NA,85.26,47.22
C0600514,NA,NA,NA
C0600515,NA,NA,NA
C0600516,NA,NA,NA
C0600517,NA,NA,NA
C0600518,NA,NA,NA
C0600520,NA,82.89,43.31
C0600521,78.95,NA,46.58
C0600522,NA,NA,NA
C0600524,NA,76.8,38.87
C0600525,NA,NA,NA
C0600527,71.16,88.01,51.24
C0600533,NA,NA,NA
C0600534,NA,NA,NA
C0600535,NA,NA,NA
C0600537,NA,NA,NA
C0600538,NA,NA,NA
C0600540,NA,NA,NA
C0600541,NA,NA,NA
C0600544,NA,NA,NA
C0600545,NA,NA,NA
C0600546,NA,NA,NA
C0600547,NA,NA,NA
C0600548,NA,NA,NA
C0600550,NA,NA,NA
C0600551,68.83,70.35,43.16
C0600552,NA,NA,NA
C0600553,NA,NA,NA
C0600554,NA,NA,NA
C0600555,NA,NA,NA
C0600556,NA,NA,NA
C0600557,NA,89.89,39.75
C0600559,NA,NA,NA
C0600560,NA,NA,NA
C0600561,NA,NA,NA
C0600562,NA,NA,41.57
C0600563,NA,NA,NA
C0600564,NA,NA,NA
C0600565,NA,NA,NA
C0600567,73.89,71.19,46.43
C0600568,72.85,72.29,46.18
C0600569,NA,NA,NA
C0600571,NA,78.44,NA
C0600572,NA,NA,NA
C0600574,NA,NA,NA
C0600575,NA,NA,NA
C0600577,NA,NA,NA
C0600579,NA,NA,NA
C0600583,NA,94.86,44.82
C0600584,NA,NA,NA
C0600586,NA,NA,NA
C0600590,NA,NA,NA
C0600593,74.69,83.96,NA
C0600595,72.61,86.43,44.06
C0600596,NA,NA,NA
C0600597,NA,92.18,43.21
C0600598,NA,83.85,47.42
C0600600,NA,92.76,42.56
C0600601,75.78,91.81,44.95
C0600604,75.83,73.34,47.7
C0600605,NA,NA,NA
C0600607,NA,NA,NA
C0600608,NA,97.41,44.32
C0600611,NA,NA,NA
C0600615,NA,NA,NA
C0600619,NA,NA,NA
C0600622,74.85,74.04,44.59
C0600623,NA,NA,NA
C0600624,NA,NA,NA
C0600625,NA,NA,NA
C0600626,NA,NA,NA
C0600627,NA,NA,NA
C0600628,NA,NA,NA
C0600629,NA,NA,NA
C0600630,NA,NA,NA
C0600632,NA,NA,NA
C0600633,NA,NA,NA
C0600635,NA,84.15,45.96
C0600636,NA,NA,NA
C0600642,NA,NA,NA
C0600643,NA,NA,NA
C0600644,NA,NA,NA
C0600645,NA,87.41,45.51
C0600646,NA,91.75,45.81
C0600648,NA,NA,NA
C0600651,NA,NA,NA
C0600655,NA,NA,NA
C0600656,NA,NA,NA
C0600658,NA,NA,NA
C0600659,NA,NA,NA
C0600663,NA,NA,NA
C0600667,NA,77.07,NA
C0600668,NA,NA,NA
C0600669,NA,77.59,NA
C0600670,NA,NA,NA
C0600671,61.82,56.58,49.8
C0600673,NA,NA,NA
C0600675,NA,NA,NA
C0600677,NA,NA,NA
C0600678,NA,NA,NA
C0600684,NA,NA,NA
C0600685,NA,NA,NA
C0600686,NA,NA,NA
C0600688,70.83,74.14,47.23
C0600689,NA,NA,NA
C0600690,NA,NA,NA
C0600696,NA,NA,NA
C0600697,NA,NA,NA
C0600698,NA,NA,NA
C0600702,NA,NA,NA
C0600703,NA,NA,NA
C0600704,NA,NA,NA
C0600706,NA,NA,NA
C0600709,NA,74.1,43.67
C0600710,NA,78.24,43.24
C0600711,NA,NA,41.05
C0600712,NA,NA,NA
C0600713,NA,NA,NA
C0600714,NA,76.13,43.41
C0600715,NA,NA,NA
C0600716,NA,NA,NA
C0600717,NA,75.98,NA
C0600718,NA,61.96,45.43
C0600719,NA,80.57,45.44
C0600720,NA,NA,NA
C0600721,NA,71.73,36.42
C0600722,NA,74.27,46.09
C0600723,NA,NA,NA
C0600724,NA,82.42,44.8
C0600725,NA,NA,NA
C0600727,NA,NA,NA
C0600728,NA,77.07,43.44
