accenumb,campaign,trait,value
C0500339,1997-1998,plant_height,89
C0500339,1997-1998,thousand_kernel_weight,44.3
C0500339,1997-1998,thousand_kernel_weight,44
C0500340,1997-1998,days_to_heading,227
C0500340,1997-1998,plant_height,86.8
C0500340,1997-1998,plant_height,86
C0500340,1997-1998,thousand_kernel_weight,46.8
C0500340,1997-1998,thousand_kernel_weight,46
C0500422,1997-1998,days_to_heading,228
C0500422,1997-1998,days_to_heading,230
C0500422,1997-1998,plant_height,92.1
C0500422,1997-1998,plant_height,92
C0500422,1997-1998,plant_height,86.9
C0500422,1997-1998,thousand_kernel_weight,61.1
C0500422,1997-1998,thousand_kernel_weight,61
C0500146,1997-1998,plant_height,100.7
C0500146,1997-1998,plant_height,100
C0500163,1997-1998,plant_height,100.4
C0500163,1997-1998,plant_height,100
C0500164,1997-1998,plant_height,98.6
C0500164,1997-1998,plant_height,98
C0500164,1997-1998,thousand_kernel_weight,36.3
C0500164,1997-1998,thousand_kernel_weight,36
C0500177,1997-1998,plant_height,92.6
C0500177,1997-1998,plant_height,92
C0500177,1997-1998,thousand_kernel_weight,49.9
C0500177,1997-1998,thousand_kernel_weight,49
C0500198,1997-1998,plant_height,89.5
C0500198,1997-1998,plant_height,89
C0500198,1997-1998,thousand_kernel_weight,55.4
C0500198,1997-1998,thousand_kernel_weight,55
C0500256,1997-1998,plant_height,94.9
C0500256,1997-1998,plant_height,94
C0500256,1997-1998,thousand_kernel_weight,50.2
C0500256,1997-1998,thousand_kernel_weight,50
C0500257,1997-1998,plant_height,90.2
C0500257,1997-1998,plant_height,90
C0500257,1997-1998,thousand_kernel_weight,53.6
C0500257,1997-1998,thousand_kernel_weight,53
C0500258,1997-1998,plant_height,96.6
C0500258,1997-1998,plant_height,96
C0500258,1997-1998,thousand_kernel_weight,50.8
C0500258,1997-1998,thousand_kernel_weight,50
C0500259,1997-1998,plant_height,95.6
C0500259,1997-1998,plant_height,95
C0500259,1997-1998,thousand_kernel_weight,60.1
C0500259,1997-1998,thousand_kernel_weight,60
C0500260,1997-1998,plant_height,93.9
C0500260,1997-1998,plant_height,93
C0500260,1997-1998,thousand_kernel_weight,52.4
C0500260,1997-1998,thousand_kernel_weight,52
C0500261,1997-1998,plant_height,94.3
C0500261,1997-1998,plant_height,94
C0500261,1997-1998,thousand_kernel_weight,41.3
C0500261,1997-1998,thousand_kernel_weight,41
C0500262,1997-1998,plant_height,98.4
C0500262,1997-1998,plant_height,98
C0500262,1997-1998,thousand_kernel_weight,55.8
C0500262,1997-1998,thousand_kernel_weight,55
C0500263,1997-1998,plant_height,98.3
C0500263,1997-1998,plant_height,98
C0500264,1997-1998,plant_height,94.1
C0500264,1997-1998,plant_height,94
C0500264,1997-1998,thousand_kernel_weight,43.1
C0500264,1997-1998,thousand_kernel_weight,43
C0500265,1997-1998,plant_height,94.1
C0500265,1997-1998,plant_height,94
C0500265,1997-1998,thousand_kernel_weight,51.9
C0500265,1997-1998,thousand_kernel_weight,51
C0500267,1997-1998,plant_height,80.3
C0500267,1997-1998,plant_height,80
C0500267,1997-1998,thousand_kernel_weight,52.8
C0500267,1997-1998,thousand_kernel_weight,52
C0500268,1997-1998,plant_height,94.6
C0500268,1997-1998,plant_height,94
C0500268,1997-1998,thousand_kernel_weight,51.3
C0500268,1997-1998,thousand_kernel_weight,51
C0500270,1997-1998,plant_height,100.7
C0500270,1997-1998,plant_height,100
C0500270,1997-1998,thousand_kernel_weight,49.7
C0500270,1997-1998,thousand_kernel_weight,49
C0500271,1997-1998,plant_height,105.1
C0500271,1997-1998,plant_height,105
C0500271,1997-1998,thousand_kernel_weight,58.5
C0500271,1997-1998,thousand_kernel_weight,58
C0500272,1997-1998,plant_height,101.5
C0500272,1997-1998,plant_height,101
C0500272,1997-1998,thousand_kernel_weight,54
C0500273,1997-1998,plant_height,100.4
C0500273,1997-1998,plant_height,100
C0500274,1997-1998,plant_height,101.3
C0500274,1997-1998,plant_height,101
C0500274,1997-1998,thousand_kernel_weight,42.3
C0500274,1997-1998,thousand_kernel_weight,42
C0500275,1997-1998,plant_height,98.1
C0500275,1997-1998,plant_height,98
C0500276,1997-1998,plant_height,106.3
C0500276,1997-1998,plant_height,106
C0500276,1997-1998,thousand_kernel_weight,56.9
C0500276,1997-1998,thousand_kernel_weight,56
C0500277,1997-1998,plant_height,101.2
C0500277,1997-1998,plant_height,101
C0500277,1997-1998,thousand_kernel_weight,52.8
C0500277,1997-1998,thousand_kernel_weight,52
C0500278,1997-1998,plant_height,101.3
C0500278,1997-1998,plant_height,101
C0500278,1997-1998,thousand_kernel_weight,52.4
C0500278,1997-1998,thousand_kernel_weight,52
C0500279,1997-1998,plant_height,100.6
C0500279,1997-1998,plant_height,100
C0500279,1997-1998,thousand_kernel_weight,61.8
C0500279,1997-1998,thousand_kernel_weight,61
C0500282,1997-1998,plant_height,108.1
C0500282,1997-1998,plant_height,108
C0500282,1997-1998,thousand_kernel_weight,61.3
C0500282,1997-1998,thousand_kernel_weight,61
C0500283,1997-1998,plant_height,104.4
C0500283,1997-1998,plant_height,104
C0500284,1997-1998,plant_height,98.3
C0500284,1997-1998,plant_height,98
C0500284,1997-1998,thousand_kernel_weight,36.8
C0500284,1997-1998,thousand_kernel_weight,36
C0500285,1997-1998,plant_height,93.5
C0500285,1997-1998,plant_height,93
C0500285,1997-1998,thousand_kernel_weight,41.5
C0500285,1997-1998,thousand_kernel_weight,41
C0500286,1997-1998,plant_height,100.1
C0500286,1997-1998,plant_height,100
C0500286,1997-1998,thousand_kernel_weight,42.4
C0500286,1997-1998,thousand_kernel_weight,42
C0500287,1997-1998,plant_height,101.5
C0500287,1997-1998,plant_height,101
C0500287,1997-1998,thousand_kernel_weight,45.3
C0500287,1997-1998,thousand_kernel_weight,45
C0500305,1997-1998,plant_height,95.3
C0500305,1997-1998,plant_height,95
C0500305,1997-1998,thousand_kernel_weight,40.7
C0500305,1997-1998,thousand_kernel_weight,40
C0500306,1997-1998,plant_height,94.8
C0500306,1997-1998,plant_height,94
C0500306,1997-1998,thousand_kernel_weight,37.8
C0500306,1997-1998,thousand_kernel_weight,37
C0500307,1997-1998,plant_height,96.8
C0500307,1997-1998,plant_height,96
