genotype,days_to_heading_BLUE,plant_height_BLUE
C0100626,NA,NA
C0100627,NA,97.86
C0100628,NA,NA
C0100629,NA,NA
C0100630,NA,NA
C0100631,NA,NA
C0100632,NA,NA
C0100633,NA,NA
C0100634,NA,NA
C0100635,NA,NA
C0100636,NA,NA
C0100637,NA,NA
C0100638,NA,83.68
C0100639,NA,NA
C0100641,NA,NA
C0100642,NA,NA
C0100643,NA,NA
C0100644,NA,NA
C0100645,NA,NA
C0100646,NA,NA
C0100647,NA,NA
C0100648,NA,NA
C0100649,NA,NA
C0100650,NA,NA
C0100651,NA,NA
C0100652,NA,NA
C0100653,NA,NA
C0100654,NA,NA
C0100655,NA,NA
C0100656,NA,NA
C0100657,NA,NA
C0100658,NA,NA
C0100659,NA,NA
C0100660,NA,116.94
C0100661,NA,NA
C0100662,NA,NA
C0100665,NA,NA
C0100669,NA,NA
C0100671,NA,NA
C0100672,NA,NA
C0100673,NA,NA
C0100674,NA,NA
C0100675,NA,NA
C0100676,NA,NA
C0100678,NA,NA
C0100679,NA,NA
C0100680,NA,NA
C0100681,NA,118.93
C0100682,NA,121.53
C0100683,NA,93.38
C0100684,NA,NA
C0100685,NA,NA
C0100686,NA,95.04
C0100687,231.45,107.02
C0100688,NA,96.16
C0100689,NA,NA
C0100690,NA,93.13
C0100691,228.94,96.79
C0100692,225.45,114.4
C0100693,221.9,NA
C0100694,NA,94.73
C0100695,NA,NA
C0100696,NA,91.77
C0100697,NA,95.66
C0100698,228.45,90.1
C0100699,NA,NA
C0100700,NA,104.99
C0100701,NA,NA
C0100702,229.73,86.59
C0100703,NA,122.07
C0100704,NA,106.04
C0100705,NA,NA
C0100706,NA,NA
C0100707,220.45,89.14
C0100708,NA,94.36
C0100709,NA,NA
C0100710,224.05,105.8
C0100711,223.04,98.09
C0100712,NA,NA
C0100713,NA,NA
C0100714,NA,NA
C0100715,221.85,89.44
C0100716,NA,85.51
C0100717,NA,NA
C0100718,NA,103.55
C0100719,NA,115.65
C0100720,NA,107.64
C0100721,NA,79.24
C0100722,NA,NA
C0100723,NA,83.67
C0100724,NA,84.98
C0100725,NA,91.72
C0100726,NA,75.48
C0100727,NA,94.67
C0100728,219.45,NA
C0100729,NA,86.92
C0100730,NA,NA
C0100731,NA,81.43
C0100732,NA,69.39
C0100733,NA,124.45
C0100734,NA,76.4
C0100735,NA,91.11
C0100736,NA,73.06
C0100737,NA,NA
C0100738,NA,NA
C0100739,NA,NA
C0100740,NA,NA
C0100742,NA,NA
C0100743,NA,NA
C0100744,NA,NA
C0100745,NA,NA
C0100746,NA,97.42
C0100747,NA,91.26
C0100749,NA,NA
C0100750,NA,NA
C0100751,225.05,88.45
C0100752,NA,100.85
C0100753,NA,NA
C0100754,NA,NA
C0100755,NA,NA
C0100756,NA,NA
C0100757,NA,87.5
C0100758,NA,NA
C0100759,NA,96.16
C0100760,NA,NA
C0100761,NA,NA
C0100762,NA,NA
C0100763,NA,NA
C0100764,NA,78.83
C0100765,NA,100.96
C0100766,NA,NA
C0100767,NA,91.33
C0100768,NA,NA
C0100769,NA,83.91
C0100770,NA,111.21
C0100771,NA,74.29
C0100772,NA,94.09
C0100773,NA,NA
C0100774,NA,NA
C0100775,NA,79.11
C0100776,NA,88.61
C0100777,NA,77.21
C0100778,NA,NA
C0100779,NA,93.94
C0100780,NA,NA
C0100781,NA,NA
C0100782,NA,94.77
C0100783,NA,NA
C0100784,NA,105.3
C0100785,NA,NA
C0100786,NA,NA
C0100787,NA,NA
C0100788,NA,NA
C0100789,NA,NA
C0100790,NA,NA
C0100791,NA,NA
C0100792,NA,NA
C0100793,NA,NA
C0100794,NA,NA
C0100795,NA,NA
C0100796,NA,82.58
C0100797,NA,87.53
C0100798,NA,88.63
C0100799,NA,72.5
C0100800,NA,88.86
C0100802,NA,90.09
C0100803,NA,NA
C0100804,NA,86.94
C0100806,NA,NA
C0100807,NA,85.35
C0100808,NA,100.62
C0100809,NA,NA
C0100810,NA,NA
C0100811,NA,NA
C0100812,NA,NA
C0100813,NA,NA
C0100814,NA,102.21
C0100815,NA,NA
C0100816,NA,109.29
C0100817,NA,NA
C0100818,NA,NA
C0100819,NA,NA
C0100820,NA,NA
C0100821,NA,NA
C0100822,NA,NA
C0100823,NA,75.73
C0100824,NA,106.05
C0100825,NA,NA
C0100826,NA,79.17
C0100827,NA,89.64
C0100828,NA,NA
C0100829,NA,NA
C0100830,NA,65.04
C0100831,NA,NA
C0100832,NA,NA
C0100833,NA,NA
C0100834,NA,87.95
C0100835,NA,90.38
C0100836,NA,NA
C0100837,223.22,86.13
C0100838,NA,NA
C0100839,NA,90.79
C0100840,NA,87.34
C0100841,NA,NA
C0100842,NA,NA
C0100843,NA,NA
C0100844,NA,NA
C0100845,NA,NA
C0100846,NA,NA
C0100847,NA,NA
C0100848,NA,NA
C0100849,NA,NA
C0100851,NA,99.62
C0100852,NA,NA
C0100853,NA,NA
C0100854,NA,NA
C0100855,NA,NA
C0100856,NA,99.48
C0100857,NA,89.21
C0100858,227.45,98.11
C0100859,NA,84.46
C0100860,NA,71.76
C0100861,NA,81.46
C0100862,NA,NA
C0100863,NA,91.31
C0100864,NA,NA
C0100865,NA,NA
C0100867,NA,NA
C0100868,NA,NA
C0100869,NA,NA
C0100870,NA,NA
C0100871,NA,NA
C0100872,NA,NA
C0100873,NA,93.42
C0100874,NA,NA
C0100875,NA,NA
C0100876,NA,NA
C0100877,NA,112.06
C0100878,NA,NA
C0100879,NA,NA
C0100882,NA,NA
C0100883,NA,NA
C0100884,NA,NA
C0100885,NA,NA
C0100886,NA,76.27
C0100887,NA,NA
C0100888,NA,NA
C0100889,NA,97.7
C0100890,NA,92.88
C0100891,NA,99.43
C0100892,NA,NA
C0100893,NA,100.48
C0100894,NA,NA
C0100895,NA,NA
C0100896,NA,NA
C0100898,NA,NA
C0100899,NA,66.96
C0100900,NA,87.52
C0100901,NA,NA
C0100902,NA,NA
C0100903,NA,85.75
C0100904,NA,95.59
C0100905,NA,99.96
C0100906,NA,88.8
C0100907,NA,82.87
C0100908,NA,72.04
C0100909,NA,73.04
C0100910,NA,82.86
C0100911,NA,NA
C0100912,NA,73.28
C0100913,NA,NA
C0100914,NA,NA
C0100915,NA,82.33
C0100916,NA,82.68
C0100917,NA,NA
C0100918,NA,79.41
C0100920,NA,NA
C0100921,NA,79.81
C0100923,NA,95.65
C0100924,NA,110.86
C0100925,NA,NA
C0100926,NA,90.47
C0100927,NA,101.75
C0100928,NA,NA
C0100929,NA,91.5
C0100930,NA,NA
C0100931,NA,NA
C0100932,NA,NA
