accenumb,campaign,trait,value
1983-TRT-AE-437,1984-1985,days_to_heading,158
1983-TRT-AE-437,1984-1985,plant_height,73
1983-TRT-AE-437,1984-1985,thousand_kernel_weight,35.7
1983-TRT-AE-438,1984-1985,days_to_heading,157
1983-TRT-AE-438,1984-1985,plant_height,93.3
1983-TRT-AE-438,1984-1985,thousand_kernel_weight,33.7
1983-TRT-AE-442,1984-1985,days_to_heading,155
1983-TRT-AE-442,1984-1985,plant_height,91.4
1983-TRT-AE-442,1984-1985,thousand_kernel_weight,33.4
1983-TRT-AE-451,1984-1985,days_to_heading,157
1983-TRT-AE-451,1984-1985,plant_height,85.2
1983-TRT-AE-451,1984-1985,thousand_kernel_weight,35.6
1983-TRT-AE-459,1984-1985,days_to_heading,154
1983-TRT-AE-459,1984-1985,plant_height,122.6
1983-TRT-AE-459,1984-1985,thousand_kernel_weight,33.5
1983-TRT-AE-47,1984-1985,days_to_heading,151
1983-TRT-AE-47,1984-1985,plant_height,78
1983-TRT-AE-47,1984-1985,thousand_kernel_weight,27.1
1983-TRT-AE-56,1984-1985,days_to_heading,144
1983-TRT-AE-56,1984-1985,plant_height,76.5
1983-TRT-AE-56,1984-1985,thousand_kernel_weight,32.9
1984-TRT-AE-113,1984-1985,days_to_heading,143
1984-TRT-AE-113,1984-1985,plant_height,87
1984-TRT-AE-113,1984-1985,thousand_kernel_weight,38.0434782608696
1984-TRT-AE-13,1984-1985,days_to_heading,158
1984-TRT-AE-13,1984-1985,plant_height,66
1984-TRT-AE-13,1984-1985,thousand_kernel_weight,33.5
1984-TRT-AE-30,1984-1985,days_to_heading,151
1984-TRT-AE-30,1984-1985,plant_height,92.4
1984-TRT-AE-30,1984-1985,thousand_kernel_weight,42.654028436019
1984-TRT-AE-4,1984-1985,days_to_heading,156
1984-TRT-AE-4,1984-1985,plant_height,71
1984-TRT-AE-4,1984-1985,thousand_kernel_weight,33.9
1984-TRT-AE-5,1984-1985,days_to_heading,156
1984-TRT-AE-5,1984-1985,plant_height,66.3
1984-TRT-AE-5,1984-1985,thousand_kernel_weight,32.8
1984-TRT-AE-7,1984-1985,days_to_heading,145
1984-TRT-AE-7,1984-1985,plant_height,75.6
1984-TRT-AE-7,1984-1985,thousand_kernel_weight,33.1
1984-TRT-AE-74,1984-1985,days_to_heading,122
1984-TRT-AE-74,1984-1985,plant_height,92.6
1984-TRT-AE-74,1984-1985,thousand_kernel_weight,38
1984-TRT-AE-80,1984-1985,days_to_heading,129
1984-TRT-AE-80,1984-1985,plant_height,85.8
1984-TRT-AE-80,1984-1985,thousand_kernel_weight,39.1156462585034
1984-TRT-AE-81,1984-1985,days_to_heading,158
1984-TRT-AE-81,1984-1985,plant_height,79.3
1984-TRT-AE-81,1984-1985,thousand_kernel_weight,32.2
1984-TRT-AE-82,1984-1985,days_to_heading,153
1984-TRT-AE-82,1984-1985,plant_height,70.7
1984-TRT-AE-82,1984-1985,thousand_kernel_weight,30.9
1984-TRT-AE-83,1984-1985,days_to_heading,159
1984-TRT-AE-83,1984-1985,plant_height,98.2
1984-TRT-AE-83,1984-1985,thousand_kernel_weight,39.6
1984-TRT-AE-85,1984-1985,days_to_heading,153
1984-TRT-AE-85,1984-1985,plant_height,74.4
1984-TRT-AE-85,1984-1985,thousand_kernel_weight,32.5
1984-TRT-AE-89,1984-1985,days_to_heading,143
1984-TRT-AE-89,1984-1985,plant_height,60.8
1984-TRT-AE-89,1984-1985,thousand_kernel_weight,43.1
1985-TRT-AE-112,1984-1985,days_to_heading,157
1985-TRT-AE-112,1984-1985,plant_height,125.4
1985-TRT-AE-112,1984-1985,thousand_kernel_weight,29.54
1985-TRT-AE-113,1984-1985,days_to_heading,157
1985-TRT-AE-113,1984-1985,plant_height,120.6
1985-TRT-AE-113,1984-1985,thousand_kernel_weight,37.5
1985-TRT-AE-166,1984-1985,days_to_heading,151
1985-TRT-AE-166,1984-1985,plant_height,74.8
1985-TRT-AE-166,1984-1985,thousand_kernel_weight,40.2010050251256
1985-TRT-AE-168,1984-1985,days_to_heading,150
1985-TRT-AE-168,1984-1985,plant_height,92
1985-TRT-AE-168,1984-1985,thousand_kernel_weight,28.5714285714286
1985-TRT-AE-169,1984-1985,days_to_heading,152
1985-TRT-AE-169,1984-1985,plant_height,66.2
1985-TRT-AE-169,1984-1985,thousand_kernel_weight,18.3150183150183
1985-TRT-AE-170,1984-1985,days_to_heading,150
1985-TRT-AE-170,1984-1985,plant_height,97.8
1985-TRT-AE-170,1984-1985,thousand_kernel_weight,18.6335403726708
1985-TRT-AE-190,1984-1985,days_to_heading,144
1985-TRT-AE-190,1984-1985,plant_height,80.4
1985-TRT-AE-190,1984-1985,thousand_kernel_weight,42.5
1985-TRT-AE-198,1984-1985,days_to_heading,143
1985-TRT-AE-198,1984-1985,plant_height,65
1985-TRT-AE-198,1984-1985,thousand_kernel_weight,37.4
1986-TRT-AE-1,1984-1985,days_to_heading,150
1986-TRT-AE-1,1984-1985,plant_height,81
1986-TRT-AE-1,1984-1985,thousand_kernel_weight,45.6
1986-TRT-AE-191,1984-1985,days_to_heading,140
1986-TRT-AE-191,1984-1985,plant_height,76.5
1986-TRT-AE-191,1984-1985,thousand_kernel_weight,31.1
1986-TRT-AE-192,1984-1985,days_to_heading,150
1986-TRT-AE-192,1984-1985,plant_height,67
1986-TRT-AE-192,1984-1985,thousand_kernel_weight,25.4
1986-TRT-AE-194,1984-1985,days_to_heading,149
1986-TRT-AE-194,1984-1985,plant_height,70
1986-TRT-AE-194,1984-1985,thousand_kernel_weight,34.9
1986-TRT-AE-195,1984-1985,days_to_heading,154
1986-TRT-AE-195,1984-1985,plant_height,88
1986-TRT-AE-195,1984-1985,thousand_kernel_weight,27.5
1986-TRT-AE-196,1984-1985,days_to_heading,149
1986-TRT-AE-196,1984-1985,plant_height,78
1986-TRT-AE-196,1984-1985,thousand_kernel_weight,30.8
1986-TRT-AE-197,1984-1985,days_to_heading,151
1986-TRT-AE-197,1984-1985,plant_height,85.7
1986-TRT-AE-197,1984-1985,thousand_kernel_weight,28.9
1986-TRT-AE-198,1984-1985,days_to_heading,151
1986-TRT-AE-198,1984-1985,plant_height,89.5
1986-TRT-AE-198,1984-1985,thousand_kernel_weight,33.9
1986-TRT-AE-199,1984-1985,days_to_heading,152
1986-TRT-AE-199,1984-1985,plant_height,74
1986-TRT-AE-199,1984-1985,thousand_kernel_weight,26.2
1986-TRT-AE-3,1984-1985,days_to_heading,149
1986-TRT-AE-3,1984-1985,plant_height,85.8
1986-TRT-AE-3,1984-1985,thousand_kernel_weight,40.9
1986-TRT-AE-344,1984-1985,days_to_heading,149
1986-TRT-AE-344,1984-1985,plant_height,97
1986-TRT-AE-344,1984-1985,thousand_kernel_weight,36.9
1986-TRT-AE-347,1984-1985,days_to_heading,151
1986-TRT-AE-347,1984-1985,plant_height,95.8
1986-TRT-AE-347,1984-1985,thousand_kernel_weight,38.3
1986-TRT-AE-356,1984-1985,days_to_heading,143
1986-TRT-AE-356,1984-1985,plant_height,109.4
1986-TRT-AE-356,1984-1985,thousand_kernel_weight,38.7
1986-TRT-AE-431,1984-1985,days_to_heading,142
1986-TRT-AE-431,1984-1985,plant_height,87.2
1986-TRT-AE-431,1984-1985,thousand_kernel_weight,43.6
1986-TRT-AE-438,1984-1985,days_to_heading,142
1986-TRT-AE-438,1984-1985,plant_height,93.2
1986-TRT-AE-438,1984-1985,thousand_kernel_weight,48.6
1986-TRT-AE-439,1984-1985,days_to_heading,142
1986-TRT-AE-439,1984-1985,plant_height,92.4
1986-TRT-AE-439,1984-1985,thousand_kernel_weight,37.8
1986-TRT-AE-5,1984-1985,days_to_heading,148
1986-TRT-AE-5,1984-1985,plant_height,86
1986-TRT-AE-5,1984-1985,thousand_kernel_weight,37.8
1986-TRT-AE-6,1984-1985,days_to_heading,149
1986-TRT-AE-6,1984-1985,plant_height,87
1986-TRT-AE-6,1984-1985,thousand_kernel_weight,41.5
1986-TRT-AE-62,1984-1985,days_to_heading,144
1986-TRT-AE-62,1984-1985,plant_height,82
1986-TRT-AE-62,1984-1985,thousand_kernel_weight,29.3
2001-TRT-AE-160,1984-1985,days_to_heading,144
2001-TRT-AE-160,1984-1985,plant_height,77
2001-TRT-AE-160,1984-1985,thousand_kernel_weight,36.5
2001-TRT-AE-163,1984-1985,days_to_heading,141
2001-TRT-AE-163,1984-1985,plant_height,86
2001-TRT-AE-163,1984-1985,thousand_kernel_weight,39.3
2001-TRT-AE-167,1984-1985,days_to_heading,142
2001-TRT-AE-167,1984-1985,plant_height,73
2001-TRT-AE-167,1984-1985,thousand_kernel_weight,35.2
2001-TRT-AE-168,1984-1985,days_to_heading,142
2001-TRT-AE-168,1984-1985,plant_height,77
2001-TRT-AE-168,1984-1985,thousand_kernel_weight,32.5
2001-TRT-AE-169,1984-1985,days_to_heading,143
2001-TRT-AE-169,1984-1985,plant_height,70
2001-TRT-AE-169,1984-1985,thousand_kernel_weight,45.8
