genotype,days_to_heading_BLUE,plant_height_BLUE,thousand_kernel_weight_BLUE
2000-TRT-AE-89,128.61,85.68,38.28
2000-TRT-AE-92,131.63,100.88,40.3
2000-TRT-AE-97,130.24,99.38,37.94
2000-TRT-AE-98,131.74,96.43,42.11
2001-TRT-AE-111,128.1,83.92,39.56
2001-TRT-AE-137,132.19,83.29,38.47
2001-TRT-AE-141,131.46,88.8,39.35
2001-TRT-AE-142,130.01,101.69,40.3
2001-TRT-AE-151,128.9,117.03,39.25
2001-TRT-AE-159,128.57,90.14,37.8
2001-TRT-AE-160,131.75,81.59,36.52
2001-TRT-AE-163,128.83,90.43,39.58
2001-TRT-AE-167,129.96,79.23,35.42
2001-TRT-AE-168,129.97,81.86,33.9
2001-TRT-AE-169,131.29,75.01,45.88
2001-TRT-AE-172,130.3,94.49,42.81
2001-TRT-AE-177,130.1,88.74,38.85
2001-TRT-AE-180,128.33,89.62,38.84
2001-TRT-AE-213,133.18,97.66,37.19
2001-TRT-AE-215,130.62,112.36,42.16
2001-TRT-AE-295,130.73,95.2,42.51
2001-TRT-AE-296,125.73,93.34,44.52
2001-TRT-AE-49,132.47,112.36,46.83
2001-TRT-AE-57,130.92,95.9,34.84
2008-TRT-AE-1,130.7,85.33,37.93
2008-TRT-AE-10,129.74,91.45,41.22
2008-TRT-AE-11,132.19,84.84,36.41
2008-TRT-AE-12,128.99,82.12,34.47
2008-TRT-AE-13,134.25,85.12,43.3
2008-TRT-AE-2,130.95,79.17,38.07
2008-TRT-AE-3,131.29,86.33,45.39
2008-TRT-AE-4,129.81,87.47,45.35
2008-TRT-AE-5,133.16,93.06,37.86
2008-TRT-AE-7,131.3,88.06,46.19
2008-TRT-AE-8,132.47,90.68,42.03
2008-TRT-AE-9,134.29,88.28,46.87
2009-TRT-AE-19,132.56,90.15,45.96
2009-TRT-AE-21,133.8,98.92,37.94
2010-TRT-AE-1,128.53,46.23,38.15
2010-TRT-AE-10,131.27,84.08,42.41
2010-TRT-AE-11,132.13,75.43,35.53
2010-TRT-AE-12,132.48,86.29,41.22
2010-TRT-AE-13,133.84,91.58,42.29
2010-TRT-AE-14,133.15,98.01,38.04
2010-TRT-AE-15,132.22,93.17,40.09
2010-TRT-AE-16,134.33,87.22,38.6
2010-TRT-AE-17,129.23,81.04,40.02
2010-TRT-AE-18,130.9,84.18,40.64
2010-TRT-AE-2,127.06,91.71,39.66
2010-TRT-AE-3,133.9,81.32,38.91
2010-TRT-AE-4,130.32,65.93,37.18
2010-TRT-AE-5,129.71,93.95,38.87
2010-TRT-AE-8,126.92,100.19,42.97
2010-TRT-AE-9,131.58,71.95,40.93
2011-TRT-AE-10,135.87,93.01,36.61
2011-TRT-AE-11,133.94,101.75,37.9
2011-TRT-AE-12,136.71,88.17,35.48
2011-TRT-AE-124,135.35,90.94,39.35
2011-TRT-AE-13,135.24,56.9,31.59
2011-TRT-AE-16,128.79,81.37,39.02
2011-TRT-AE-17,130.03,84.86,38.68
2011-TRT-AE-18,132.42,79.26,39.61
2011-TRT-AE-19,128.94,73.76,37.32
2011-TRT-AE-20,131.63,78.75,35.58
2011-TRT-AE-21,129.02,81.99,38.85
2011-TRT-AE-22,130.76,78.24,37.94
2011-TRT-AE-23,130.91,100.86,41.49
2011-TRT-AE-24,132.92,83.25,38.29
2011-TRT-AE-25,133.38,91.37,44.1
2011-TRT-AE-8,131.57,85.14,38.58
2011-TRT-AE-9,133.69,82.08,34.34
2012-TRT-AE-100,132.29,106.3,40.27
2012-TRT-AE-106,133.92,117.52,38.13
2012-TRT-AE-111,130.75,119.52,44.59
2012-TRT-AE-112,137.22,87.71,43.63
2012-TRT-AE-113,137.55,87.72,42.9
2012-TRT-AE-115,136.86,87.22,33.44
2012-TRT-AE-116,141.92,83.21,42.54
2012-TRT-AE-117,135.31,89.02,45.9
2012-TRT-AE-118,136.15,93.62,40.31
2012-TRT-AE-119,136.22,97.22,39.4
2012-TRT-AE-120,135,68.34,37.4
2012-TRT-AE-128,135.3,102.96,41.55
2012-TRT-AE-129,132.94,89.15,35.67
2012-TRT-AE-130,139.49,98.12,35.88
2012-TRT-AE-137,134.84,87.59,37.98
2012-TRT-AE-138,137.06,93.15,41.62
2012-TRT-AE-139,134.99,84.89,36.53
2012-TRT-AE-140,128.35,84.99,37.26
2012-TRT-AE-141,128.37,86.21,35.16
2012-TRT-AE-145,133.75,73.96,37.67
2012-TRT-AE-146,138.57,106.81,41.05
2012-TRT-AE-147,137.02,101.41,38.5
2012-TRT-AE-150,136.95,88.46,39.27
2012-TRT-AE-152,131.63,75.01,34.14
2012-TRT-AE-153,128.12,75.54,37.62
2012-TRT-AE-154,131.41,80.21,33
2012-TRT-AE-155,127.79,80.88,37.17
2012-TRT-AE-156,130.08,77.83,40.16
2012-TRT-AE-157,129.16,67.48,35.46
2012-TRT-AE-158,127.73,71.2,33.09
2012-TRT-AE-159,130.05,77.7,35.39
2012-TRT-AE-160,136.16,75.5,35.94
2012-TRT-AE-162,138.37,93.61,37.98
2012-TRT-AE-163,133.84,70.81,36.67
2012-TRT-AE-164,126.6,76.72,37.42
2012-TRT-AE-165,135.6,77.96,35.72
2012-TRT-AE-166,125.48,71.3,42.17
2012-TRT-AE-168,136.32,86.76,39.11
2012-TRT-AE-169,135.07,74.52,36.02
2012-TRT-AE-170,139.87,98.12,38.72
2012-TRT-AE-171,132.9,88.73,43.59
2012-TRT-AE-172,128.07,87.58,36.69
2012-TRT-AE-173,132.92,92.3,40.42
2012-TRT-AE-174,132.38,92.62,37.04
2012-TRT-AE-175,135.84,92.63,36.51
2012-TRT-AE-176,132.52,91.73,40.51
2012-TRT-AE-177,136.9,73.15,35.21
2012-TRT-AE-178,142.65,72.31,33.81
2012-TRT-AE-179,129.6,83.29,34.83
2012-TRT-AE-180,130.82,78.87,36.79
2012-TRT-AE-181,142.76,71.16,33.22
2012-TRT-AE-183,142.06,76.49,32.22
2012-TRT-AE-184,140.61,78.21,30.93
2012-TRT-AE-185,133.55,69.28,35.18
2012-TRT-AE-186,137.93,74.13,36.99
2012-TRT-AE-187,136.61,76.53,35.56
2012-TRT-AE-230,129.86,97.29,42.56
2012-TRT-AE-231,129.38,86.57,38.98
2012-TRT-AE-67,134.65,67.93,41.11
2012-TRT-AE-68,132.47,73.99,37.63
2012-TRT-AE-69,133.49,66.99,40.87
2012-TRT-AE-70,130.07,83.98,33.21
2012-TRT-AE-71,133.74,52.73,37.87
2012-TRT-AE-72,138.27,108.12,33.98
2012-TRT-AE-77,140.71,94.52,34.53
2012-TRT-AE-78,139.37,100.55,40.46
2012-TRT-AE-79,141.23,103.11,35.82
2012-TRT-AE-80,128.88,75.34,36.05
2012-TRT-AE-81,128.57,81.4,45.35
2012-TRT-AE-82,129.36,78.4,41.92
2012-TRT-AE-83,139.01,112.21,39.8
2012-TRT-AE-84,129.41,98.12,43.21
2012-TRT-AE-86,131.61,102.72,41.59
2012-TRT-AE-87,133.5,98.9,41.08
2012-TRT-AE-88,132.98,100.46,41
2012-TRT-AE-90,128.26,103.52,51.02
2012-TRT-AE-91,130.32,99.42,48.25
2012-TRT-AE-92,128.05,94.92,52.11
2012-TRT-AE-93,132.57,90.72,38.33
2012-TRT-DU-1,133.99,62.8,48.01
2013-TRT-AE-10,131.01,76.74,39.49
2013-TRT-AE-11,129.7,76.97,35.68
2013-TRT-AE-12,129.9,85.39,34.97
2013-TRT-AE-13,133.65,98.29,44.39
2013-TRT-AE-14,131.41,90.47,39.53
2013-TRT-AE-15,132.77,91.11,32.83
2013-TRT-AE-16,131.94,89.68,38.95
2013-TRT-AE-17,129.98,NA,38.25
2013-TRT-AE-18,130,91.15,38.67
2013-TRT-AE-19,131.1,92.02,36.33
2013-TRT-AE-2,133.85,75.93,38.79
2013-TRT-AE-20,129.67,90.2,42.35
2013-TRT-AE-21,133.99,125.46,35.83
2013-TRT-AE-22,130.94,92.85,39.99
2013-TRT-AE-3,129.36,70.18,37.92
2013-TRT-AE-36,129.62,92.78,45.32
2013-TRT-AE-4,139.77,81.47,39.88
2013-TRT-AE-41,127.77,96.74,34.85
2013-TRT-AE-42,129.81,79.42,44.48
2013-TRT-AE-6,130.34,68.98,41.89
2013-TRT-AE-7,NA,85.18,40
2013-TRT-AE-8,127.24,82.96,40.41
2013-TRT-AE-9,130.78,96.26,37.5
2016-TRT-AE-2,131.7,92.09,39.78
2019-TRT-AE-73,129.24,77.82,32.38
2019-TRT-AE-75,128.88,86.79,40.53
2019-TRT-DU-1,135.81,90.87,42.07
2021-TRT-AE-1,126.78,83.05,34.86
2021-TRT-AE-10,127.76,87.06,34.49
2021-TRT-AE-11,127.54,118.27,45.12
2021-TRT-AE-12,130.84,101.67,38.64
2021-TRT-AE-13,128.17,91.71,41.31
2021-TRT-AE-14,127.27,92.73,42.6
2021-TRT-AE-15,131.79,120.77,37.45
2021-TRT-AE-16,132.64,114.5,36.33
2021-TRT-AE-17,132.66,115.19,43.86
2021-TRT-AE-18,129.19,119.7,39.7
2021-TRT-AE-19,132.54,121.71,38.59
2021-TRT-AE-2,127.11,82.24,34.02
2021-TRT-AE-20,133.05,127.76,39.67
2021-TRT-AE-21,133.05,127.58,41.59
2021-TRT-AE-22,132.9,125.34,37.59
2021-TRT-AE-23,126.7,101.21,42.06
2021-TRT-AE-24,127.32,92.7,43.54
2021-TRT-AE-25,126.21,98.81,44.32
2021-TRT-AE-26,127.56,79.15,38.7
2021-TRT-AE-27,128.34,78.81,37.95
2021-TRT-AE-28,128.39,75.8,37.58
2021-TRT-AE-29,128.86,95.67,34.5
2021-TRT-AE-3,127.57,90.28,41.31
2021-TRT-AE-30,129.16,91.36,38.65
2021-TRT-AE-31,129.06,96.46,34.75
2021-TRT-AE-32,127.41,95.64,37.95
2021-TRT-AE-33,127.24,95.23,36.2
2021-TRT-AE-34,126.64,91.46,45.22
2021-TRT-AE-35,126.74,87.27,40.47
2021-TRT-AE-36,126.88,97.92,38.34
2021-TRT-AE-37,126.52,97.13,37.15
2021-TRT-AE-4,126.57,96.28,47.43
2021-TRT-AE-5,126.36,92.2,39.31
2021-TRT-AE-6,126.68,101.29,32.12
2021-TRT-AE-7,130.49,119.12,49.41
2021-TRT-AE-8,132.24,117.62,48.73
2021-TRT-AE-9,130.23,86.43,34.07
2021-TRT-DU-1,131.65,143.59,48.92
2021-TRT-DU-10,131.91,86.53,45.05
2021-TRT-DU-11,131.78,143.35,41.33
2021-TRT-DU-12,131.91,145.21,49
2021-TRT-DU-13,130.21,133.84,48.45
2021-TRT-DU-14,132.08,136.41,47.78
2021-TRT-DU-15,131.95,131.68,48.01
2021-TRT-DU-16,131.21,131.97,40
2021-TRT-DU-17,131.82,139.03,43.82
2021-TRT-DU-18,131.34,130.18,42.44
2021-TRT-DU-19,131.61,127.38,39.94
2021-TRT-DU-2,132.6,136.32,49.74
2021-TRT-DU-20,131.87,133.94,43.56
2021-TRT-DU-21,131.27,105.26,54.89
2021-TRT-DU-22,128.38,86.85,47.7
2021-TRT-DU-23,128.85,91.14,50.56
2021-TRT-DU-24,131.38,132.4,46.63
2021-TRT-DU-3,131.78,140.36,49.52
2021-TRT-DU-4,131.93,136.47,40.97
2021-TRT-DU-5,133.33,143.78,42.76
2021-TRT-DU-6,132.42,131.75,43.93
2021-TRT-DU-7,131.82,140.29,51.32
2021-TRT-DU-8,131.36,128.04,48.97
2021-TRT-DU-9,131.56,86.62,41.85
