experiment_id,instcode,genus,accenumb,agent_id,doi,days_to_heading,total_tillers_per_plant,productive_tillers_per_plant,plant_height,spike_length,number_of_spikelets_per_spike,number_of_grains_per_spike,grain_mass_per_spike,grain_mass_per_plant,thousand_kernel_weight,spike_type,spike_shape,spike_branching,spike_density,spike_awnedness,rigidity,habit_of_awns,spike_colour,glume_pubescence,rachis_internodes,rachis_brittleness,rachis_pubescence,caryopsis_hull,caryopsis_shape,caryopsis_colour,caryopsis_groove,caryopsis_basal_seta,caryopsis_base,resistance_to_grain_sprouting_in_spike,resistance_to_grain_shattering,name,description,campaign,site_name,longitude,latitude,remarks
1993,BGR001,Hordeum,1989-HOR-VU-328,NA,10.18730/10J9KD,119,NA,NA,91,8,27,NA,NA,NA,48,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,7,2,NA,NA,NA,NA,NA,Hordeum_1993,"plots trial, 5 rows, 2.0 m2",1993-1994,NA,24.5615,42.0803,Annual results; Sowing date: 19931018
1993,BGR001,Hordeum,1989-HOR-VU-329,NA,10.18730/10J9JC,130,NA,NA,106,9.5,31,NA,NA,NA,51,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,3,2,NA,NA,NA,NA,NA,Hordeum_1993,"plots trial, 5 rows, 2.0 m2",1993-1994,NA,24.5615,42.0803,Annual results; Sowing date: 19931018
1993,BGR001,Hordeum,1991-HOR-VU-10,NA,10.18730/10J7SX,122,NA,NA,95,5,20,NA,NA,NA,44,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,Hordeum_1993,"plots trial, 5 rows, 2.0 m2",1993-1994,NA,24.5615,42.0803,Annual results; Sowing date: 19931018
1993,BGR001,Hordeum,1991-HOR-VU-11,NA,10.18730/10J7W*,128,NA,NA,92,8.5,31,NA,NA,NA,31,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,3,2,NA,NA,NA,NA,NA,Hordeum_1993,"plots trial, 5 rows, 2.0 m2",1993-1994,NA,24.5615,42.0803,Annual results; Sowing date: 19931018
1993,BGR001,Hordeum,1991-HOR-VU-12,NA,10.18730/10J8NM,129,NA,NA,91,7,22,NA,NA,NA,40,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,Hordeum_1993,"plots trial, 5 rows, 2.0 m2",1993-1994,NA,24.5615,42.0803,Annual results; Sowing date: 19931018
1993,BGR001,Hordeum,1991-HOR-VU-13,NA,10.18730/10J8BA,128,NA,NA,81,7,30,NA,NA,NA,36,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,3,2,NA,NA,NA,NA,NA,Hordeum_1993,"plots trial, 5 rows, 2.0 m2",1993-1994,NA,24.5615,42.0803,Annual results; Sowing date: 19931018
1993,BGR001,Hordeum,1991-HOR-VU-14,NA,10.18730/10J8CB,129,NA,NA,87,6,20,NA,NA,NA,36,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,Hordeum_1993,"plots trial, 5 rows, 2.0 m2",1993-1994,NA,24.5615,42.0803,Annual results; Sowing date: 19931018
1993,BGR001,Hordeum,1991-HOR-VU-15,NA,10.18730/10J887,128,NA,NA,92,6.5,27,NA,NA,NA,35,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,3,2,NA,NA,NA,NA,NA,Hordeum_1993,"plots trial, 5 rows, 2.0 m2",1993-1994,NA,24.5615,42.0803,Annual results; Sowing date: 19931018
1993,BGR001,Hordeum,1991-HOR-VU-16,NA,10.18730/10J8PN,130,NA,NA,93,6,23,NA,NA,NA,38,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,Hordeum_1993,"plots trial, 5 rows, 2.0 m2",1993-1994,NA,24.5615,42.0803,Annual results; Sowing date: 19931018
1993,BGR001,Hordeum,1991-HOR-VU-17,NA,10.18730/10J7Y$,127,NA,NA,104,8.5,31,NA,NA,NA,48,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,7,3,NA,NA,NA,NA,NA,Hordeum_1993,"plots trial, 5 rows, 2.0 m2",1993-1994,NA,24.5615,42.0803,Annual results; Sowing date: 19931018
