genotype,days_to_heading_BLUE,plant_height_BLUE,thousand_kernel_weight_BLUE
1992-HOR-VU-278,142.12,90.84,56.77
1992-HOR-VU-279,141.81,89.8,50.84
1992-HOR-VU-281,139.98,99.15,54.97
1992-HOR-VU-287,140.75,90.9,40.72
1992-HOR-VU-291,142.98,NA,59.46
1992-HOR-VU-292,145.72,96.57,45.43
1992-HOR-VU-293,150,91.36,52.55
1992-HOR-VU-294,138.26,95.37,48.79
1992-HOR-VU-295,140.39,88.45,60.37
1992-HOR-VU-297,139.09,91.5,60.73
1992-HOR-VU-298,142.42,96.07,67.53
1992-HOR-VU-299,142.01,89.92,62.53
1992-HOR-VU-301,136.84,97.21,58.85
1992-HOR-VU-302,140.95,97.69,53.37
1992-HOR-VU-64,137.58,67.07,48.78
1992-HOR-VU-66,139.24,84.31,36.03
1992-HOR-VU-68,137.51,98.89,44.34
1992-HOR-VU-7,137.19,91.51,49.41
1992-HOR-VU-73,139.71,NA,37.2
1992-HOR-VU-74,144.85,84.91,34.35
1992-HOR-VU-75,138.84,93.34,47.02
1992-HOR-VU-754,139.79,89.77,50.25
1992-HOR-VU-758,140.39,91.67,51.43
1992-HOR-VU-76,138.31,91.92,44.11
1992-HOR-VU-77,133.95,90.13,36.75
1992-HOR-VU-78,138.61,83.64,38.67
1992-HOR-VU-79,138.82,87.11,40.41
1992-HOR-VU-82,138.24,81.64,42.34
1992-HOR-VU-83,141.98,74.21,34.93
1992-HOR-VU-84,139.91,86.58,47.11
1992-HOR-VU-859,142.25,96.33,43.26
1992-HOR-VU-86,139.41,96.16,44.04
1992-HOR-VU-860,135.88,92.65,53.71
1992-HOR-VU-861,146.11,106.62,45.56
1992-HOR-VU-862,139.64,88.21,43.62
1992-HOR-VU-863,140.71,93.23,52.09
1992-HOR-VU-864,143.17,95.64,49.28
1992-HOR-VU-865,143.58,100.08,43.43
1992-HOR-VU-866,142.86,96.14,53.32
1992-HOR-VU-867,141.18,95.27,57.67
1992-HOR-VU-868,138.85,89.12,49.03
1992-HOR-VU-869,144.2,91.36,46.33
1992-HOR-VU-87,142.51,91.18,49.28
1992-HOR-VU-878,143.17,98.96,53.39
1992-HOR-VU-879,142.13,91.34,48.74
1992-HOR-VU-88,136.96,83.35,46.74
1992-HOR-VU-880,141.11,84.24,55.06
1992-HOR-VU-881,141.87,84.56,45.44
1992-HOR-VU-882,147.76,94.18,48.5
1992-HOR-VU-883,142.13,96.23,46.51
1992-HOR-VU-885,151.78,90.75,30.38
1992-HOR-VU-886,143.12,97.33,49.09
1992-HOR-VU-888,142.58,94.55,39.93
1992-HOR-VU-889,143.34,97.05,38.93
1992-HOR-VU-89,140.71,80.95,31.74
1992-HOR-VU-890,142.94,96.1,42.46
1992-HOR-VU-891,148.78,91.24,39.83
1992-HOR-VU-894,145.84,90.07,47.1
1992-HOR-VU-898,142.02,94.08,42.22
1992-HOR-VU-899,144.22,95.35,47.07
1992-HOR-VU-90,138.31,83.87,45.01
1992-HOR-VU-900,148.54,87.28,56.45
1992-HOR-VU-902,142.05,95.06,47.48
1992-HOR-VU-903,138.18,93.36,57.02
1992-HOR-VU-905,141.25,89.85,47.58
1992-HOR-VU-906,141.17,95.5,58.1
1992-HOR-VU-908,142.58,96.94,57.08
1992-HOR-VU-909,147.42,90.93,58.04
1992-HOR-VU-91,136.02,103.55,48.23
1992-HOR-VU-911,141.64,94.71,45.11
1992-HOR-VU-912,142.02,97.05,49.59
1992-HOR-VU-913,142.85,98.52,52.78
1992-HOR-VU-915,138.85,89.6,45.44
1992-HOR-VU-916,147.35,102.33,56.67
1992-HOR-VU-918,139.02,93.93,53.74
1992-HOR-VU-919,141.44,98.28,57.9
1992-HOR-VU-92,139.97,93.48,30.62
1992-HOR-VU-921,143.18,92.58,49.19
1992-HOR-VU-926,141.07,85.47,48.86
1992-HOR-VU-927,145.61,86.58,44.06
1992-HOR-VU-928,151.23,88.59,38.55
1992-HOR-VU-929,142.11,89.85,43.2
1992-HOR-VU-931,144.81,90.67,44.52
1992-HOR-VU-933,139.77,98.63,43.1
1992-HOR-VU-934,147.95,92.45,42.96
1992-HOR-VU-935,147.39,93.29,62.07
1992-HOR-VU-94,138.83,86.57,44.85
1992-HOR-VU-940,142.72,101.58,49.42
1992-HOR-VU-942,141.18,98.8,46.54
1992-HOR-VU-945,139.95,103.22,47.29
1992-HOR-VU-95,139.25,97.26,45.97
1992-HOR-VU-950,147.28,95.98,45.76
1992-HOR-VU-951,139.79,104.43,42.18
1992-HOR-VU-952,136.45,99.27,48.38
1992-HOR-VU-953,145.1,102.04,41.98
1992-HOR-VU-954,140.39,92.92,36.1
1992-HOR-VU-955,141.72,92.08,39.19
1992-HOR-VU-956,140.48,90.53,56.24
1992-HOR-VU-96,142.42,97.54,49.62
1992-HOR-VU-960,149.18,89.74,38.18
1992-HOR-VU-962,139.79,90.7,47.9
1992-HOR-VU-963,142.28,93.86,42.19
1992-HOR-VU-964,145.91,94.16,47.09
1992-HOR-VU-966,150.7,92.69,43.34
1992-HOR-VU-967,141.58,97.97,44.28
1992-HOR-VU-969,151.55,93.62,43.64
1992-HOR-VU-97,136.38,79.48,39.38
1992-HOR-VU-972,139.95,92.78,40.55
1992-HOR-VU-974,141.11,100.37,54.14
1992-HOR-VU-975,147.29,91.65,40.22
1992-HOR-VU-98,140.62,84.33,33.95
1992-HOR-VU-984,139.95,96.13,33.45
1992-HOR-VU-987,139.79,87.73,37.51
1992-HOR-VU-995,148.42,91.1,47.17
1992-HOR-VU-998,139.25,93.33,42.29
1992-HOR-VU-999,142.11,86.7,36.61
1996-HOR-VU-10,140.08,81.31,46.02
1996-HOR-VU-100,133.11,84.37,53.26
1996-HOR-VU-101,135.05,92.75,NA
1996-HOR-VU-102,133.55,83.09,56.24
1996-HOR-VU-103,124.17,94.02,57.61
1996-HOR-VU-104,131.62,90.56,48.39
1996-HOR-VU-105,134.35,103.12,54.77
1996-HOR-VU-106,132.84,89.95,57.5
1996-HOR-VU-107,133.25,104.74,53.16
1996-HOR-VU-108,129.72,106.11,48.34
1996-HOR-VU-109,131.32,104.49,34.93
1996-HOR-VU-11,123.47,70.88,48.23
1996-HOR-VU-110,132.61,101.1,39.83
1996-HOR-VU-111,128.69,102.72,42.82
1996-HOR-VU-112,135.91,105.38,47.76
1996-HOR-VU-113,138.07,89.26,47.08
1996-HOR-VU-114,131.69,81.14,41.91
1996-HOR-VU-115,129.63,94.92,53.51
1996-HOR-VU-116,127.32,99.81,42.84
1996-HOR-VU-117,125.76,101.4,36.64
1996-HOR-VU-118,127.2,94.65,34.6
1996-HOR-VU-119,NA,92.32,55.62
1996-HOR-VU-12,126.48,73.99,48.92
1996-HOR-VU-120,125.84,103.98,38.87
1996-HOR-VU-121,128.53,98.34,35.06
1996-HOR-VU-122,130.53,92.64,38.95
1996-HOR-VU-123,129.66,96.6,45.21
1996-HOR-VU-124,128.73,100.92,42.97
1996-HOR-VU-125,129.58,92.44,43.08
1996-HOR-VU-126,128.9,80.93,43.13
1996-HOR-VU-127,132.65,NA,57.05
1996-HOR-VU-128,126.64,99.94,36.44
1996-HOR-VU-129,131.69,106.5,28.36
1996-HOR-VU-130,128.9,107.48,49.34
1996-HOR-VU-131,130.19,98.09,43.38
1996-HOR-VU-132,131.39,99.17,63.39
1996-HOR-VU-133,127.74,95.26,61.37
1996-HOR-VU-134,126.72,96.25,49.45
1996-HOR-VU-135,130.24,92.64,39.13
1996-HOR-VU-136,NA,103.68,41.88
1996-HOR-VU-137,NA,104.43,33.56
1996-HOR-VU-138,128.6,97.05,40.22
1996-HOR-VU-139,126.33,95.64,39.87
1996-HOR-VU-140,127.84,98.34,48.04
1996-HOR-VU-141,127.33,107.29,40.73
1996-HOR-VU-142,NA,106.89,38.69
1996-HOR-VU-143,NA,112.12,42.69
1996-HOR-VU-144,128.27,88.85,56.01
1996-HOR-VU-146,129.28,85.45,46.26
1996-HOR-VU-147,128.8,97.8,50.93
1996-HOR-VU-148,131.82,112.97,49.86
1996-HOR-VU-149,121.47,103.51,38.26
1996-HOR-VU-15,124.27,73.44,54.62
1996-HOR-VU-151,121.02,101.09,43.74
1996-HOR-VU-152,130.03,92.65,46.69
1996-HOR-VU-153,129.35,95.28,34.51
1996-HOR-VU-154,120.49,92.39,48.72
1996-HOR-VU-156,124.73,87.83,49.05
1996-HOR-VU-157,128.26,91.05,52.3
1996-HOR-VU-158,127.47,87.79,46.54
1996-HOR-VU-160,122.88,90.66,51.55
1996-HOR-VU-161,132.45,102.69,43.57
1996-HOR-VU-162,124.96,101.92,50.26
1996-HOR-VU-163,117.16,104.74,33
1996-HOR-VU-164,126.81,116.35,38.65
1996-HOR-VU-165,121.02,97.45,33.14
1996-HOR-VU-166,129.19,94.82,34.44
1996-HOR-VU-167,128.29,94.28,52.92
1996-HOR-VU-168,125.98,101.71,41.84
1996-HOR-VU-169,126.75,96.27,55.94
1996-HOR-VU-17,124.35,59.35,44.66
1996-HOR-VU-170,124.9,94.94,31.24
1996-HOR-VU-171,120.59,89.58,54.59
1996-HOR-VU-172,123.91,101.2,35.43
1996-HOR-VU-173,125.41,104.86,33.26
1996-HOR-VU-174,126.32,101.81,42.72
1996-HOR-VU-175,125.26,99.05,39.67
1996-HOR-VU-176,123.26,102.46,42.85
1996-HOR-VU-177,121.89,95.09,44.14
1996-HOR-VU-18,140.08,82.01,49.36
1996-HOR-VU-180,126.48,103.66,43.63
1996-HOR-VU-181,124.33,109.72,44.35
1996-HOR-VU-182,129.11,111.37,44.96
1996-HOR-VU-183,123.57,95.06,59.36
1996-HOR-VU-187,130.53,99.77,40.16
1996-HOR-VU-188,125.11,98.25,48.19
1996-HOR-VU-189,123.48,95,53.33
1996-HOR-VU-19,141.08,79.61,48.72
1996-HOR-VU-190,127.33,88.62,51.65
1996-HOR-VU-191,122.62,93.86,42.3
1996-HOR-VU-192,122.19,92.04,34.06
1996-HOR-VU-193,126.64,88.54,42.41
1996-HOR-VU-194,121.53,100.89,47.3
1996-HOR-VU-195,127.67,102.93,42.64
1996-HOR-VU-196,128.24,89.07,32.38
1996-HOR-VU-198,124.46,77.8,43.78
1996-HOR-VU-199,127.47,82.51,45.37
1996-HOR-VU-202,125.85,80.39,58.2
1996-HOR-VU-203,130.21,103.89,31.81
1996-HOR-VU-204,127.39,106.55,42.54
1996-HOR-VU-205,122.04,100.82,47.16
1996-HOR-VU-206,127.21,116.99,52.05
1996-HOR-VU-207,122.63,102.44,58.26
1996-HOR-VU-209,120.63,98.25,55.25
1996-HOR-VU-210,122.25,103.29,41.92
1996-HOR-VU-212,125.39,110.08,60.49
1996-HOR-VU-213,123.12,97.58,47.69
1996-HOR-VU-214,127.67,98.01,37.95
1996-HOR-VU-215,123.41,NA,43.84
1996-HOR-VU-216,127.63,85.36,49.99
1996-HOR-VU-217,130.63,100.4,42.82
1996-HOR-VU-219,123.61,105.51,38.19
1996-HOR-VU-22,142.08,81.01,49.06
1996-HOR-VU-220,124.31,86.08,42.27
1996-HOR-VU-221,125.66,110.95,43.97
1996-HOR-VU-222,125.63,117.32,45.72
1996-HOR-VU-223,123.98,104.36,51.75
1996-HOR-VU-224,129.03,119.94,46.14
1996-HOR-VU-225,126.26,96.97,44.35
1996-HOR-VU-226,129.52,105.28,32.62
1996-HOR-VU-227,126.11,91.11,31.3
1996-HOR-VU-229,129.03,100.43,38.22
1996-HOR-VU-23,140.08,79.71,50.13
1996-HOR-VU-230,121.82,99.55,28.42
1996-HOR-VU-231,126.24,90.55,57.23
1996-HOR-VU-232,124.81,82.62,51.44
1996-HOR-VU-233,131.47,92.73,49.95
1996-HOR-VU-235,126.46,84.83,53
1996-HOR-VU-236,127.76,89.56,48.76
1996-HOR-VU-237,128.58,103.79,NA
1996-HOR-VU-238,122.83,110.51,44.08
1996-HOR-VU-239,129.85,103.16,46.98
1996-HOR-VU-24,140.19,83.21,46.7
1996-HOR-VU-241,130.06,106.61,41.4
1996-HOR-VU-242,127.55,94.23,36.32
1996-HOR-VU-243,127.55,100.75,37.33
1996-HOR-VU-244,130.53,100.63,31.87
1996-HOR-VU-245,127.47,96.91,45.2
1996-HOR-VU-246,129.17,86.76,52.2
1996-HOR-VU-247,124.88,NA,46.9
1996-HOR-VU-248,129.23,102.88,39.72
1996-HOR-VU-249,130.79,113.14,46.42
1996-HOR-VU-250,125.76,104.37,52.92
1996-HOR-VU-251,122.68,88.6,38.34
1996-HOR-VU-252,127.34,103.36,48.28
1996-HOR-VU-253,120.63,105.05,41.35
1996-HOR-VU-255,125.54,85.63,55.38
1996-HOR-VU-256,129.2,92.99,44.78
1996-HOR-VU-257,123.47,102.39,35.36
1996-HOR-VU-258,128.12,101.23,39.38
1996-HOR-VU-259,120.17,88.32,45
1996-HOR-VU-260,127.98,79.71,35.08
1996-HOR-VU-261,123.95,79.99,26.67
1996-HOR-VU-262,123.69,79.12,39.23
1996-HOR-VU-263,119.98,99.83,63.19
1996-HOR-VU-264,124.68,97.64,43.21
1996-HOR-VU-265,123.75,103.64,34.91
1996-HOR-VU-267,130.11,84.96,50.45
1996-HOR-VU-268,126.19,101.77,45.71
1996-HOR-VU-269,124.05,90.57,28.08
1996-HOR-VU-270,124.31,93.97,35.51
1996-HOR-VU-271,127.95,106.8,44.93
1996-HOR-VU-272,126.91,109.26,48.6
1996-HOR-VU-273,123.83,102.55,44.81
1996-HOR-VU-274,120.2,100.21,52.87
1996-HOR-VU-276,127.89,115.78,64.16
1996-HOR-VU-277,122.53,101.84,55.33
1996-HOR-VU-278,123.11,99.31,36.98
1996-HOR-VU-279,121.31,110.04,48.92
1996-HOR-VU-280,124.55,89.55,41.41
1996-HOR-VU-281,128.09,100.83,38.99
1996-HOR-VU-282,125.33,98.23,39.13
1996-HOR-VU-283,128.04,106.6,39.9
1996-HOR-VU-284,125.75,99.01,35.8
1996-HOR-VU-285,125.2,103.91,41.86
1996-HOR-VU-286,122.61,99.33,33.41
1996-HOR-VU-287,123.03,99.94,42.99
1996-HOR-VU-288,123.32,85.85,36.59
1996-HOR-VU-289,121.03,95.64,59.93
1996-HOR-VU-290,127.77,95.82,43.91
1996-HOR-VU-291,122.25,91.87,41.23
1996-HOR-VU-292,124.2,94.54,43.64
1996-HOR-VU-293,126.19,98.4,36.28
1996-HOR-VU-30,124.03,83.2,57.32
1996-HOR-VU-32,123.61,57.41,47.69
1996-HOR-VU-33,142.08,79.91,47.01
1996-HOR-VU-36,126.76,71.28,62.89
1996-HOR-VU-37,119.75,60.19,66.69
1996-HOR-VU-38,126.03,70.19,55.22
1996-HOR-VU-40,127.2,71.88,54.29
1996-HOR-VU-41,123.98,84.87,67.59
1996-HOR-VU-42,121.93,67.2,61.42
1996-HOR-VU-43,121.98,71.8,59.26
1996-HOR-VU-44,125.78,65.86,58.14
1996-HOR-VU-45,124.2,62.86,64.35
1996-HOR-VU-46,123.2,73.87,61.16
1996-HOR-VU-47,121.97,52.54,45.74
1996-HOR-VU-48,126.84,69.34,69.53
1996-HOR-VU-49,127.42,79.29,56.75
1996-HOR-VU-5,122.47,55.84,46.13
1996-HOR-VU-50,123.69,68.34,63.82
1996-HOR-VU-51,121.35,78.48,65.49
1996-HOR-VU-52,125.19,68.99,66.6
1996-HOR-VU-53,124.97,69.79,62.43
1996-HOR-VU-54,124.33,79.86,58.15
1996-HOR-VU-56,123.54,56.19,53.78
1996-HOR-VU-57,127.47,77.2,55.83
1996-HOR-VU-59,125.87,69.01,67.69
1996-HOR-VU-6,140.08,78.01,47.29
1996-HOR-VU-60,122.66,72.59,55.16
1996-HOR-VU-61,123.55,69.65,47.89
1996-HOR-VU-62,126.53,66.41,55.74
1996-HOR-VU-64,126.24,77.84,54.23
1996-HOR-VU-65,124.49,76.53,58.83
1996-HOR-VU-66,125.98,63.77,58.45
1996-HOR-VU-68,124.21,80.87,47.49
1996-HOR-VU-69,131.18,75.84,35.39
1996-HOR-VU-70,123.49,77.62,43.13
1996-HOR-VU-71,125.82,73.18,46.79
1996-HOR-VU-72,126.23,73.53,42.39
1996-HOR-VU-73,123.39,73.44,44.96
1996-HOR-VU-74,128.29,88.82,46.79
1996-HOR-VU-76,124.82,75.64,55.88
1996-HOR-VU-77,126.24,71.88,55.61
1996-HOR-VU-79,123.95,61.09,45.76
1996-HOR-VU-8,126.55,72.48,52.34
1996-HOR-VU-81,127.39,72.75,53.3
1996-HOR-VU-82,123.41,68.63,50.04
1996-HOR-VU-85,131.62,82.64,53.5
1996-HOR-VU-86,130.75,82.24,48.06
1996-HOR-VU-89,132.75,89.81,50.75
