accenumb,agent_id,doi,days_to_heading,thousand_kernel_weight,plant_height,date_of_heading,type_of_bush,leaf-flag_attitude,spike_attitude,spike_shape,spike_branching,spike_awnedness,glume_colour,name,description,campaign
1985-TRT-AE-113,NA,10.18730/ZNC4=,157,37.5,120.6,19850606,3,3,3,1,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,1984-1985
1985-TRT-AE-166,NA,10.18730/ZEZ9X,151,40.2010050251256,74.8,19850531,7,5,3,1,1,7,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,1984-1985
1985-TRT-AE-168,NA,10.18730/ZEZAY,150,28.5714285714286,92,19850530,5,5,1,1,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,1984-1985
1985-TRT-AE-169,NA,10.18730/ZEZBZ,152,18.3150183150183,66.2,19850601,5,1,3,3,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,1984-1985
1985-TRT-AE-170,NA,10.18730/ZEZC*,150,18.6335403726708,97.8,19850530,5,3,1,3,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,1984-1985
1985-TRT-AE-190,NA,10.18730/ZEZD~,144,42.5,80.4,19850524,3,3,9,1,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,1984-1985
1985-TRT-AE-198,NA,10.18730/ZEZE$,143,37.4,65,19850523,3,3,3,3,1,5,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,1984-1985
1986-TRT-AE-1,NA,10.18730/ZF0M=,150,45.6,81,19850530,5,1,5,1,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,1984-1985
1986-TRT-AE-191,NA,10.18730/ZEZGU,140,31.1,76.5,19850520,5,3,5,1,1,5,4,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,1984-1985
1986-TRT-AE-192,NA,10.18730/ZEZH0,150,25.4,67,19850530,5,3,5,1,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,1984-1985
1986-TRT-AE-194,NA,10.18730/ZEZJ1,149,34.9,70,19850529,3,1,5,1,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,1984-1985
1986-TRT-AE-195,NA,10.18730/ZEZK2,154,27.5,88,19850603,5,3,7,3,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,1984-1985
1986-TRT-AE-196,NA,10.18730/ZEZM3,149,30.8,78,19850529,5,3,5,3,1,1,2,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,1984-1985
1986-TRT-AE-197,NA,10.18730/ZEZN4,151,28.9,85.7,19850531,5,1,7,3,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,1984-1985
1986-TRT-AE-198,NA,10.18730/ZEZP5,151,33.9,89.5,19850531,5,1,5,1,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,1984-1985
1986-TRT-AE-199,NA,10.18730/ZEZQ6,152,26.2,74,19850601,7,1,7,1,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,1984-1985
1986-TRT-AE-3,NA,10.18730/ZF0NU,149,40.9,85.8,19850529,5,3,5,1,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,1984-1985
1986-TRT-AE-344,NA,10.18730/ZEZR7,149,36.9,97,19850529,5,1,7,3,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,1984-1985
1986-TRT-AE-347,NA,10.18730/ZEZS8,151,38.3,95.8,19850531,5,3,1,1,1,3,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,1984-1985
1986-TRT-AE-356,NA,10.18730/ZEZT9,143,38.7,109.4,19850523,5,1,3,1,1,3,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,1984-1985
1986-TRT-AE-431,NA,10.18730/ZF0R2,142,43.6,87.2,19850522,5,1,3,3,1,5,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,1984-1985
1986-TRT-AE-438,NA,10.18730/ZF0S3,142,48.6,93.2,19850522,5,1,9,1,1,5,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,1984-1985
1986-TRT-AE-439,NA,10.18730/ZF0T4,142,37.8,92.4,19850522,5,3,9,1,1,5,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,1984-1985
1986-TRT-AE-5,NA,10.18730/ZF0P0,148,37.8,86,19850528,3,1,5,3,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,1984-1985
1986-TRT-AE-6,NA,10.18730/ZF0Q1,149,41.5,87,19850529,3,1,3,3,1,3,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,1984-1985
1986-TRT-AE-62,NA,10.18730/ZEZF=,144,29.3,82,19850524,3,3,5,1,1,3,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,1984-1985
2001-TRT-AE-160,NA,10.18730/ZEZVA,144,36.5,77,19850524,5,3,1,1,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,1984-1985
2001-TRT-AE-163,NA,10.18730/ZEZWB,141,39.3,86,19850521,3,3,1,3,1,7,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,1984-1985
2001-TRT-AE-167,NA,10.18730/ZBG9X,142,35.2,73,19850522,5,5,5,1,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,1984-1985
2001-TRT-AE-168,NA,10.18730/ZBG8W,142,32.5,77,19850522,5,3,3,3,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,1984-1985
