genotype,days_to_heading_BLUE,plant_height_BLUE,thousand_kernel_weight_BLUE
C0601087,73.87,71.7,45.47
C0601088,72.59,68.79,45.9
C0601089,NA,NA,NA
C0601090,69.85,67.91,46.22
C0601092,NA,NA,NA
C0601094,NA,74.81,NA
C0601095,76.85,69.54,48.53
C0601097,67.88,74.53,46.26
C0601098,73.96,74.57,44.85
C0601099,NA,NA,NA
C0601100,NA,NA,NA
C0601101,NA,NA,NA
C0601103,76.85,71.58,40.55
C0601107,76.05,65.38,42.87
C0601108,74.88,66.58,38.39
C0601109,73.82,71.54,42.8
C0601111,NA,NA,NA
C0601113,NA,NA,NA
C0601114,NA,NA,NA
C0601115,72.89,76.59,48.88
C0601117,69.85,69.59,47.12
C0601118,73.87,76.56,41.83
C0601119,66.87,77.21,47.86
C0601120,68.67,69.76,46.98
C0601121,74.88,74.49,47.76
C0601124,NA,NA,NA
C0601125,NA,NA,NA
C0601126,NA,NA,NA
C0601128,NA,NA,NA
C0601131,NA,NA,NA
C0601133,NA,NA,NA
C0601134,NA,NA,NA
C0601135,72.85,85.6,NA
C0601137,NA,NA,NA
C0601138,NA,70.41,NA
C0601139,73.89,63.55,43.03
C0601143,69.85,86.74,53.25
C0601145,73.91,73.54,43.71
C0601146,70.99,79.4,44.46
C0601147,70.21,73.49,50.88
C0601148,73.69,81.53,43.84
C0601149,70.83,81.26,50.08
C0601152,NA,NA,NA
C0601154,NA,NA,NA
C0601156,73.4,100.95,41.97
C0601157,NA,NA,NA
C0601158,NA,NA,NA
C0601159,NA,NA,NA
C0601160,NA,81.54,44.38
C0601163,NA,NA,NA
C0601174,NA,89.24,43.31
C0601175,NA,NA,NA
C0601189,NA,NA,NA
C0601190,NA,NA,NA
C0601193,NA,NA,NA
C0601196,NA,NA,NA
C0601200,69.85,66.77,46.75
C0601202,NA,71.73,46.13
C0601203,67.88,68.52,45.03
C0601204,73.87,74.54,46.15
C0601205,69.85,77.56,49.68
C0601209,NA,NA,NA
C0601210,77.19,80.37,40.1
C0601211,74.79,88.54,NA
C0601212,75.67,89.26,41.81
C0601213,78.92,93.55,38.47
C0601214,77.78,94.49,NA
C0601215,78.79,76.59,NA
C0601216,82.76,89.5,NA
C0601217,80.54,93.3,NA
C0601218,NA,NA,NA
C0601219,79.57,95.82,NA
C0601220,NA,NA,NA
C0601221,NA,NA,NA
C0601222,NA,NA,NA
C0601223,71.78,91.49,NA
C0601224,69.72,58.55,NA
C0601225,73.89,78.52,47.59
C0601226,NA,NA,NA
C0601227,74.91,75.49,49.02
C0601228,71.85,82.55,46.81
C0601229,76.72,105.09,NA
C0601230,69.76,86.52,30.7
C0601231,80.72,74.57,NA
C0601232,74.76,72.55,NA
C0601233,78.76,65.52,NA
C0601234,75.7,77.49,NA
C0601235,75.54,91.48,43.63
C0601236,72.74,68.55,NA
C0601237,77.73,91.57,NA
C0601238,72.85,74.56,50.83
C0601239,67.38,75.7,45.97
C0601240,NA,82.68,NA
C0601241,NA,NA,NA
C0601242,NA,NA,NA
C0601243,68.48,74.64,46.74
C0601244,64.88,78.57,NA
C0601245,62.88,68.59,NA
C0601246,64.88,72.66,46.25
C0601247,69.88,77.54,NA
C0601248,62.88,71.59,NA
C0601250,64.88,78.58,NA
C0601251,NA,NA,41.5
C0601252,NA,75.63,NA
C0601253,NA,83.56,37.38
C0601257,NA,NA,NA
C0601258,70.68,83.33,48.03
C0601259,NA,81.59,43.95
C0601261,NA,NA,NA
C0601263,NA,NA,NA
C0601265,NA,NA,NA
C0601266,NA,NA,NA
C0601268,NA,NA,NA
C0601270,NA,NA,NA
C0601271,NA,NA,NA
C0601272,NA,NA,NA
C0601273,NA,NA,NA
C0601274,NA,NA,NA
C0601275,NA,NA,NA
C0601276,NA,NA,NA
C0601277,NA,NA,NA
C0601278,NA,NA,NA
C0601280,NA,NA,NA
C0601281,NA,NA,NA
C0601282,NA,NA,NA
C0601283,NA,NA,42.56
C0601284,NA,NA,NA
C0601285,NA,NA,NA
C0601286,NA,NA,NA
C0601287,NA,NA,NA
C0601288,NA,NA,NA
C0601289,NA,NA,NA
C0601291,NA,NA,NA
C0601292,NA,NA,46.83
C0601293,NA,NA,NA
C0601294,NA,NA,NA
C0601295,NA,NA,NA
C0601297,NA,NA,NA
C0601298,NA,NA,NA
C0601299,NA,NA,NA
C0601300,NA,NA,NA
C0601301,NA,NA,44.13
C0601302,NA,NA,NA
C0601303,NA,NA,NA
C0601304,NA,NA,NA
C0601306,NA,NA,NA
C0601307,NA,NA,NA
C0601308,NA,NA,NA
C0601309,NA,NA,NA
C0601310,NA,NA,NA
C0601313,NA,NA,NA
C0601315,NA,NA,41.23
C0601316,NA,NA,NA
C0601318,NA,NA,NA
C0601319,NA,NA,NA
C0601321,NA,NA,NA
C0601324,NA,NA,NA
C0601325,NA,NA,NA
C0601326,NA,NA,NA
C0601329,NA,NA,NA
C0601330,NA,NA,NA
C0601331,NA,NA,NA
C0601333,NA,NA,NA
C0601334,NA,NA,NA
C0601336,NA,NA,NA
C0601337,NA,NA,NA
C0601338,NA,72.39,NA
C0601339,NA,NA,NA
C0601341,NA,NA,NA
C0601346,NA,NA,NA
C0601347,NA,NA,55.13
C0601348,NA,NA,52.79
C0601349,NA,NA,53.62
C0601350,NA,NA,55.41
C0601351,NA,NA,55.74
C0601352,NA,NA,NA
C0601353,NA,NA,44.44
C0601355,NA,NA,NA
C0601356,NA,NA,51.15
C0601359,NA,NA,52.71
C0601360,NA,NA,51.73
C0601361,NA,68.85,47.99
C0601362,NA,NA,46.3
C0601363,NA,NA,54.17
C0601368,NA,NA,NA
C0601377,NA,70.66,46.87
C0601378,NA,81.18,35.41
C0601380,NA,NA,NA
C0601382,NA,NA,NA
C0601383,NA,NA,NA
C0601384,NA,NA,NA
C0601385,NA,NA,NA
C0601386,NA,NA,NA
C0601387,NA,NA,NA
C0601388,NA,NA,NA
C0601389,NA,NA,NA
C0601390,NA,NA,NA
C0601391,NA,NA,NA
C0601392,NA,NA,NA
C0601393,NA,NA,NA
C0601394,NA,NA,NA
C0601395,NA,NA,NA
C0601396,NA,NA,NA
C0601397,NA,NA,NA
C0601398,NA,79.67,39.65
C0601399,NA,70.96,39.26
C0601400,NA,78.04,39.42
C0601401,NA,69.33,46.4
C0601402,NA,71.98,41.34
C0601403,NA,64.79,32.34
C0601404,NA,NA,NA
C0601405,NA,NA,NA
C0601407,NA,NA,NA
C0601408,NA,70.9,48.97
C0601409,NA,NA,NA
C0601411,NA,73.62,36.97
C0601412,NA,NA,NA
C0601413,NA,NA,NA
C0601414,NA,NA,NA
C0601415,NA,NA,NA
C0601416,NA,NA,NA
C0601417,NA,NA,NA
C0601421,NA,NA,NA
C0601422,NA,NA,NA
C0601423,NA,NA,NA
C0601424,NA,NA,NA
C0601425,NA,88.31,44.49
C0601426,NA,NA,NA
C0601427,NA,NA,NA
C0601428,NA,NA,NA
C0601429,NA,NA,NA
C0601430,NA,70.25,48.27
C0601431,NA,NA,NA
C0601432,NA,NA,NA
C0601433,NA,NA,NA
C0601434,NA,NA,NA
C0601435,NA,NA,NA
C0601436,NA,NA,NA
C0601437,NA,NA,NA
C0601438,NA,NA,NA
C0601439,NA,NA,NA
C0601440,NA,NA,NA
C0601441,NA,NA,NA
C0601442,NA,NA,NA
C0601443,NA,NA,NA
C0601444,NA,NA,NA
C0601445,NA,NA,NA
C0601446,NA,NA,NA
C0601447,NA,NA,NA
C0601448,NA,NA,NA
C0601449,NA,NA,NA
C0601450,NA,NA,NA
C0601451,NA,NA,NA
C0601452,NA,91.64,42.74
C0601453,NA,NA,NA
C0601454,NA,NA,NA
C0601455,NA,NA,NA
C0601456,NA,NA,NA
C0601457,NA,NA,NA
C0601458,NA,NA,NA
C0601459,NA,NA,NA
C0601460,NA,NA,NA
C0601461,NA,NA,NA
C0601462,NA,NA,NA
C0601463,NA,NA,NA
C0601464,NA,NA,NA
C0601466,NA,NA,NA
C0601467,NA,NA,NA
C0601468,NA,NA,NA
C0601469,NA,NA,NA
C0601470,NA,NA,NA
C0601471,NA,NA,NA
C0601472,NA,NA,NA
C0601473,NA,82.97,43.99
C0601474,NA,NA,NA
C0601475,NA,NA,NA
C0601476,NA,NA,NA
C0601477,NA,NA,NA
C0601478,NA,NA,NA
C0601479,NA,NA,NA
C0601480,NA,NA,NA
C0601481,NA,NA,NA
C0601482,NA,NA,NA
C0601483,NA,NA,NA
C0601484,NA,NA,NA
C0601485,NA,NA,NA
C0601486,NA,NA,NA
C0601487,NA,NA,NA
C0601488,NA,NA,NA
C0601489,NA,NA,NA
C0601490,NA,NA,NA
C0601491,NA,NA,NA
C0601492,NA,NA,NA
C0601493,NA,NA,NA
C0601495,NA,NA,NA
C0601496,NA,NA,NA
C0601498,NA,NA,NA
C0601499,NA,NA,NA
C0601500,NA,NA,NA
C0601501,NA,NA,NA
C0601502,NA,NA,NA
C0601503,NA,NA,NA
C0601504,NA,NA,NA
C0601505,NA,NA,NA
C0601506,NA,NA,NA
C0601507,NA,NA,NA
C0601508,NA,NA,NA
C0601509,NA,NA,NA
C0601510,NA,NA,NA
C0601511,NA,NA,NA
C0601512,NA,NA,NA
C0601513,NA,NA,NA
C0601515,NA,NA,NA
C0601516,NA,NA,NA
C0601517,NA,NA,NA
C0601518,NA,NA,NA
C0601519,NA,NA,NA
C0601520,NA,NA,NA
C0601521,NA,NA,NA
C0601522,NA,NA,NA
C0601523,NA,NA,NA
C0601524,NA,NA,NA
C0601525,NA,NA,NA
C0601526,NA,NA,NA
C0601527,NA,NA,NA
C0601528,NA,69.54,NA
C0601529,NA,NA,NA
C0601530,NA,84.94,39.49
C0601531,NA,NA,NA
C0601532,NA,NA,NA
C0601533,NA,NA,NA
C0601534,NA,NA,NA
C0601535,NA,NA,NA
C0601536,NA,68.38,48.16
C0601537,NA,NA,NA
C0601538,NA,NA,NA
