accenumb,campaign,days_to_heading,thousand_kernel_weight,plant_height
C0104824,1976-1977,210,49.3,101.8
C0104825,1976-1977,219,48.7,106
C0104825,1976-1977,213,40.1,114
C0104925,1976-1977,188,42.8,85
C0104925,1976-1977,205,45,85
C0104925,1976-1977,201,43.9,85.5
C0104926,1976-1977,198,49.7,93
C0104926,1976-1977,212,49.1,84
C0104926,1976-1977,207,49.2,88.5
C0104928,1976-1977,194,45,87
C0104928,1976-1977,218,58.5,82.3
C0104928,1976-1977,204,51.2,82.5
C0104929,1976-1977,194,41.7,82
C0104929,1976-1977,213,48.4,76.5
C0104929,1976-1977,204,45,79.2
C0104932,1976-1977,201,47.5,87
C0104932,1976-1977,215,55.2,88
C0104932,1976-1977,209,47.5,83.7
C0104933,1976-1977,196,49.7,85
C0104933,1976-1977,209,61.8,84.5
C0104933,1976-1977,206,55,84.8
C0104934,1976-1977,194,51,79
C0104934,1976-1977,218,43,74
C0104934,1976-1977,206,47.2,76.5
C0105424,1976-1977,220,48.4,98
C0105424,1976-1977,217,43.9,108.3
C0105748,1976-1977,201,44.6,108
C0105748,1976-1977,217,53.6,106
C0105748,1976-1977,209,49.8,107
C0100138,1979-1980,225,47.2,81.3
C0100147,1979-1980,225,46.5,83
C0100240,1979-1980,229,52.9,77.7
C0100241,1979-1980,233,55.6,96.9
C0100246,1979-1980,229,57.2,113.7
C0100294,1979-1980,226,45.1,72.1
C0100966,1979-1980,233,62.6,88.2
C0101006,1979-1980,227,52.1,77.9
C0101186,1979-1980,228,48.4,85.1
C0101189,1979-1980,228,47.5,88.2
C0101194,1979-1980,228,52.9,102
C0101217,1979-1980,224,53.5,89.6
C0101303,1979-1980,225,52.7,77.9
C0101337,1979-1980,225,51.1,81.5
C0101356,1979-1980,226,46.2,98.2
C0101384,1979-1980,226,44.2,92.2
C0101387,1979-1980,228,50.1,85.3
C0101401,1979-1980,229,52.6,93.1
C0101470,1979-1980,226,59,88.9
C0101473,1979-1980,224,41.4,84.3
C0101663,1979-1980,225,52.2,87
C0100021,1980-1981,222,51,73
C0100028,1980-1981,217,45.1,74.6
C0100029,1980-1981,218,44.6,73
C0100138,1980-1981,218,39.2,72.4
C0100138,1980-1981,222,43.2,76.8
C0100147,1980-1981,218,44.1,78.6
C0100147,1980-1981,222,45.3,80.8
C0100240,1980-1981,222,47.3,74
C0100240,1980-1981,226,50.1,75.8
C0100241,1980-1981,225,53,101.8
C0100241,1980-1981,229,54.3,99.3
C0100246,1980-1981,223,44.3,114.8
C0100246,1980-1981,226,50.7,114.2
C0100294,1980-1981,222,40.2,64.4
C0100294,1980-1981,224,42.6,68.2
C0100324,1980-1981,221,48.6,72.6
C0100837,1980-1981,222,44.3,76
C0100966,1980-1981,218,52.9,85.4
C0100966,1980-1981,226,57.7,86.8
C0101006,1980-1981,218,49.4,69.6
C0101006,1980-1981,223,50.7,73.3
C0101167,1980-1981,218,38.2,67.2
C0101180,1980-1981,218,37.2,64.2
C0101186,1980-1981,223,42.9,77.2
C0101186,1980-1981,226,45.6,81.1
C0101189,1980-1981,221,46.1,84
C0101189,1980-1981,225,46.8,86.1
C0101194,1980-1981,219,46.6,102.4
C0101194,1980-1981,224,49.7,102.2
C0101217,1980-1981,221,51.3,85.6
C0101217,1980-1981,223,52.4,87.6
C0101303,1980-1981,219,50.8,72.4
C0101303,1980-1981,222,51.7,75.1
C0101337,1980-1981,218,46.8,72.4
C0101337,1980-1981,222,48.9,76.9
C0101356,1980-1981,218,42,89.8
C0101356,1980-1981,222,44.1,94
C0101360,1980-1981,221,45.4,74.2
C0101384,1980-1981,221,38.2,75.6
C0101384,1980-1981,224,41.2,83.9
C0101387,1980-1981,222,40.7,79.6
C0101387,1980-1981,225,45.4,82.4
C0101401,1980-1981,223,44.5,95.4
C0101401,1980-1981,226,48.5,94.2
C0101470,1980-1981,218,52.9,89
C0101470,1980-1981,222,55.9,88.9
C0101473,1980-1981,219,44.3,86
C0101473,1980-1981,222,42.8,85.1
C0101501,1980-1981,218,36.4,68
C0101550,1980-1981,221,34.7,65.2
C0101596,1980-1981,223,55,73.6
C0101663,1980-1981,219,44.6,83
C0101663,1980-1981,222,48.4,85
C0101665,1980-1981,227,45.6,81.5
C0100021,1982-1983,224,49.6,72.2
C0100028,1982-1983,219,44.1,75
C0100029,1982-1983,220,44.9,74.7
C0100075,1982-1983,220,39.6,79.4
C0100138,1982-1983,220,39.7,79.43
C0100139,1982-1983,220,36.8,77.6
C0100140,1982-1983,223,40.3,70.5
C0100147,1982-1983,219,42.3,81.43
C0100185,1982-1983,220,38.3,78.7
C0100239,1982-1983,227,48.9,79
C0100240,1982-1983,223,45.9,70.76
C0100241,1982-1983,225,47.3,90.3
C0100246,1982-1983,223,43,107.43
C0100246,1982-1983,226,41.56,106.75
C0100264,1982-1983,226,41,88.53
C0100289,1982-1983,219,50.8,95.63
C0100290,1982-1983,222,44.7,90.9
C0100292,1982-1983,221,46.3,96.6
C0100294,1982-1983,220,42.8,70.8
C0100324,1982-1983,221,48.7,74.8
C0100338,1982-1983,226,42.7,89.53
C0100344,1982-1983,228,46.8,69.3
C0100377,1982-1983,225,46.4,86.83
C0100710,1982-1983,222,50.1,94.46
C0100711,1982-1983,221,42.4,80
C0100715,1982-1983,220,41.3,82.2
C0100837,1982-1983,222,43.2,75.4
C0100858,1982-1983,224,49.8,87.76
C0100966,1982-1983,218,54.1,83.43
C0101002,1982-1983,218,40.6,74.4
C0101003,1982-1983,218,35.4,78.36
C0101045,1982-1983,219,38.9,82.4
C0101158,1982-1983,227,46.7,92.03
C0101159,1982-1983,227,44.7,71.66
C0101164,1982-1983,221,45.4,87.4
C0101165,1982-1983,220,40.6,89.9
