accenumb,campaign,days_to_heading,thousand_kernel_weight,plant_height
C0101188,2002-2003,210,NA,69
C0101189,2002-2003,210,NA,75.33
C0101190,2002-2003,202,NA,62
C0101192,2002-2003,210,NA,65.67
C0101193,2002-2003,210,NA,66
C0101194,2002-2003,210,NA,82
C0101195,2002-2003,202,NA,84.67
C0101196,2002-2003,202,NA,83
C0101197,2002-2003,210,NA,80.67
C0101198,2002-2003,210,NA,72
C0101199,2002-2003,203,NA,74.67
C0101200,2002-2003,210,NA,70.67
C0101201,2002-2003,203,NA,71.334
C0101202,2002-2003,210,NA,62
C0101203,2002-2003,210,NA,81
C0101246,2002-2003,210,38,86
C0101278,2002-2003,209,41.9,85.4
C0101351,2002-2003,211,37.2,76.33
C0101419,2002-2003,219,32.7,114.67
C0101591,2002-2003,203,45,108.6
C0102893,2002-2003,219,NA,53.33
C0103283,2002-2003,219,35.6,68.17
C0103356,2002-2003,215,NA,60.67
C0103362,2002-2003,203,NA,77.67
C0103364,2002-2003,215,38.6,85.15
C0103365,2002-2003,209,NA,87
C0103366,2002-2003,202,NA,79
C0103367,2002-2003,216,42.5,109
C0103368,2002-2003,216,NA,66.33
C0103369,2002-2003,215,34.9,89
C0103370,2002-2003,219,34.1,79.8
C0103372,2002-2003,202,36,91
C0103373,2002-2003,208,43.6,96.8
C0103374,2002-2003,208,33.3,94.7
C0103375,2002-2003,208,32,83.35
C0103376,2002-2003,208,32.4,101.95
C0103377,2002-2003,203,36.8,93.55
C0103378,2002-2003,203,37.9,87.75
C0103379,2002-2003,204,43.9,101.6
C0103380,2002-2003,208,36.9,95.25
C0103381,2002-2003,209,42.3,99.3
C0103382,2002-2003,208,44.5,89.85
C0103384,2002-2003,216,33,89.85
C0103385,2002-2003,217,27.9,75.7
C0103386,2002-2003,215,NA,71.67
C0103388,2002-2003,216,37.2,101.9
C0103389,2002-2003,216,38.6,85.7
C0103390,2002-2003,205,51.5,112
C0103393,2002-2003,208,NA,89
C0103394,2002-2003,208,37.2,102.5
C0103395,2002-2003,210,NA,94.33
C0103396,2002-2003,216,34.5,101.6
C0103397,2002-2003,210,NA,95.67
C0103399,2002-2003,216,36,80.9
C0103401,2002-2003,208,NA,81
C0103402,2002-2003,216,NA,66.67
C0103403,2002-2003,215,37.8,58.67
C0103404,2002-2003,216,NA,57.33
C0103406,2002-2003,216,NA,65
C0103409,2002-2003,216,35.9,103.9
C0103410,2002-2003,215,NA,73.33
C0103411,2002-2003,203,41.7,79.6
C0103414,2002-2003,216,37.2,89.4
C0103415,2002-2003,219,NA,119
C0103416,2002-2003,211,44.4,107.3
C0103417,2002-2003,215,43.4,113.85
C0103418,2002-2003,215,31.8,102.25
C0103419,2002-2003,211,36.5,89.9
C0103420,2002-2003,215,NA,85
C0103421,2002-2003,216,NA,63
C0103422,2002-2003,216,29.5,90.6
C0103423,2002-2003,215,39.5,59
C0103435,2002-2003,211,NA,81.67
C0103443,2002-2003,211,40.8,105.5
C0103626,2002-2003,211,40.4,94.95
C0103627,2002-2003,219,27.9,74.55
C0100004,2003-2004,220,41.7,96.6
C0100027,2003-2004,223,40,74.2
C0100037,2003-2004,219,42.7,81.4
C0100040,2003-2004,217,52.2,92.2
C0100046,2003-2004,219,54.8,90.2
C0100051,2003-2004,218,39.9,82
C0100055,2003-2004,217,46.7,83
C0100093,2003-2004,225,41.3,82.8
C0100099,2003-2004,217,35.7,73.2
C0100108,2003-2004,225,36.2,83.2
C0100119,2003-2004,233,42,104.4
C0100135,2003-2004,231,44.1,98.4
C0100146,2003-2004,216,38,76.6
C0100148,2003-2004,212,49.5,90.4
C0100151,2003-2004,217,50,77.6
C0100166,2003-2004,226,35.5,80.6
C0100199,2003-2004,220,39.5,81.4
C0100219,2003-2004,221,36.5,123.6
C0100224,2003-2004,219,38.1,90.8
C0100225,2003-2004,220,51.4,89.4
C0100226,2003-2004,219,50.8,89.4
C0100233,2003-2004,213,41.2,89.8
C0100235,2003-2004,217,37.9,105.2
C0100237,2003-2004,221,37.7,98.2
C0100256,2003-2004,233,41.1,85.6
C0100258,2003-2004,230,51,107.6
C0100261,2003-2004,217,45,81.8
C0100265,2003-2004,230,40,117.4
C0100267,2003-2004,212,41,95.6
C0100269,2003-2004,234,49,107.8
C0100292,2003-2004,224,44.1,97.4
C0100299,2003-2004,227,42.5,88.6
C0100300,2003-2004,223,37.4,85
C0100303,2003-2004,218,41.9,93.6
C0100304,2003-2004,213,40.9,83.8
C0100305,2003-2004,218,53,88
C0100334,2003-2004,233,45,119.2
C0100342,2003-2004,230,45,115.2
C0100361,2003-2004,221,49.8,103.6
C0100363,2003-2004,230,44.8,100.2
C0100370,2003-2004,220,45.6,82
C0100373,2003-2004,213,50.3,102.6
C0100396,2003-2004,220,40.7,106
C0100397,2003-2004,217,37.4,102.2
C0100402,2003-2004,217,39.3,104.49
C0100404,2003-2004,219,46,116
C0100412,2003-2004,218,38,92.8
C0100413,2003-2004,230,36,84
C0100414,2003-2004,217,46.7,81.6
C0100423,2003-2004,213,51.2,93
C0100424,2003-2004,219,45.1,84.4
C0100427,2003-2004,216,55,75.8
C0100428,2003-2004,220,42,79.6
C0100429,2003-2004,212,53.5,83
C0100453,2003-2004,220,36,78.8
C0100461,2003-2004,220,45.9,86.2
C0100466,2003-2004,217,42,82.6
C0100467,2003-2004,218,31.5,70.8
C0100469,2003-2004,218,39.9,80.6
C0100477,2003-2004,219,45.1,93.8
C0100490,2003-2004,230,39.2,107.2
C0100505,2003-2004,230,39.2,103.8
C0100510,2003-2004,218,47.3,121.2
C0100513,2003-2004,220,40.5,88
C0100516,2003-2004,211,45,68.2
C0100519,2003-2004,230,45,89.4
C0100526,2003-2004,233,43.2,103.6
C0100544,2003-2004,218,50,103.2
C0100547,2003-2004,230,40,106.8
C0100553,2003-2004,234,40.1,110
C0100557,2003-2004,216,40,87.2
C0100562,2003-2004,219,48.5,83.2
C0100565,2003-2004,216,47,80
C0100571,2003-2004,223,43.1,102.2
C0100572,2003-2004,220,43.2,97.6
C0100580,2003-2004,224,45.9,85.4
C0100598,2003-2004,216,38,99
C0100600,2003-2004,225,38,124
C0100602,2003-2004,230,40,127.2
C0100614,2003-2004,231,39.3,107.8
C0100618,2003-2004,221,42.2,78.2
C0100621,2003-2004,218,43.8,65.6
C0100622,2003-2004,218,37,76.6
C0100653,2003-2004,236,37.8,115
C0100702,2003-2004,230,42.3,87.4
C0100710,2003-2004,221,48,105.6
C0100758,2003-2004,224,45.2,100.4
C0100762,2003-2004,230,34,84
C0100781,2003-2004,230,46.2,90.8
C0100791,2003-2004,213,45,81.4
C0100792,2003-2004,223,40.4,84.8
C0100812,2003-2004,217,48,93
C0100849,2003-2004,220,46.1,87.4
C0100855,2003-2004,233,37,103.6
C0100896,2003-2004,231,42.5,91.6
C0100963,2003-2004,219,47.8,105
C0100965,2003-2004,223,45,90
C0100977,2003-2004,230,46.1,97.8
C0100983,2003-2004,213,50,79.8
C0100984,2003-2004,212,56.8,85.4
C0100985,2003-2004,212,44.9,89
C0100986,2003-2004,217,54,81.4
C0100987,2003-2004,220,45,93.6
C0100988,2003-2004,213,53,87.8
C0100990,2003-2004,218,45.9,90.6
C0100992,2003-2004,211,55,86
C0100994,2003-2004,218,55,103
C0100995,2003-2004,217,52,82.6
C0100996,2003-2004,234,40,103.2
C0100997,2003-2004,217,44.9,95.8
C0100998,2003-2004,218,53.5,96.4
C0100999,2003-2004,223,43.2,100
C0101003,2003-2004,213,39.2,83.8
C0101007,2003-2004,230,39,94.4
C0101008,2003-2004,234,47.2,120
C0101012,2003-2004,219,51.9,85.6
C0101014,2003-2004,213,41.8,87.4
C0101016,2003-2004,219,40,70
C0101031,2003-2004,230,34,78.8
C0101032,2003-2004,218,54,108.8
C0101039,2003-2004,230,42.5,119.2
C0101044,2003-2004,231,38.1,89.2
C0101093,2003-2004,233,10.9,117.8
C0101177,2003-2004,220,36.2,91.8
C0101182,2003-2004,219,51.1,101
C0101186,2003-2004,212,44,84.6
C0101204,2003-2004,217,46,94.6
C0101205,2003-2004,238,37.5,120.6
C0101206,2003-2004,224,40,97.8
C0101207,2003-2004,220,47.9,98.4
C0101210,2003-2004,226,47.6,104.6
C0101213,2003-2004,233,38,112.8
C0101214,2003-2004,219,47,96.2
C0101215,2003-2004,224,44.9,112.2
C0101217,2003-2004,223,51,86.2
C0101219,2003-2004,230,51,99.2
C0101220,2003-2004,217,48,86.4
C0101221,2003-2004,212,47,103.8
C0101222,2003-2004,230,34.1,83.6
C0101223,2003-2004,230,41.5,104.8
C0101224,2003-2004,232,44,102
C0101225,2003-2004,220,46.3,96.6
C0101226,2003-2004,230,37.5,90.6
C0101229,2003-2004,230,47.5,101.4
C0101231,2003-2004,221,48.5,98
C0101232,2003-2004,212,55,86.4
C0101234,2003-2004,225,40,82.2
C0101235,2003-2004,220,45.8,91.2
C0101236,2003-2004,224,40,82.6
C0101237,2003-2004,221,44,83
C0101238,2003-2004,219,42.5,90.4
C0101239,2003-2004,218,49.5,79.8
C0101240,2003-2004,225,45.1,87.2
C0101242,2003-2004,221,49,83.6
C0101243,2003-2004,224,43.4,93.6
C0101244,2003-2004,223,46.9,93.8
C0101245,2003-2004,226,41.9,101.6
C0101248,2003-2004,223,44.2,92.2
C0101249,2003-2004,221,42.1,86.4
C0101250,2003-2004,225,40.9,113.2
C0101251,2003-2004,234,40,93.8
C0101265,2003-2004,219,49,83
C0101269,2003-2004,219,42.5,69.6
C0101271,2003-2004,219,48,79.6
C0101272,2003-2004,220,45.7,73.4
C0101273,2003-2004,218,45.7,58.6
C0101274,2003-2004,220,45.5,66.8
C0101276,2003-2004,230,47,88.6
C0101277,2003-2004,219,45,84.8
C0101279,2003-2004,219,49.9,80.6
C0101281,2003-2004,224,40.1,89.8
C0101283,2003-2004,222,38,81.6
C0101284,2003-2004,220,40,74.6
C0101285,2003-2004,219,40.7,78.6
C0101286,2003-2004,221,48,85.8
C0101287,2003-2004,223,41.3,76.4
C0101288,2003-2004,223,40.4,84.8
C0101289,2003-2004,225,41.1,73.6
C0101290,2003-2004,230,35.9,84
C0101296,2003-2004,219,46.5,88.8
C0101297,2003-2004,216,49,91.4
C0101301,2003-2004,213,37.8,82.8
C0101302,2003-2004,236,39.2,119.8
C0101303,2003-2004,218,50,80.6
C0101616,2003-2004,234,36.5,121.2
C0101629,2003-2004,218,37.2,98.2
C0101633,2003-2004,218,40,108.6
C0102052,2003-2004,212,35,98
C0102095,2003-2004,230,38,96
C0102201,2003-2004,234,45,113
C0102379,2003-2004,220,47,94.8
C0102736,2003-2004,220,44,90.4
C0102738,2003-2004,231,41.1,93
C0103003,2003-2004,230,35.2,74.67
C0103268,2003-2004,225,48.8,95.9
C0103436,2003-2004,218,44,104.6
C0103437,2003-2004,212,46,110.2
C0103438,2003-2004,226,44,93.2
C0103439,2003-2004,220,44,106.6
C0103440,2003-2004,219,47.7,98.8
C0103441,2003-2004,218,45,95
C0103442,2003-2004,226,44.4,111.2
C0103444,2003-2004,219,46,90.6
C0103445,2003-2004,226,34.9,76.4
C0103446,2003-2004,223,35.2,82.6
C0103447,2003-2004,224,36.5,84.8
C0103448,2003-2004,224,36.2,90
C0103449,2003-2004,224,35.1,87.4
C0103450,2003-2004,224,34.5,87.2
C0103451,2003-2004,224,33.8,86.6
C0103452,2003-2004,219,52.1,118.8
C0103453,2003-2004,220,50.2,116.6
C0103454,2003-2004,233,35.1,106.2
C0103455,2003-2004,233,39.2,107.4
C0103456,2003-2004,234,37.2,108
C0103457,2003-2004,233,37.3,97.8
C0103458,2003-2004,234,40,106.8
C0103459,2003-2004,233,35.4,100
C0103460,2003-2004,233,36.5,95.8
C0103461,2003-2004,220,36.3,81.8
C0103462,2003-2004,219,36.5,82
C0103463,2003-2004,220,34.1,80.8
C0103464,2003-2004,219,34.4,80.8
C0103465,2003-2004,223,28.8,74.6
C0103466,2003-2004,220,34.4,81
C0103467,2003-2004,220,30.9,81
C0103468,2003-2004,220,30,80.6
C0103469,2003-2004,219,36.4,114.2
C0103470,2003-2004,223,32.4,76.4
C0103471,2003-2004,225,34,78.6
C0103472,2003-2004,223,34.2,80
C0103473,2003-2004,221,36.1,76.2
C0103474,2003-2004,221,34.7,78.2
C0103475,2003-2004,221,30.6,74.4
C0103476,2003-2004,220,30.7,75.8
C0103477,2003-2004,225,45.4,92.6
C0103478,2003-2004,230,39.4,81
C0103479,2003-2004,230,39.7,84.8
C0103480,2003-2004,225,43.1,96
C0103481,2003-2004,225,42.9,95.2
C0103482,2003-2004,230,42.3,101.8
C0103483,2003-2004,230,40.4,99.2
C0103484,2003-2004,230,39.8,100.6
C0103485,2003-2004,233,31.4,88.2
C0103486,2003-2004,234,31.7,89.8
C0103487,2003-2004,233,31.7,89.8
C0103488,2003-2004,234,31.8,88.2
C0103489,2003-2004,233,32.9,87.8
C0103490,2003-2004,232,34.3,86.4
C0103491,2003-2004,233,33.5,87.6
C0103492,2003-2004,232,33.1,85.4
C0103493,2003-2004,233,33.1,87.4
C0103494,2003-2004,232,35,86.4
C0103495,2003-2004,232,32.7,86.2
C0103496,2003-2004,231,34.6,88.8
C0103497,2003-2004,232,33.4,88.6
C0103498,2003-2004,232,33.3,88.8
C0103500,2003-2004,233,34.1,87.4
C0103501,2003-2004,233,37.5,85.8
C0103502,2003-2004,233,33.6,88.4
C0103503,2003-2004,234,33,89.6
C0103504,2003-2004,230,37.9,95
C0103505,2003-2004,230,38.8,94.2
C0103506,2003-2004,230,35.1,98.8
C0103507,2003-2004,230,39.5,91.6
C0103508,2003-2004,234,32.4,89.4
C0103509,2003-2004,231,32.2,89.2
C0103510,2003-2004,233,32,90.8
C0103511,2003-2004,231,34.6,84.4
C0103512,2003-2004,230,36.4,86.4
C0103513,2003-2004,233,34.2,83.8
C0103514,2003-2004,233,34.3,87
C0103515,2003-2004,230,35.7,87
C0103516,2003-2004,230,40.1,105
C0103517,2003-2004,230,39.5,105.4
C0103518,2003-2004,234,40.4,106.4
C0103519,2003-2004,230,39.7,102.8
C0103520,2003-2004,234,40.8,105.4
C0103521,2003-2004,230,42,106
C0103522,2003-2004,234,42.9,111.8
C0103523,2003-2004,234,38.4,108.2
C0103524,2003-2004,230,38.1,107
C0103525,2003-2004,234,39.2,108.2
C0103526,2003-2004,230,40.8,117
C0103527,2003-2004,230,38.7,113.2
C0103528,2003-2004,231,38.6,112.6
C0103529,2003-2004,231,40.9,111.6
C0103530,2003-2004,233,38.2,109.8
C0103531,2003-2004,230,38.9,107.8
C0103532,2003-2004,230,43.9,108.4
C0103533,2003-2004,234,42.9,111
C0103534,2003-2004,233,42.3,112
C0103535,2003-2004,230,41.8,105.4
C0103536,2003-2004,225,37.7,88.4
C0103537,2003-2004,226,39.7,91
C0103538,2003-2004,225,37.8,92
C0103539,2003-2004,225,38.3,92
C0103540,2003-2004,231,35.5,74.8
C0103541,2003-2004,230,34.8,71
C0103542,2003-2004,231,34.4,70.8
C0103543,2003-2004,232,28.8,81.6
C0103544,2003-2004,244,49.2,93.8
C0103545,2003-2004,218,44,89.2
C0103546,2003-2004,225,35.3,92.4
C0103547,2003-2004,226,45.2,98.9
C0103548,2003-2004,232,40.4,103.57
C0103549,2003-2004,223,47.6,104.84
C0103550,2003-2004,226,44.4,86.17
C0103551,2003-2004,220,45.1,81
C0103552,2003-2004,218,43.1,82.6
C0103553,2003-2004,212,45,87.54
C0103554,2003-2004,213,50,84.2
C0103555,2003-2004,213,47,90.57
C0103556,2003-2004,211,44.6,83.52
C0103557,2003-2004,217,43.8,89
C0103558,2003-2004,216,51,87.8
C0103559,2003-2004,216,52.3,106.2
C0103560,2003-2004,212,41.2,89.4
C0103561,2003-2004,217,51,86
C0103562,2003-2004,213,44.6,98.89
C0103563,2003-2004,213,48.7,91.6
C0103565,2003-2004,234,36.9,97.29
C0103566,2003-2004,230,35.7,91.67
C0103567,2003-2004,233,39.7,100.24
C0103568,2003-2004,233,41.3,91.1
C0103569,2003-2004,234,32.4,98.53
C0103570,2003-2004,233,33.8,82.62
C0103571,2003-2004,231,35.5,83.59
C0103572,2003-2004,233,36.4,99.54
C0103573,2003-2004,233,34.8,92.8
C0103574,2003-2004,230,NA,105.6
C0103575,2003-2004,230,40.1,96.95
C0103576,2003-2004,233,37.5,95.82
C0103577,2003-2004,230,41.9,96.14
C0103578,2003-2004,233,33.3,97.05
C0103579,2003-2004,230,38.1,84.97
C0103580,2003-2004,230,37,92.02
C0103581,2003-2004,234,37.4,97.69
C0103582,2003-2004,234,37.2,82.59
C0103583,2003-2004,218,36,80.29
C0103584,2003-2004,220,NA,130.8
C0103585,2003-2004,226,41.5,97.8
C0103586,2003-2004,219,39,72.04
C0103587,2003-2004,230,44.5,100.97
C0103588,2003-2004,219,41.9,98.49
C0103589,2003-2004,218,34.4,81.92
C0103590,2003-2004,220,42.2,93.59
C0103591,2003-2004,220,47,72
C0103592,2003-2004,220,39.9,77.79
C0103593,2003-2004,218,37,80.67
C0103594,2003-2004,219,35.5,81.94
C0103595,2003-2004,213,34.1,76.75
C0103596,2003-2004,217,37.3,84.47
C0103597,2003-2004,213,50,80.4
C0103598,2003-2004,223,40.8,80.92
C0103599,2003-2004,218,44,82.79
C0103600,2003-2004,220,43,84.17
C0103601,2003-2004,219,46.6,84.15
C0103602,2003-2004,209,37.3,77
C0103603,2003-2004,209,35.3,77.33
C0103604,2003-2004,209,48.7,63
C0103605,2003-2004,205,44,71
C0103606,2003-2004,205,36,73.67
C0103607,2003-2004,216,40.8,83.64
C0103608,2003-2004,205,45.2,80
C0103609,2003-2004,230,44.1,145.2
C0103610,2003-2004,230,49.5,139.6
C0103611,2003-2004,230,41.2,127.6
C0103612,2003-2004,230,47.8,138.2
C0103613,2003-2004,217,48.3,99.4
C0103614,2003-2004,218,45.5,75
C0103615,2003-2004,220,46.6,96
C0103616,2003-2004,234,48.9,98
C0103617,2003-2004,230,49.5,98.2
C0103618,2003-2004,219,45.6,84
C0103620,2003-2004,218,41.9,84.97
C0103621,2003-2004,217,42.7,80
C0103622,2003-2004,217,43.3,98.39
C0103623,2003-2004,230,43.2,96.57
C0103624,2003-2004,218,43.6,95.6
C0103628,2003-2004,220,44.1,81.74
C0103629,2003-2004,240,35.4,129.6
C0103630,2003-2004,218,40,78.2
C0103631,2003-2004,224,45.3,116.6
C0103632,2003-2004,217,49.2,81
C0103633,2003-2004,219,41.1,89.2
C0103634,2003-2004,218,45.8,83.8
C0103635,2003-2004,221,41.6,85
C0103636,2003-2004,223,39.3,92.2
C0103637,2003-2004,220,40.6,84.8
C0103638,2003-2004,219,37.7,81
C0103639,2003-2004,223,44.6,88.4
C0103640,2003-2004,224,48,90.4
C0103641,2003-2004,230,40,90.45
C0103642,2003-2004,223,50.2,94
C0103643,2003-2004,221,41.2,91.4
C0103644,2003-2004,221,40.2,88.15
C0103645,2003-2004,217,47.1,108.6
C0103646,2003-2004,223,29.7,88.2
C0103647,2003-2004,221,37,99.82
C0103648,2003-2004,226,30.3,85.2
C0103649,2003-2004,221,32,90.4
C0103650,2003-2004,234,37.4,100.27
C0103651,2003-2004,209,39.4,65.33
C0103652,2003-2004,217,38.4,79.2
C0103653,2003-2004,218,42.9,78.2
C0103655,2003-2004,233,38.5,132.4
C0103659,2003-2004,225,46,111.6
C0103660,2003-2004,226,49.1,120.2
C0103661,2003-2004,230,39.9,102.6
C0103732,2003-2004,218,47.3,92.89
C0103747,2003-2004,218,41.9,75.7
C0103771,2003-2004,223,37.5,88.92
C0103783,2003-2004,223,NA,86.8
C0103976,2003-2004,230,44.5,91.14
C0103984,2003-2004,218,42.7,81.89
C0103996,2003-2004,223,43.5,105.74
C0103997,2003-2004,220,45.4,85.1
C0103999,2003-2004,223,46.6,100.29
C0104000,2003-2004,230,35.2,90.55
C0104001,2003-2004,217,41.7,77.74
C0104002,2003-2004,226,39.6,90.04
C0104003,2003-2004,219,43.9,89.7
C0104004,2003-2004,220,46.1,93.8
C0104005,2003-2004,213,49.3,99.321
C0104007,2003-2004,221,38.6,86.14
C0104008,2003-2004,217,45.2,89.35
C0104009,2003-2004,223,39.2,93.55
C0104010,2003-2004,218,39.3,90.47
C0104011,2003-2004,212,40.6,83.55
C0104012,2003-2004,223,35.4,81.79
C0104013,2003-2004,217,45,93.74
C0104014,2003-2004,219,35.7,93.69
C0104015,2003-2004,234,39.9,101.79
C0104016,2003-2004,213,43.6,86.77
C0104017,2003-2004,223,43.3,86.47
C0104018,2003-2004,230,42.2,109.12
C0104019,2003-2004,213,47.8,83.15
C0104020,2003-2004,218,47.5,90.17
C0104021,2003-2004,213,37.6,86.69
C0104022,2003-2004,217,45.5,85.82
C0104023,2003-2004,224,41.6,103.27
C0104024,2003-2004,219,36.2,78.99
C0104025,2003-2004,226,38.9,81.2
C0104026,2003-2004,220,41.3,77.6
C0104027,2003-2004,221,44.6,97.94
C0104032,2003-2004,210,37.6,76
C0104033,2003-2004,225,39.1,113
C0104044,2003-2004,209,35.3,68.33
C0104047,2003-2004,223,38.3,92.82
C0104053,2003-2004,209,45.2,66
C0104054,2003-2004,205,43.3,72.67
C0104055,2003-2004,209,36.5,74
C0104056,2003-2004,218,39.3,76
C0104065,2003-2004,209,NA,68.4
C0100001,2004-2005,228,41.9,97.2
C0100068,2004-2005,230,33.6,95
C0100069,2004-2005,225,43.5,95.2
C0100070,2004-2005,228,41.1,78.4
C0100075,2004-2005,223,48,91.6
C0100079,2004-2005,221,50,89.2
C0100081,2004-2005,222,47,83
C0100084,2004-2005,224,48.9,89.8
C0100091,2004-2005,225,44.2,96.2
C0100098,2004-2005,224,45.3,110.2
C0100116,2004-2005,228,NA,93.4
C0100118,2004-2005,225,32,105.4
C0100120,2004-2005,222,39,112.2
C0100121,2004-2005,230,42,110
C0100125,2004-2005,225,43.1,109
C0100127,2004-2005,225,35,108
C0100131,2004-2005,223,47.2,80.8
C0100145,2004-2005,223,47,90
C0100152,2004-2005,223,49,79.6
C0100153,2004-2005,222,41,106.6
C0100161,2004-2005,225,52,104
C0100177,2004-2005,224,NA,98.25
C0100178,2004-2005,222,46.9,109.8
C0100179,2004-2005,225,52.5,119
C0100183,2004-2005,225,44.9,72.6
C0100185,2004-2005,222,41.5,103.6
C0100186,2004-2005,222,41.5,97.2
C0100187,2004-2005,222,46.2,85.8
C0100189,2004-2005,221,43,95
C0100193,2004-2005,221,40,108.8
C0100213,2004-2005,229,30,146.4
C0100218,2004-2005,223,35,104.8
C0100220,2004-2005,225,39,107
C0100221,2004-2005,NA,NA,72.8
C0100229,2004-2005,222,36,103
C0100244,2004-2005,225,35.7,127.4
C0100262,2004-2005,221,48.2,110
C0100339,2004-2005,232,37,107
C0100353,2004-2005,222,43,99.6
C0100360,2004-2005,221,46.9,102.2
C0100364,2004-2005,222,41,116.2
C0100369,2004-2005,223,44,81.2
C0100378,2004-2005,232,32,72.6
C0100382,2004-2005,224,42.3,85
C0100390,2004-2005,225,33.5,76.8
C0100391,2004-2005,228,NA,85
C0100401,2004-2005,221,NA,88
C0100405,2004-2005,224,45,113.6
C0100407,2004-2005,229,NA,97.8
C0100420,2004-2005,224,50,98.4
C0100421,2004-2005,222,45,93.6
C0100422,2004-2005,223,42.1,92.8
C0100434,2004-2005,225,45,83.2
C0100437,2004-2005,228,45,99.2
C0100439,2004-2005,225,50,95
C0100440,2004-2005,224,49,116.4
C0100441,2004-2005,223,50.2,89.6
C0100444,2004-2005,229,30.9,107.2
C0100446,2004-2005,229,39.9,109.2
C0100462,2004-2005,225,50.2,82.8
C0100475,2004-2005,221,49.9,99
C0100481,2004-2005,223,40,91.6
C0100482,2004-2005,222,42,102.4
C0100484,2004-2005,218,NA,93
C0100487,2004-2005,225,50.1,118
C0100494,2004-2005,229,44.5,103
C0100499,2004-2005,229,36.1,98.8
C0100509,2004-2005,228,39.9,107.6
C0100523,2004-2005,224,36,123
C0100524,2004-2005,228,39.1,100
C0100525,2004-2005,228,43,96.4
C0100554,2004-2005,222,NA,100.8
C0100558,2004-2005,225,40,81
C0100559,2004-2005,222,45,100
C0100560,2004-2005,225,40,90.4
C0100576,2004-2005,224,47,113.2
C0100577,2004-2005,222,38.7,89.6
C0100601,2004-2005,224,43,143.4
C0100612,2004-2005,225,32,96.6
C0100624,2004-2005,225,41,93.8
C0100628,2004-2005,221,NA,90.8
C0100635,2004-2005,224,45,110.2
C0100643,2004-2005,224,39.7,109.8
C0100647,2004-2005,224,43,104.2
C0100649,2004-2005,222,47,92.6
C0100652,2004-2005,224,42.9,104.8
C0100655,2004-2005,228,42,107.4
C0100656,2004-2005,225,44.4,89.4
C0100672,2004-2005,232,23,140.4
C0100674,2004-2005,225,45.2,90.4
C0100675,2004-2005,224,41.8,82.4
C0100716,2004-2005,222,50,92.2
C0100717,2004-2005,225,44,113.6
C0100751,2004-2005,225,41.1,95.6
C0100769,2004-2005,218,47,98.2
C0100813,2004-2005,224,47.8,95.4
C0100817,2004-2005,228,37.1,93.2
C0100818,2004-2005,228,34.9,85.2
C0100830,2004-2005,229,28,72.2
C0100837,2004-2005,223,49.6,103.8
C0100838,2004-2005,223,40.5,95
C0100839,2004-2005,223,40.1,107.4
C0100867,2004-2005,224,NA,75.8
C0100887,2004-2005,229,49,102.4
C0100900,2004-2005,224,40.2,89.6
C0100908,2004-2005,225,37.3,78
C0100909,2004-2005,225,38.6,79
C0100915,2004-2005,221,44,90.4
C0100925,2004-2005,225,42.3,105
C0100953,2004-2005,223,38,123
C0100954,2004-2005,224,41.3,140.2
C0100957,2004-2005,214,45.3,76
C0101034,2004-2005,225,41.3,110.4
C0101157,2004-2005,225,44,88
C0101178,2004-2005,228,38,81.8
C0101179,2004-2005,NA,40.5,119.8
C0101191,2004-2005,222,NA,89.6
C0101208,2004-2005,229,41.2,113.2
C0101216,2004-2005,230,40.1,105.6
C0101218,2004-2005,225,41,77
C0101230,2004-2005,228,44,105
C0101282,2004-2005,221,52,84.4
C0101304,2004-2005,225,45.2,101.8
C0101305,2004-2005,228,37.1,96.2
C0101306,2004-2005,225,32,115
C0101309,2004-2005,228,37.6,96.75
C0101310,2004-2005,229,43.2,96.5
C0101311,2004-2005,225,35.3,83.75
C0101312,2004-2005,229,39.9,95.25
C0101315,2004-2005,222,44.4,84.75
C0101316,2004-2005,229,43.1,85.5
C0101317,2004-2005,229,22,121.6
C0101319,2004-2005,229,36.7,94.25
C0101321,2004-2005,228,42.3,86.2
C0101322,2004-2005,225,40,124.8
C0101323,2004-2005,229,26.9,92.4
C0101324,2004-2005,228,37.6,87.8
C0101325,2004-2005,222,52.8,96.8
C0101326,2004-2005,223,42.2,84
C0101327,2004-2005,225,46,93.8
C0101328,2004-2005,218,50,76.2
C0101329,2004-2005,228,36.6,98.4
C0101330,2004-2005,222,43.6,93.25
C0101331,2004-2005,228,45.7,100
C0101332,2004-2005,218,45.3,86
C0101333,2004-2005,229,40.5,89.25
C0101334,2004-2005,225,38.9,87.25
C0101335,2004-2005,229,37.9,79.75
C0101336,2004-2005,224,40.7,87
C0101337,2004-2005,225,48,90
C0101338,2004-2005,222,37.9,97.5
C0101339,2004-2005,229,39,103.6
C0101340,2004-2005,222,37.8,84.25
C0101341,2004-2005,225,39,93.4
C0101343,2004-2005,222,45.6,110.8
C0101344,2004-2005,221,36.9,84.5
C0101345,2004-2005,228,39.2,95.75
C0101346,2004-2005,224,46.9,111.2
C0101347,2004-2005,228,44.6,98.25
C0101348,2004-2005,224,46,104.4
C0101349,2004-2005,224,46.3,117.2
C0101350,2004-2005,229,35.6,98.6
C0101352,2004-2005,223,38.1,113
C0101353,2004-2005,222,41.1,107.4
C0101354,2004-2005,229,30,101.8
C0101355,2004-2005,229,32.6,107.4
C0101356,2004-2005,222,40,105.8
C0101358,2004-2005,225,46,137.2
