genotype,days_to_heading_BLUE,plant_height_BLUE,plant_density_BLUE,thousand_kernel_weight_BLUE,dry_matter_yield_BLUE,powdery_mildew_BLUE
CGF-593,NA,NA,NA,NA,NA,NA
CGF-595,NA,NA,NA,NA,NA,NA
CGF-596,NA,NA,NA,NA,NA,NA
CGF-5976,NA,NA,NA,NA,NA,NA
CGF-5983,NA,NA,NA,NA,NA,NA
CGF-5985,NA,NA,NA,NA,NA,NA
CGF-5986,NA,NA,NA,NA,NA,NA
CGF-599,NA,NA,NA,NA,NA,NA
CGF-5990,NA,NA,NA,NA,NA,NA
CGF-6002,NA,NA,NA,NA,NA,NA
CGF-6003,NA,NA,NA,NA,NA,NA
CGF-6005,NA,NA,NA,NA,NA,NA
CGF-6006,NA,NA,NA,NA,NA,NA
CGF-6007,NA,NA,NA,NA,NA,NA
CGF-6008,NA,NA,NA,NA,NA,NA
CGF-601,NA,NA,NA,NA,NA,NA
CGF-6010,NA,NA,NA,NA,NA,NA
CGF-6024,NA,NA,NA,NA,NA,NA
CGF-6031,NA,NA,NA,NA,NA,NA
CGF-6040,NA,NA,NA,NA,NA,NA
CGF-6041,NA,NA,NA,NA,NA,NA
CGF-6043,NA,NA,NA,NA,NA,NA
CGF-6044,NA,NA,NA,NA,NA,NA
CGF-6046,NA,NA,NA,NA,NA,NA
CGF-6049,NA,NA,NA,NA,NA,NA
CGF-6050,NA,NA,NA,NA,NA,NA
CGF-6055,NA,NA,NA,NA,NA,NA
CGF-6056,NA,NA,NA,NA,NA,NA
CGF-6058,NA,NA,NA,NA,NA,NA
CGF-6059,NA,NA,NA,NA,NA,NA
CGF-6060,NA,NA,NA,NA,NA,NA
CGF-6061,NA,NA,NA,NA,NA,NA
CGF-6062,NA,NA,NA,NA,NA,NA
CGF-6063,NA,NA,NA,NA,NA,NA
CGF-6064,NA,NA,NA,NA,NA,NA
CGF-6065,NA,NA,NA,NA,NA,NA
CGF-6074,135.05,97.36,653.44,37.97,5425.2,1.83
CGF-610,NA,NA,NA,NA,NA,NA
CGF-6103,NA,NA,NA,NA,NA,NA
CGF-6104,NA,NA,NA,NA,NA,NA
CGF-6105,NA,NA,NA,NA,NA,NA
CGF-6107,NA,NA,NA,NA,NA,NA
CGF-6108,136.36,73.12,626.44,35.54,3045.02,2.93
CGF-611,NA,NA,NA,NA,NA,NA
CGF-6111,NA,NA,NA,NA,NA,NA
CGF-6112,NA,NA,NA,NA,NA,NA
CGF-6114,NA,NA,NA,NA,NA,NA
CGF-6116,NA,NA,NA,NA,NA,NA
CGF-6117,NA,NA,NA,NA,NA,NA
CGF-6118,NA,NA,NA,NA,NA,NA
CGF-6119,NA,NA,NA,NA,NA,NA
CGF-6121,NA,NA,NA,NA,NA,NA
CGF-6123,NA,NA,NA,NA,NA,NA
CGF-6124,NA,NA,NA,NA,NA,NA
CGF-6130,NA,NA,NA,NA,NA,NA
CGF-6143,NA,NA,NA,NA,NA,NA
CGF-6145,NA,NA,NA,NA,NA,NA
CGF-6153,142.03,99.77,NA,NA,5789.28,1.81
CGF-6154,139.23,NA,NA,46.56,4958.47,1.69
CGF-6155,138.89,NA,NA,43.06,4753.47,1.24
CGF-6160,NA,NA,NA,NA,NA,NA
CGF-6161,NA,NA,NA,NA,NA,NA
CGF-6162,NA,NA,NA,NA,NA,NA
CGF-6163,NA,NA,NA,NA,NA,NA
CGF-6164,NA,NA,NA,NA,NA,NA
CGF-6165,141.93,88.33,588.96,42.06,6690.35,3.1
CGF-6166,NA,NA,NA,NA,NA,NA
CGF-6168,140.28,110.63,NA,NA,NA,1.33
CGF-6169,NA,NA,NA,NA,NA,NA
CGF-6171,NA,NA,NA,NA,NA,NA
CGF-6172,NA,NA,NA,NA,NA,NA
CGF-6175,NA,NA,NA,NA,NA,NA
CGF-6179,NA,NA,NA,NA,NA,NA
CGF-6180,NA,NA,NA,NA,NA,NA
CGF-6181,NA,NA,NA,NA,NA,NA
CGF-6182,141.83,99.13,611.96,42.66,5466.54,2.43
CGF-6183,NA,NA,NA,NA,NA,NA
CGF-6187,NA,NA,NA,NA,NA,NA
CGF-6188,NA,NA,NA,NA,NA,NA
CGF-6189,NA,NA,NA,NA,NA,NA
CGF-6190,NA,NA,NA,NA,NA,NA
CGF-6191,NA,NA,NA,NA,NA,NA
CGF-6192,NA,NA,NA,NA,NA,NA
CGF-6195,NA,NA,NA,NA,NA,NA
CGF-6199,NA,NA,NA,NA,NA,NA
CGF-6200,NA,NA,NA,NA,NA,NA
CGF-6219,142.2,109.07,636.81,38.3,5235.5,3.71
CGF-6221,NA,NA,NA,NA,NA,NA
CGF-6223,NA,NA,NA,NA,NA,NA
CGF-6225,NA,NA,NA,NA,NA,NA
CGF-6226,NA,NA,NA,NA,NA,NA
CGF-6227,NA,NA,NA,NA,NA,NA
CGF-6232,NA,NA,NA,NA,NA,NA
CGF-6235,NA,NA,NA,NA,NA,NA
CGF-6236,NA,NA,NA,NA,NA,NA
CGF-6237,NA,NA,NA,NA,NA,NA
CGF-6238,NA,NA,NA,NA,NA,NA
CGF-6239,NA,NA,NA,NA,NA,NA
CGF-6240,NA,NA,NA,NA,NA,NA
CGF-6243,NA,NA,NA,NA,NA,NA
CGF-6245,NA,NA,NA,NA,NA,NA
CGF-6246,NA,NA,NA,NA,NA,NA
CGF-6247,135.45,84.81,NA,NA,NA,1.33
CGF-6262,NA,NA,NA,NA,NA,NA
CGF-6263,NA,NA,NA,NA,NA,NA
CGF-6264,NA,NA,NA,NA,NA,NA
CGF-6266,NA,NA,NA,NA,NA,NA
CGF-6267,NA,NA,NA,NA,NA,NA
CGF-627,NA,NA,NA,NA,NA,NA
CGF-6277,NA,NA,NA,NA,NA,NA
CGF-6281,NA,NA,NA,NA,NA,NA
CGF-6285,NA,NA,NA,NA,NA,NA
CGF-6288,NA,NA,NA,NA,NA,NA
CGF-6289,NA,NA,NA,NA,NA,NA
CGF-629,NA,NA,NA,NA,NA,NA
CGF-6290,NA,NA,NA,NA,NA,NA
CGF-6291,NA,NA,NA,NA,NA,NA
CGF-6292,NA,NA,NA,NA,NA,NA
CGF-6294,NA,NA,NA,NA,NA,NA
CGF-6295,NA,NA,NA,NA,NA,NA
CGF-6306,NA,NA,NA,NA,NA,NA
CGF-6307,NA,NA,NA,NA,NA,NA
CGF-6308,NA,NA,NA,NA,NA,NA
CGF-6309,NA,NA,NA,NA,NA,NA
CGF-6312,NA,NA,NA,NA,NA,NA
CGF-6317,NA,NA,NA,NA,NA,NA
CGF-6318,NA,NA,NA,NA,NA,NA
CGF-6320,NA,NA,NA,NA,NA,NA
CGF-6321,NA,NA,NA,NA,NA,NA
CGF-6322,NA,NA,NA,NA,NA,NA
CGF-6323,137.92,99.07,NA,NA,3725.32,4.58
CGF-6324,NA,NA,NA,NA,NA,NA
CGF-6325,NA,NA,NA,NA,NA,NA
CGF-6326,NA,NA,NA,NA,NA,NA
CGF-6327,NA,NA,NA,NA,NA,NA
CGF-6328,NA,NA,NA,NA,NA,NA
CGF-6329,NA,NA,NA,NA,NA,NA
CGF-633,NA,NA,NA,NA,NA,NA
CGF-6331,NA,NA,NA,NA,NA,NA
CGF-6332,135.25,89.59,NA,NA,NA,1.23
CGF-6334,NA,NA,NA,NA,NA,NA
CGF-6336,NA,NA,NA,NA,NA,NA
CGF-6337,NA,NA,NA,NA,NA,NA
CGF-6338,NA,NA,NA,NA,NA,NA
CGF-6340,138.03,92.48,608.12,43.22,5609.58,3.43
CGF-6341,NA,NA,NA,NA,NA,NA
CGF-6343,NA,NA,NA,NA,NA,NA
CGF-6346,NA,NA,NA,NA,NA,NA
CGF-6351,NA,NA,NA,NA,NA,NA
CGF-6365,NA,NA,NA,NA,NA,NA
CGF-6366,NA,NA,NA,NA,NA,NA
CGF-6367,NA,NA,NA,NA,NA,NA
CGF-6368,NA,NA,NA,NA,NA,NA
CGF-6369,NA,NA,NA,NA,NA,NA
CGF-6371,NA,NA,NA,NA,NA,NA
CGF-6372,NA,NA,NA,NA,NA,NA
CGF-6376,NA,NA,NA,NA,NA,NA
CGF-6379,NA,NA,NA,NA,NA,NA
CGF-6380,NA,NA,NA,NA,NA,NA
CGF-6384,NA,NA,NA,NA,NA,NA
CGF-6385,NA,NA,NA,NA,NA,NA
CGF-6386,NA,NA,NA,NA,NA,NA
CGF-6393,NA,NA,NA,NA,NA,NA
CGF-6396,NA,NA,NA,NA,NA,NA
CGF-6398,NA,NA,NA,NA,NA,NA
CGF-6399,NA,NA,NA,NA,NA,NA
CGF-640,NA,NA,NA,NA,NA,NA
CGF-6400,NA,NA,NA,NA,NA,NA
CGF-6405,NA,NA,NA,NA,NA,NA
CGF-6406,NA,NA,NA,NA,NA,NA
CGF-6408,NA,NA,NA,NA,NA,NA
CGF-6409,NA,NA,NA,NA,NA,NA
CGF-6421,NA,NA,NA,NA,NA,NA
CGF-6431,136.18,85.22,607.84,43.62,6233.93,1.65
CGF-6434,138.07,87.41,595.74,41.16,5918.2,1.2
CGF-6435,137.92,99.68,519.19,NA,6620.7,1.3
CGF-6436,141.1,90.57,575.78,38.3,5350.63,1.61
CGF-6445,NA,NA,NA,NA,NA,NA
CGF-6456,142.35,93.64,557.39,45.58,6446.93,1.82
CGF-6457,139.57,86.47,NA,34.78,NA,2.89
CGF-6458,140.57,96.05,NA,NA,7179.36,1.15
CGF-6459,NA,NA,NA,NA,NA,NA
CGF-6460,NA,NA,NA,NA,NA,NA
CGF-6461,NA,NA,NA,NA,NA,NA
CGF-6462,NA,NA,NA,NA,NA,NA
CGF-6463,NA,NA,NA,NA,NA,NA
CGF-6465,NA,NA,NA,NA,NA,NA
CGF-6466,NA,NA,NA,NA,NA,NA
CGF-6468,138.48,92.49,541.78,46.33,5088.16,3.51
CGF-6469,139.6,79.41,NA,NA,NA,2.4
CGF-6470,NA,NA,NA,NA,NA,NA
CGF-6471,140.14,90.28,NA,NA,NA,1.96
CGF-6472,140.6,129.29,NA,NA,NA,NA
CGF-6473,NA,NA,NA,NA,NA,NA
CGF-6474,NA,NA,NA,NA,NA,NA
CGF-6475,139.22,99.91,616.55,NA,5825.37,1.82
CGF-6476,136.12,101.88,539.04,NA,5934.4,1.96
CGF-6477,139.72,88.27,585.08,42.56,5802.96,2.18
CGF-648,NA,NA,NA,NA,NA,NA
CGF-6483,NA,NA,NA,NA,NA,NA
CGF-6484,NA,NA,NA,NA,NA,NA
CGF-6485,NA,NA,NA,NA,NA,NA
CGF-6486,NA,NA,NA,NA,NA,NA
CGF-6487,NA,NA,NA,NA,NA,NA
CGF-6490,NA,NA,NA,NA,NA,NA
CGF-6491,NA,NA,NA,NA,NA,NA
CGF-6498,NA,NA,NA,NA,NA,NA
CGF-6500,NA,NA,NA,NA,NA,NA
CGF-6501,NA,NA,NA,NA,NA,NA
CGF-6502,NA,NA,NA,NA,NA,NA
CGF-6505,NA,NA,NA,NA,NA,NA
CGF-6506,NA,NA,NA,NA,NA,NA
CGF-6507,NA,NA,NA,NA,NA,NA
CGF-6508,NA,NA,NA,NA,NA,NA
CGF-6509,NA,NA,NA,NA,NA,NA
CGF-6510,NA,NA,NA,NA,NA,NA
CGF-6512,NA,NA,NA,NA,NA,NA
CGF-6514,NA,NA,NA,NA,NA,NA
CGF-6516,NA,NA,NA,NA,NA,NA
CGF-6517,NA,NA,NA,NA,NA,NA
CGF-6518,NA,NA,NA,NA,NA,NA
CGF-6519,136.64,102.78,NA,NA,NA,2.46
CGF-6520,NA,NA,NA,NA,NA,NA
CGF-6521,NA,NA,NA,NA,NA,NA
CGF-6522,NA,NA,NA,NA,NA,NA
CGF-6523,NA,NA,NA,NA,NA,NA
CGF-6524,NA,NA,NA,NA,NA,NA
CGF-6532,138.92,87.28,498.69,NA,6518.7,2.39
CGF-6533,136.37,92.42,479.19,NA,5899.2,4.94
CGF-6534,NA,NA,NA,NA,NA,NA
CGF-6535,NA,NA,NA,NA,NA,NA
CGF-6536,NA,NA,NA,NA,NA,NA
CGF-6537,NA,NA,NA,NA,NA,NA
