genotype,days_to_heading_BLUE,plant_height_BLUE,thousand_kernel_weight_BLUE
COF 3614,NA,NA,NA
COF 3615,NA,NA,NA
COF 3616,NA,NA,NA
COF 3617,NA,NA,NA
COF 3618,NA,NA,NA
COF 3619,NA,NA,NA
COF 3620,NA,NA,NA
COF 3621,NA,NA,NA
COF 3622,NA,NA,NA
COF 3623,NA,NA,NA
COF 3624,NA,NA,NA
COF 3625,NA,NA,NA
COF 3626,NA,NA,NA
COF 3627,NA,NA,NA
COF 3628,NA,NA,NA
COF 3629,NA,NA,NA
COF 3631,NA,NA,NA
COF 3632,NA,NA,NA
COF 3633,NA,NA,NA
COF 3634,NA,NA,NA
COF 3635,NA,NA,NA
COF 3636,NA,NA,NA
COF 3637,NA,NA,NA
COF 3638,NA,NA,NA
COF 3639,NA,NA,NA
COF 3640,NA,NA,NA
COF 3641,NA,NA,NA
COF 3642,NA,NA,NA
COF 3643,130.82,NA,41.32
COF 3644,135.79,NA,41.11
COF 3645,125.61,78.82,40.15
COF 3646,128.22,78.97,35.79
COF 3647,127.9,83.69,48.58
COF 3648,126.95,78.69,46.99
COF 3649,128.39,79.59,42.38
COF 3650,129.66,84.69,43.01
COF 3651,127.88,86.75,43.76
COF 3652,128.61,83.81,39.6
COF 3653,128.22,81.77,39.78
COF 3654,129.9,81.06,42.36
COF 3655,132.58,82.94,40.12
COF 3656,127.22,83.5,39.9
COF 3657,128.56,82.64,39.45
COF 3658,130.36,80.74,40.66
COF 3659,127.7,NA,44.56
COF 3660,128.99,77.12,43.99
COF 3661,125.58,NA,40.01
COF 3662,129.49,83.42,41.85
COF 3663,126.35,108.82,NA
COF 3664,NA,NA,49.41
COF 3665,NA,NA,41.77
COF 3666,128.09,NA,38.19
COF 3667,129.21,NA,38.95
COF 3668,129.47,NA,NA
COF 3669,129.95,NA,NA
COF 3670,129.51,NA,NA
COF 3671,129.26,NA,40.92
COF 3672,127.43,NA,NA
COF 3673,126.39,NA,NA
COF 3674,128.47,NA,NA
COF 3675,128.99,NA,NA
COF 3676,128.47,NA,NA
COF 3677,128.47,NA,NA
COF 3678,128.47,NA,NA
COF 3679,128.03,NA,NA
COF 3680,130.03,NA,NA
COF 3681,130.98,NA,33.14
COF 3682,130.2,NA,NA
COF 3683,NA,NA,NA
COF 3684,NA,NA,NA
COF 3685,NA,NA,NA
COF 3686,130.57,102.13,36.95
COF 3687,126.67,NA,NA
COF 3688,NA,NA,NA
COF 3689,NA,NA,NA
COF 3690,NA,NA,NA
COF 3691,128.99,NA,NA
COF 3692,128.95,NA,NA
COF 3693,130.43,NA,NA
COF 3694,129.43,NA,NA
COF 3695,129.43,NA,NA
COF 3696,130.95,NA,NA
COF 3697,130.95,NA,NA
COF 3698,129.51,NA,NA
COF 3699,126.39,NA,NA
COF 3700,129.91,NA,NA
COF 3701,129.91,NA,NA
COF 3702,130.43,NA,NA
COF 3703,130.43,NA,NA
COF 3704,127.83,NA,NA
COF 3705,126.92,NA,35.92
COF 3706,128.15,NA,40.4
COF 3707,127.35,NA,NA
COF 3708,127.35,NA,NA
COF 3709,126.39,NA,37.11
COF 3710,126.91,NA,38.21
COF 3711,128.39,NA,39.11
COF 3712,130.47,NA,43.41
COF 3713,128.87,NA,NA
COF 3714,128.39,NA,NA
COF 3715,127.35,NA,NA
COF 3716,128.39,NA,NA
COF 3717,128.39,NA,NA
COF 3718,126.87,NA,34.04
COF 3719,130.95,NA,NA
COF 3720,130.95,NA,NA
COF 3721,129.63,NA,43.43
COF 3722,130.95,NA,41.39
COF 3723,129.95,101.7,51.52
COF 3724,129.35,NA,NA
COF 3725,125.35,NA,NA
COF 3727,130.95,NA,NA
COF 3728,130.95,NA,NA
COF 3729,130.51,NA,NA
COF 3730,129.43,NA,NA
COF 3731,126.87,NA,NA
COF 3732,125.83,NA,NA
COF 3733,125.83,NA,NA
COF 3734,128.99,NA,NA
COF 3735,128.99,NA,NA
COF 3736,129.47,NA,NA
COF 3737,126.39,NA,NA
COF 3738,129.51,NA,NA
COF 3739,130.99,NA,NA
COF 3740,129.43,NA,NA
COF 3741,128.99,NA,NA
COF 3742,130.99,NA,NA
COF 3743,128.99,NA,NA
COF 3744,128.99,NA,NA
COF 3745,130.95,NA,NA
COF 3746,130.95,NA,NA
COF 3747,130.95,NA,NA
COF 3748,131.51,NA,NA
COF 3749,131.47,NA,NA
COF 3750,127.43,NA,NA
COF 3751,131.47,NA,NA
COF 3752,131.95,NA,NA
COF 3753,130.99,NA,NA
COF 3754,129.47,NA,NA
COF 3755,131.47,NA,NA
COF 3756,NA,NA,NA
COF 3757,129.95,NA,NA
COF 3758,NA,NA,NA
COF 3759,NA,NA,NA
COF 3760,NA,NA,NA
COF 3761,NA,NA,NA
COF 3762,NA,NA,NA
COF 3763,NA,NA,NA
COF 3764,NA,NA,NA
COF 3765,NA,NA,NA
COF 3766,128.39,NA,44.38
COF 3767,127.83,NA,42.83
COF 3768,127.19,NA,51.64
COF 3769,127.24,NA,38.8
COF 3770,128.88,NA,34.85
COF 3771,130.12,NA,41.35
COF 3772,127.6,NA,45.43
COF 3774,125.52,NA,47.88
COF 3775,127.8,NA,41.74
COF 3776,127.42,NA,39.13
COF 3777,126.34,NA,38.5
COF 3778,125.46,NA,41
COF 3779,128.73,NA,45.91
COF 3780,126.19,NA,40.58
COF 3781,128.24,NA,46.85
COF 3782,128.49,NA,38.27
COF 3783,131.92,NA,40.19
COF 3784,128.76,NA,43.05
COF 3785,131.99,NA,40.88
COF 3786,125.84,NA,42.8
COF 3788,124.58,NA,47.73
COF 3789,129.12,NA,37.73
COF 3790,126.93,NA,41.68
COF 3791,126.39,NA,45.29
COF 3792,126.92,NA,41.19
COF 3793,127.77,NA,36.49
COF 3794,127.59,NA,35.64
COF 3795,128.53,NA,36.98
COF 3796,126.39,NA,NA
COF 3797,129.95,NA,NA
COF 3798,128.94,78.45,36.82
COF 3799,NA,NA,NA
COF 3800,NA,NA,NA
COF 3801,NA,NA,NA
COF 3802,NA,NA,NA
COF 3803,NA,NA,NA
COF 3804,NA,NA,NA
COF 3805,NA,NA,NA
COF 3806,NA,NA,NA
COF 3807,NA,NA,NA
COF 3808,NA,NA,NA
COF 3809,NA,NA,NA
COF 3810,NA,NA,NA
COF 3811,NA,NA,NA
COF 3812,NA,NA,NA
COF 3813,NA,NA,NA
COF 3814,NA,NA,NA
COF 3815,NA,NA,NA
COF 3816,NA,NA,NA
COF 3817,NA,NA,NA
COF 3818,NA,NA,NA
COF 3819,NA,NA,NA
COF 3820,NA,NA,NA
COF 3821,NA,NA,NA
COF 3822,NA,NA,NA
COF 3823,NA,NA,NA
COF 3824,NA,NA,NA
COF 3825,NA,NA,NA
COF 3826,NA,NA,NA
COF 3827,NA,NA,NA
COF 3828,NA,NA,NA
COF 3829,NA,NA,NA
COF 3830,NA,NA,NA
COF 3831,NA,NA,NA
COF 3832,NA,NA,NA
COF 3833,NA,NA,NA
COF 3834,NA,NA,NA
COF 3835,NA,NA,NA
