genotype,end_of_heading_BLUE,plant_height_BLUE,thousand_kernel_weight_BLUE
21033,164.82,91.76,38.08
21034,173.49,108.72,38.73
21035,NA,NA,NA
21036,161.43,89.93,32.8
21037,167.97,100.04,33.71
21038,167.47,101.11,33.05
21039,165.37,97.14,34.89
21040,165.17,92.04,34.45
21041,166.72,95.3,34.07
21042,166.28,97.69,34.5
21043,173.69,100,34.48
21044,172.62,108.23,40.52
21045,170,84.97,30.81
21046,173.47,82.3,39.02
21047,170.16,86.87,38.39
21048,170.68,82.58,38.59
21049,175.76,99.86,40.39
21050,168.03,98.26,36.32
21052,168.22,96.37,41.43
21053,176.33,98.24,32.99
21054,169.11,77.11,37.43
21055,168.02,76.12,39.34
21056,168.78,79.71,46.52
21057,169.46,92.53,39.56
21058,175.17,99.53,38.97
21059,170.02,88.76,37.65
21060,169.78,97.98,36.9
21061,180.05,115.57,41.24
21062,167.52,67.16,33.48
21063,170.44,94.85,39.44
21064,177.65,108.26,34.07
21065,176.32,113.93,33.94
21066,175.62,111.22,34.52
21067,176.32,113.81,32.44
21068,172.34,108.64,46.11
21069,174.41,101.51,33.91
21070,171.78,105.53,31.81
21071,175.88,90.49,38.55
21075,163.32,81.87,37.85
21076,NA,NA,NA
21077,172.38,91.66,37.83
21079,NA,NA,NA
21080,NA,NA,NA
21081,168.82,108.87,29.9
21082,NA,NA,NA
21083,NA,NA,NA
21084,NA,107.58,47.72
21085,NA,NA,NA
21086,NA,NA,NA
21087,NA,NA,NA
21088,NA,NA,NA
21089,NA,NA,NA
21090,NA,NA,NA
21091,NA,NA,NA
21092,NA,NA,NA
21093,NA,NA,NA
21094,NA,NA,NA
21095,NA,NA,NA
21096,NA,NA,NA
21097,NA,NA,NA
21098,NA,NA,NA
21099,167.32,97.37,44.2
21100,NA,NA,NA
21101,NA,NA,NA
21102,NA,NA,NA
21104,NA,NA,NA
21105,NA,NA,NA
21106,NA,NA,NA
21107,NA,NA,NA
21108,NA,NA,NA
21111,NA,NA,NA
21116,NA,NA,NA
21117,NA,NA,NA
21118,NA,NA,NA
21120,NA,NA,NA
21122,NA,NA,NA
21124,NA,NA,NA
21125,NA,NA,NA
21126,NA,NA,NA
21127,NA,NA,NA
21128,NA,NA,NA
21129,NA,NA,NA
21130,NA,NA,NA
21131,NA,NA,NA
21132,167.82,101.87,38.95
21133,NA,NA,NA
21134,NA,102.25,38.32
21135,172.68,103.01,40.81
21136,168.39,86.39,42.43
21138,NA,NA,NA
21139,NA,NA,NA
21142,NA,NA,NA
21143,NA,NA,NA
21144,NA,NA,NA
21145,NA,NA,NA
21146,NA,NA,NA
21147,NA,NA,NA
21149,NA,NA,NA
21150,NA,NA,NA
21151,NA,NA,NA
21152,NA,NA,NA
21153,NA,NA,NA
21154,NA,NA,NA
21156,NA,NA,NA
21157,167.32,68.37,36.6
21158,NA,NA,NA
21159,NA,NA,NA
21160,NA,NA,NA
21161,NA,NA,NA
21162,167.32,102.12,42.49
21163,NA,NA,NA
21164,NA,NA,NA
21165,NA,NA,NA
21166,NA,NA,NA
21167,NA,NA,NA
21168,NA,NA,NA
21169,NA,NA,NA
21171,NA,122.37,34.23
21172,NA,112.36,37.49
21173,NA,NA,NA
21174,NA,NA,NA
21175,NA,NA,NA
21177,NA,NA,NA
21178,NA,NA,NA
21179,NA,NA,NA
21180,NA,NA,NA
21181,NA,NA,NA
21182,NA,NA,NA
21183,NA,NA,NA
21184,NA,NA,NA
21185,NA,NA,NA
21186,168.36,94.3,34.29
21187,NA,NA,NA
21190,NA,NA,NA
21191,NA,NA,NA
21192,NA,NA,NA
21193,NA,NA,NA
21194,NA,105.03,36.97
21195,NA,NA,NA
21196,NA,106.4,41.85
21197,NA,NA,NA
21198,NA,NA,NA
21199,NA,NA,NA
21200,NA,NA,NA
21201,NA,NA,NA
21202,NA,NA,NA
21203,NA,NA,NA
21204,172.45,97.12,43.77
21206,NA,NA,NA
21207,NA,NA,NA
21208,NA,NA,NA
21209,NA,NA,NA
21210,NA,NA,NA
21213,NA,NA,NA
21214,NA,NA,NA
21217,NA,NA,NA
21219,NA,NA,NA
21220,NA,NA,NA
21221,NA,98.37,36.5
21222,NA,NA,NA
21223,NA,NA,NA
21224,NA,NA,NA
21225,NA,NA,NA
21226,NA,NA,NA
21227,NA,NA,NA
21228,NA,NA,NA
21229,NA,NA,NA
21230,NA,NA,NA
21231,NA,NA,NA
21232,NA,NA,NA
21234,NA,79.79,34.96
21235,NA,NA,NA
21236,NA,NA,NA
21237,NA,NA,NA
21238,NA,NA,NA
21239,NA,NA,NA
21240,NA,NA,NA
21241,NA,NA,NA
21242,NA,NA,NA
21243,NA,NA,NA
21244,NA,NA,NA
21245,NA,NA,NA
21246,NA,NA,NA
21247,NA,NA,NA
21248,NA,91.4,39.89
21249,NA,99.22,36.72
21250,NA,NA,NA
21251,NA,NA,NA
21253,NA,NA,NA
21254,NA,NA,NA
21256,NA,NA,NA
21257,NA,NA,NA
21258,NA,NA,NA
21259,NA,NA,NA
21260,NA,NA,NA
21261,NA,NA,NA
21262,NA,NA,NA
21263,NA,NA,NA
21264,NA,NA,NA
21265,NA,50.7,26.68
21269,NA,NA,NA
21270,160.82,80.87,46.3
21271,NA,NA,NA
21272,NA,NA,NA
21273,NA,NA,NA
21274,NA,NA,NA
21275,NA,NA,NA
21276,NA,NA,NA
21278,NA,NA,NA
21279,NA,NA,NA
21280,NA,NA,NA
21281,167.95,84.26,40.71
21282,NA,NA,NA
21283,NA,NA,NA
21284,NA,NA,NA
21285,NA,NA,NA
21286,NA,NA,NA
21287,NA,NA,NA
21288,NA,NA,NA
21289,NA,NA,NA
21290,NA,NA,NA
21292,NA,NA,NA
21296,173.23,111.19,36.62
21297,NA,NA,NA
21298,NA,NA,NA
21299,NA,NA,NA
21300,NA,109.87,37.5
21301,NA,NA,NA
21303,NA,NA,NA
21304,NA,NA,NA
21305,NA,NA,NA
21306,NA,NA,NA
21307,NA,NA,NA
21308,NA,NA,NA
21309,NA,NA,NA
21311,NA,101.5,43.56
21313,NA,94.13,44.34
21314,NA,NA,NA
21315,NA,NA,NA
21318,NA,NA,NA
21319,NA,NA,NA
21320,NA,NA,NA
21321,NA,NA,NA
21323,NA,NA,NA
21324,NA,NA,NA
21325,NA,NA,NA
21326,NA,NA,NA
21327,NA,NA,NA
21329,NA,NA,NA
21330,NA,NA,NA
21331,NA,NA,NA
21332,NA,NA,NA
21333,167.76,95.84,34.06
21334,NA,NA,NA
21335,NA,NA,NA
21336,NA,NA,NA
21337,NA,NA,NA
21338,NA,NA,NA
21339,NA,NA,NA
21341,NA,NA,NA
21342,NA,NA,NA
21343,NA,NA,NA
21346,NA,NA,NA
21348,NA,NA,NA
21349,NA,NA,NA
21350,NA,NA,NA
21351,NA,NA,NA
21352,NA,NA,NA
21353,NA,NA,NA
21354,NA,NA,NA
21355,NA,NA,NA
21359,NA,NA,NA
21360,179.13,118.48,NA
21361,NA,NA,NA
21362,NA,NA,NA
21363,NA,NA,NA
21364,NA,NA,NA
21365,NA,NA,NA
21366,NA,NA,NA
21367,NA,NA,NA
21368,NA,NA,NA
21369,NA,NA,NA
21370,NA,NA,NA
21371,NA,NA,NA
21372,NA,97.95,35.12
21373,NA,NA,NA
21374,NA,NA,NA
21375,NA,NA,NA
21376,NA,113.54,36.22
21377,NA,NA,NA
21378,NA,NA,NA
21379,NA,NA,NA
21381,NA,NA,NA
21382,NA,109.69,43.77
21384,164.07,82.71,44.14
21385,NA,NA,NA
21387,NA,NA,NA
21388,NA,NA,NA
21389,NA,NA,NA
21390,NA,NA,NA
21391,NA,NA,NA
21392,NA,NA,NA
21393,NA,NA,NA
21394,NA,NA,NA
21395,NA,NA,NA
21396,NA,NA,NA
21397,NA,NA,NA
21398,NA,NA,NA
21399,NA,NA,NA
21400,NA,NA,NA
21401,NA,NA,NA
21402,NA,NA,NA
21404,NA,NA,NA
21405,NA,NA,NA
21406,NA,NA,NA
21407,NA,NA,NA
21408,NA,NA,NA
21409,NA,NA,NA
21410,NA,NA,NA
21411,NA,NA,NA
21412,NA,NA,NA
21413,NA,NA,NA
21414,NA,NA,NA
21415,NA,NA,NA
21416,NA,NA,NA
21418,NA,NA,NA
21421,NA,NA,NA
21423,NA,NA,NA
21424,NA,NA,NA
21425,NA,NA,NA
