experiment_id,instcode,genus,accenumb,agent_id,doi,sowing_date,beginning_of_heading_date,date_of_heading,end_of_heading_date,flowering_date,plant_height,thousand_kernel_weight,sowing_beginning_of_heading,sowing_full_heading,sowing_end_of_heading,sowing_flowering,beginning_of_heading_full_heading,beginning_of_heading_end_of_heading,beginning_of_heading_flowering,full_heading_end_of_heading,full_heading_flowering,end_of_heading_flowering,name,description,campaign,site_name,longitude,latitude,remarks,days_to_heading
11001,POL003,Hordeum,40561,NA,NA,19780404,19780624,19780628,NA,NA,90,51.8,81,85,NA,NA,4,NA,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,NA,NA,NA,178
11001,POL003,Hordeum,40562,NA,NA,19780404,19780624,19780628,NA,NA,101,55.9,81,85,NA,NA,4,NA,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,NA,NA,NA,178
11001,POL003,Hordeum,40563,NA,NA,19780404,19780620,19780622,NA,NA,114,58.1,77,79,NA,NA,2,NA,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,NA,NA,NA,172
11001,POL003,Hordeum,40564,NA,NA,19780404,19780619,19780622,NA,NA,103,56.2,76,79,NA,NA,3,NA,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,NA,NA,NA,172
11001,POL003,Hordeum,40565,NA,NA,19780404,19780627,19780630,NA,NA,89,51.4,84,87,NA,NA,3,NA,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,NA,NA,NA,180
11001,POL003,Hordeum,40566,NA,NA,19780404,19780619,19780622,NA,NA,95,56.6,76,79,NA,NA,3,NA,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,NA,NA,NA,172
11001,POL003,Hordeum,40567,NA,NA,19780404,19780619,19780622,NA,NA,102,57.9,76,79,NA,NA,3,NA,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,NA,NA,NA,172
11001,POL003,Hordeum,40568,NA,NA,19780404,19780622,19780625,NA,NA,85,54.8,79,82,NA,NA,3,NA,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,NA,NA,NA,175
11001,POL003,Hordeum,40569,NA,NA,19780404,19780618,19780621,NA,NA,96,59.1,75,78,NA,NA,3,NA,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,NA,NA,NA,171
11001,POL003,Hordeum,40571,NA,NA,19780404,19780618,19780621,NA,NA,103,56.1,75,78,NA,NA,3,NA,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,NA,NA,NA,171
11001,POL003,Hordeum,40572,NA,NA,19780404,19780618,19780620,NA,NA,90,59.7,75,77,NA,NA,2,NA,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,NA,NA,NA,170
