accenumb,agent_id,doi,sowing_date,beginning_of_heading_date,date_of_heading,end_of_heading_date,plant_height,thousand_kernel_weight,sowing_-_beginning_of_heading,sowing_-_full_heading,sowing_-_end_of_heading,beginning_of_heading_-_full_heading,beginning_of_heading_-_end_of_heading,full_heading_-_end_of_heading,beginning_of_heading,full_heading,end_of_heading,name,description,campaign,days_to_heading
35254,NA,NA,19730913,19740526,19740529,NA,125,44.3,255,258,NA,3,NA,NA,145,148,NA,observation during multiplication,material multiplication and observation,1973-1974,148
35256,NA,NA,19730914,19740525,19740528,NA,114,30,253,256,NA,3,NA,NA,144,147,NA,observation during multiplication,material multiplication and observation,1973-1974,147
35257,NA,NA,19730912,19740519,19740522,NA,98,49.8,249,252,NA,3,NA,NA,138,141,NA,observation during multiplication,material multiplication and observation,1973-1974,141
35264,NA,NA,19730912,19740519,19740521,NA,108,42,249,251,NA,2,NA,NA,138,140,NA,observation during multiplication,material multiplication and observation,1973-1974,140
35265,NA,NA,19731009,19740530,19740603,NA,104,38.5,233,237,NA,4,NA,NA,149,153,NA,observation during multiplication,material multiplication and observation,1973-1974,153
35278,NA,NA,19730912,19740522,19740525,NA,94,47.9,252,255,NA,3,NA,NA,141,144,NA,observation during multiplication,material multiplication and observation,1973-1974,144
35278,NA,NA,19730912,19740522,19740526,NA,101,44.8,252,256,NA,4,NA,NA,141,145,NA,observation during multiplication,material multiplication and observation,1973-1974,145
35297,NA,NA,19730912,19740526,19740531,NA,119,38.6,256,261,NA,5,NA,NA,145,150,NA,observation during multiplication,material multiplication and observation,1973-1974,150
35298,NA,NA,19730912,19740524,19740527,NA,108,35.1,254,257,NA,3,NA,NA,143,146,NA,observation during multiplication,material multiplication and observation,1973-1974,146
35298,NA,NA,19730912,19740524,19740527,NA,96,40,254,257,NA,3,NA,NA,143,146,NA,observation during multiplication,material multiplication and observation,1973-1974,146
35299,NA,NA,19730912,19740525,19740528,NA,110,41.5,255,258,NA,3,NA,NA,144,147,NA,observation during multiplication,material multiplication and observation,1973-1974,147
35299,NA,NA,19730912,19740525,19740528,NA,111,40,255,258,NA,3,NA,NA,144,147,NA,observation during multiplication,material multiplication and observation,1973-1974,147
35334,NA,NA,19730913,19740525,19740528,NA,122,36.5,254,257,NA,3,NA,NA,144,147,NA,observation during multiplication,material multiplication and observation,1973-1974,147
35338,NA,NA,19730913,19740523,19740525,NA,111,37.5,252,254,NA,2,NA,NA,142,144,NA,observation during multiplication,material multiplication and observation,1973-1974,144
35349,NA,NA,19730913,19740524,19740528,NA,117,40.8,253,257,NA,4,NA,NA,143,147,NA,observation during multiplication,material multiplication and observation,1973-1974,147
35349,NA,NA,19730913,19740524,19740527,NA,115,41.8,253,256,NA,3,NA,NA,143,146,NA,observation during multiplication,material multiplication and observation,1973-1974,146
35349,NA,NA,19730914,19740526,19740528,NA,115,45.5,254,256,NA,2,NA,NA,145,147,NA,observation during multiplication,material multiplication and observation,1973-1974,147
35361,NA,NA,19730912,19740606,19740611,NA,117,34,267,272,NA,5,NA,NA,156,161,NA,observation during multiplication,material multiplication and observation,1973-1974,161
35368,NA,NA,19730913,19740524,19740527,NA,102,28,253,256,NA,3,NA,NA,143,146,NA,observation during multiplication,material multiplication and observation,1973-1974,146
35368,NA,NA,19730913,19740524,19740527,NA,113,26.8,253,256,NA,3,NA,NA,143,146,NA,observation during multiplication,material multiplication and observation,1973-1974,146
35370,NA,NA,19730913,19740528,19740601,NA,121,37.5,257,261,NA,4,NA,NA,147,151,NA,observation during multiplication,material multiplication and observation,1973-1974,151
35371,NA,NA,19730913,19740529,19740601,NA,137,39,258,261,NA,3,NA,NA,148,151,NA,observation during multiplication,material multiplication and observation,1973-1974,151
