accenumb,agent_id,doi,sowing_date,beginning_of_heading_date,date_of_heading,end_of_heading_date,plant_height,thousand_kernel_weight,sowing_-_beginning_of_heading,sowing_-_end_of_heading,sowing_-_end_of_flowering,beginning_of_heading-end_of_heading,beginning_of_heading-end_of_flowering,end_of_heading-end_of_flowering,name,description,campaign,beginning_of_heading,end_of_heading
20015,NA,NA,19780408,NA,NA,19780618,121,37.3,NA,71,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,168
20015,NA,NA,19780408,NA,NA,19780618,122,41.5,NA,71,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,168
20015,NA,NA,19780408,NA,NA,19780618,98,45.9,NA,71,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,168
20015,NA,NA,19780408,NA,NA,19780619,70,24.5,NA,72,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,169
20015,NA,NA,19780408,NA,NA,19780619,80,27.2,NA,72,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,169
20015,NA,NA,19780408,NA,NA,19780619,124,29.6,NA,72,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,169
20015,NA,NA,19780408,NA,NA,19780619,118,30.7,NA,72,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,169
20015,NA,NA,19780408,NA,NA,19780619,127,31.2,NA,72,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,169
20015,NA,NA,19780408,NA,NA,19780619,116,32.2,NA,72,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,169
20015,NA,NA,19780408,NA,NA,19780619,111,34.4,NA,72,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,169
20015,NA,NA,19780408,NA,NA,19780619,90,35.6,NA,72,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,169
20015,NA,NA,19780408,NA,NA,19780619,135,35.8,NA,72,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,169
20015,NA,NA,19780408,NA,NA,19780619,93,36.1,NA,72,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,169
20015,NA,NA,19780408,NA,NA,19780619,128,36.4,NA,72,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,169
20015,NA,NA,19780408,NA,NA,19780619,71,36.7,NA,72,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,169
20015,NA,NA,19780408,NA,NA,19780619,53,38,NA,72,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,169
20015,NA,NA,19780408,NA,NA,19780619,116,44.2,NA,72,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,169
20015,NA,NA,19780408,NA,NA,19780619,115,47.8,NA,72,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,169
20015,NA,NA,19780408,NA,NA,19780619,122,53,NA,72,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,169
20015,NA,NA,19780408,NA,NA,19780620,79,24,NA,73,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,170
20015,NA,NA,19780408,NA,NA,19780620,81,26.2,NA,73,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,170
20015,NA,NA,19780408,NA,NA,19780620,115,26.4,NA,73,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,170
20015,NA,NA,19780406,NA,NA,19780618,120,29.1,NA,73,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,168
20015,NA,NA,19780408,NA,NA,19780620,115,29.7,NA,73,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,170
20015,NA,NA,19780408,NA,NA,19780620,107,30.5,NA,73,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,170
20015,NA,NA,19780408,NA,NA,19780620,122,31.7,NA,73,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,170
20015,NA,NA,19780408,NA,NA,19780620,125,32.8,NA,73,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,170
20015,NA,NA,19780408,NA,NA,19780620,126,33.6,NA,73,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,170
20015,NA,NA,19780408,NA,NA,19780620,107,33.7,NA,73,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,170
20015,NA,NA,19780408,NA,NA,19780620,125,34.4,NA,73,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,170
20015,NA,NA,19780408,NA,NA,19780620,115,34.6,NA,73,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,170
20015,NA,NA,19780408,NA,NA,19780620,88,34.7,NA,73,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,170
