genotype,days_to_heading_BLUE,plant_height_BLUE,plant_density_BLUE,thousand_kernel_weight_BLUE,dry_matter_yield_BLUE,powdery_mildew_BLUE
CGF-6108,136.59,73.12,624.34,35.45,3045.02,2.94
CGF-611,NA,NA,NA,NA,NA,NA
CGF-6111,NA,NA,NA,NA,NA,NA
CGF-6112,NA,NA,NA,NA,NA,NA
CGF-6114,NA,NA,NA,NA,NA,NA
CGF-6116,NA,NA,NA,NA,NA,NA
CGF-6117,NA,NA,NA,NA,NA,NA
CGF-6118,NA,NA,NA,NA,NA,NA
CGF-6119,NA,NA,NA,NA,NA,NA
CGF-6121,NA,NA,NA,NA,NA,NA
CGF-6123,NA,NA,NA,NA,NA,NA
CGF-6124,NA,NA,NA,NA,NA,NA
CGF-6130,NA,NA,NA,NA,NA,NA
CGF-6143,NA,NA,NA,NA,NA,NA
CGF-6145,NA,NA,NA,NA,NA,NA
CGF-6153,142.25,99.77,NA,NA,5789.28,1.82
CGF-6154,139.49,NA,NA,46.44,4958.47,1.71
CGF-6155,139.14,NA,NA,42.94,4753.47,1.25
CGF-6160,NA,NA,NA,NA,NA,NA
CGF-6161,NA,NA,NA,NA,NA,NA
CGF-6162,NA,NA,NA,NA,NA,NA
CGF-6163,NA,NA,NA,NA,NA,NA
CGF-6164,NA,NA,NA,NA,NA,NA
CGF-6165,142.13,88.33,588.75,41.97,6690.35,3.11
CGF-6166,NA,NA,NA,NA,NA,NA
CGF-6168,140.49,110.63,NA,NA,NA,1.34
CGF-6169,NA,NA,NA,NA,NA,NA
CGF-6171,NA,NA,NA,NA,NA,NA
CGF-6172,NA,NA,NA,NA,NA,NA
CGF-6175,NA,NA,NA,NA,NA,NA
CGF-6179,NA,NA,NA,NA,NA,NA
CGF-6180,NA,NA,NA,NA,NA,NA
CGF-6181,NA,NA,NA,NA,NA,NA
CGF-6182,142.02,99.13,611.74,42.58,5466.54,2.44
CGF-6183,NA,NA,NA,NA,NA,NA
CGF-6187,NA,NA,NA,NA,NA,NA
CGF-6188,NA,NA,NA,NA,NA,NA
CGF-6189,NA,NA,NA,NA,NA,NA
CGF-6190,NA,NA,NA,NA,NA,NA
CGF-6191,NA,NA,NA,NA,NA,NA
CGF-6192,NA,NA,NA,NA,NA,NA
CGF-6195,NA,NA,NA,NA,NA,NA
CGF-6199,NA,NA,NA,NA,NA,NA
CGF-6200,NA,NA,NA,NA,NA,NA
CGF-6219,142.39,109.07,636.59,38.22,5235.5,3.72
CGF-6221,NA,NA,NA,NA,NA,NA
CGF-6223,NA,NA,NA,NA,NA,NA
CGF-6225,NA,NA,NA,NA,NA,NA
CGF-6226,NA,NA,NA,NA,NA,NA
CGF-6227,NA,NA,NA,NA,NA,NA
CGF-6232,NA,NA,NA,NA,NA,NA
CGF-6235,NA,NA,NA,NA,NA,NA
