accenumb,agent_id,doi,days_to_heading,plant_height,thousand_kernel_weight,hectolitric_weight,dry_matter_yield,lodging,protein_content,starch_content,name,description,campaign
COF 3644,NA,NA,142,NA,42,70.4,4465,4,11.72,59.12,Fundulea,Winter barley,1961-1962
COF 3644,NA,NA,143,NA,42,NA,NA,4,11.95,58.43,Fundulea,Winter barley,1961-1962
COF 3644,NA,NA,141,NA,45.5,NA,NA,5,12.04,58.29,Fundulea,Winter barley,1961-1962
COF 3644,NA,NA,140,NA,45,NA,NA,5,11.58,60.4,Fundulea,Winter barley,1961-1962
COF 3037,NA,NA,140,NA,50,NA,NA,4,14.74,53.53,Fundulea,Winter barley,1962-1963
COF 3040,NA,NA,135,NA,46,70.8,3780,5,NA,NA,Fundulea,Winter barley,1962-1963
COF 3040,NA,NA,135,NA,49,72.1,3110,5,NA,NA,Fundulea,Winter barley,1962-1963
COF 3040,NA,NA,142,NA,50,NA,NA,4,14.49,55.49,Fundulea,Winter barley,1962-1963
COF 3043,NA,NA,143,NA,47.5,74,3830,3,NA,NA,Fundulea,Winter barley,1962-1963
COF 3122,NA,NA,139,NA,37,NA,NA,5,14.77,52.43,Fundulea,Winter barley,1962-1963
COF 3132,NA,NA,137,NA,41.5,NA,NA,5,13.62,55.3,Fundulea,Winter barley,1962-1963
COF 3172,NA,NA,143,NA,44,NA,NA,4,NA,NA,Fundulea,Winter barley,1962-1963
COF 3173,NA,NA,136,NA,33.5,NA,NA,5,14.8,53.04,Fundulea,Winter barley,1962-1963
COF 3220,NA,NA,133,NA,35,NA,NA,5,15.05,51.13,Fundulea,Winter barley,1962-1963
COF 3231,NA,NA,137,NA,34.5,NA,NA,5,14.95,54.32,Fundulea,Winter barley,1962-1963
COF 3240,NA,NA,144,NA,39.5,NA,NA,4,14.93,54.21,Fundulea,Winter barley,1962-1963
COF 3267,NA,NA,137,NA,42.5,NA,NA,5,15.19,53.21,Fundulea,Winter barley,1962-1963
COF 3285,NA,NA,139,NA,42,NA,NA,3,15.06,53.28,Fundulea,Winter barley,1962-1963
COF 3327,NA,NA,140,NA,48,NA,NA,4,14.93,55.01,Fundulea,Winter barley,1962-1963
COF 3327,NA,NA,142,NA,42.5,NA,NA,4,15.18,55.78,Fundulea,Winter barley,1962-1963
COF 3332,NA,NA,144,NA,42.5,NA,NA,4,14.98,53.07,Fundulea,Winter barley,1962-1963
COF 3334,NA,NA,134,NA,44,NA,NA,4,14.5,54.43,Fundulea,Winter barley,1962-1963
COF 3337,NA,NA,139,NA,44,70,3780,4,NA,NA,Fundulea,Winter barley,1962-1963
COF 3391,NA,NA,137,NA,44,NA,NA,5,15.22,53.53,Fundulea,Winter barley,1962-1963
COF 3532,NA,NA,143,NA,52.5,NA,NA,5,14.67,54.22,Fundulea,Winter barley,1962-1963
COF 3644,NA,NA,143,NA,48,72,3470,4,NA,NA,Fundulea,Winter barley,1962-1963
COF 3644,NA,NA,143,NA,50,74,2660,NA,NA,NA,Fundulea,Winter barley,1962-1963
COF 3644,NA,NA,142,NA,48,74,3020,NA,14.95,54.12,Fundulea,Winter barley,1962-1963
COF 3644,NA,NA,143,NA,48,NA,4675,NA,NA,NA,Fundulea,Winter barley,1962-1963
COF 3644,NA,NA,NA,NA,49,NA,NA,NA,NA,NA,Fundulea,Winter barley,1962-1963
COF 3644,NA,NA,NA,NA,45.5,NA,NA,NA,NA,NA,Fundulea,Winter barley,1962-1963
COF 3644,NA,NA,147,NA,50,NA,NA,NA,NA,NA,Fundulea,Winter barley,1962-1963
