genotype,days_to_heading_BLUE,plant_height_BLUE,thousand_kernel_weight_BLUE
COF 3401,131.03,NA,40.44
COF 3402,130.38,NA,42.06
COF 3403,131.89,NA,42.29
COF 3404,129.74,NA,43.9
COF 3405,133.24,NA,40.68
COF 3406,132.71,NA,45.13
COF 3407,132.56,NA,45.96
COF 3408,132.75,NA,42.19
COF 3409,131.68,NA,36.82
COF 3410,132.49,NA,41.95
COF 3411,131.55,NA,42.71
COF 3412,132.64,NA,48.79
COF 3413,131.73,NA,38.3
COF 3414,132.04,NA,42.67
COF 3415,131.71,NA,40.37
COF 3416,132.73,NA,39.12
COF 3417,135.77,NA,45.7
COF 3418,136.26,NA,46.31
COF 3419,129.54,NA,42.64
COF 3420,129.83,NA,45.44
COF 3421,133.22,NA,42.7
COF 3422,133.01,NA,41.96
COF 3423,130.79,NA,37.54
COF 3424,132.44,NA,42.62
COF 3425,132.08,NA,38.55
COF 3426,129.73,NA,40.16
COF 3427,133.2,NA,39.7
COF 3428,133.4,NA,38.64
COF 3429,132.61,NA,46.55
COF 3430,129.83,NA,45.42
COF 3431,133.24,NA,45.37
COF 3432,132.73,NA,42.87
COF 3433,132.14,NA,42.34
COF 3434,132.96,NA,39.44
COF 3435,130.73,NA,35.78
COF 3436,131.33,NA,41.8
COF 3437,132.51,NA,42.4
COF 3438,132.71,NA,47.58
COF 3439,131.22,NA,41.25
COF 3440,131.94,NA,41.52
COF 3441,131.22,NA,38.43
COF 3442,131.93,NA,40.7
COF 3443,132.67,NA,41.43
COF 3444,131.51,NA,43.38
COF 3445,129.8,NA,44.29
COF 3446,131.39,100.33,44.35
COF 3447,130.09,NA,39.2
COF 3448,131.71,NA,42.25
COF 3449,131.71,NA,41.59
COF 3450,133.2,NA,38.79
COF 3451,131.71,NA,38.25
COF 3452,129.68,NA,36.6
COF 3453,130.15,NA,37.9
COF 3454,132.68,NA,40.15
COF 3455,134.83,NA,41.33
COF 3456,133.71,NA,41.96
COF 3457,132.22,NA,39.83
COF 3458,131.73,NA,41.94
COF 3459,128.35,NA,41.2
COF 3460,130.73,NA,40.07
COF 3461,134.26,NA,40.27
COF 3462,132.94,NA,34.65
COF 3463,134.54,NA,42.55
COF 3464,132.7,NA,38.25
COF 3465,132.68,NA,35.8
COF 3466,136.75,NA,35.56
COF 3467,129.87,91.99,39.33
COF 3468,129.08,NA,38.55
COF 3469,131.46,NA,37.63
COF 3470,131.71,NA,39
