accenumb,campaign,trait,value
4136,1960-1961,plant_height,150
4138,1960-1961,days_to_heading,164
4138,1960-1961,plant_height,150
4139,1960-1961,days_to_heading,159
4139,1960-1961,plant_height,150
4140,1960-1961,days_to_heading,164
4140,1960-1961,plant_height,160
4141,1960-1961,days_to_heading,163
4141,1960-1961,plant_height,150
4142,1960-1961,days_to_heading,158
4142,1960-1961,plant_height,155
4143,1960-1961,days_to_heading,161
4143,1960-1961,plant_height,155
4144,1960-1961,days_to_heading,160
4144,1960-1961,plant_height,160
4146,1960-1961,days_to_heading,159
4146,1960-1961,plant_height,150
4147,1960-1961,days_to_heading,159
4147,1960-1961,plant_height,155
4149,1960-1961,days_to_heading,157
4149,1960-1961,plant_height,150
4150,1960-1961,days_to_heading,160
4150,1960-1961,plant_height,155
4151,1960-1961,days_to_heading,159
4151,1960-1961,plant_height,155
4152,1960-1961,days_to_heading,160
4152,1960-1961,plant_height,145
4153,1960-1961,days_to_heading,160
4153,1960-1961,plant_height,160
4154,1960-1961,days_to_heading,161
4154,1960-1961,plant_height,155
4156,1960-1961,days_to_heading,160
4156,1960-1961,plant_height,135
4158,1960-1961,days_to_heading,164
4158,1960-1961,plant_height,170
4159,1960-1961,days_to_heading,157
4159,1960-1961,plant_height,160
4161,1960-1961,days_to_heading,160
4161,1960-1961,plant_height,160
4163,1960-1961,days_to_heading,158
4163,1960-1961,plant_height,165
4164,1960-1961,days_to_heading,160
4164,1960-1961,plant_height,160
4165,1960-1961,days_to_heading,160
4165,1960-1961,plant_height,130
4166,1960-1961,days_to_heading,157
4166,1960-1961,plant_height,160
4167,1960-1961,days_to_heading,160
4167,1960-1961,plant_height,160
4168,1960-1961,days_to_heading,159
4168,1960-1961,plant_height,150
4169,1960-1961,days_to_heading,162
4169,1960-1961,plant_height,155
4170,1960-1961,days_to_heading,159
4170,1960-1961,plant_height,145
4174,1960-1961,days_to_heading,160
4178,1960-1961,days_to_heading,163
4178,1960-1961,plant_height,160
4180,1960-1961,days_to_heading,158
4180,1960-1961,plant_height,165
4181,1960-1961,days_to_heading,158
4181,1960-1961,plant_height,155
4182,1960-1961,days_to_heading,160
4182,1960-1961,plant_height,155
4183,1960-1961,days_to_heading,160
4183,1960-1961,plant_height,170
4185,1960-1961,days_to_heading,161
4185,1960-1961,plant_height,140
4186,1960-1961,days_to_heading,160
4186,1960-1961,plant_height,170
1004,1961-1962,days_to_heading,168
1004,1961-1962,days_to_heading,169
1004,1961-1962,plant_height,150
1004,1961-1962,plant_height,170
1004,1961-1962,thousand_kernel_weight,47.2
1004,1961-1962,thousand_kernel_weight,51
1008,1961-1962,days_to_heading,166
1008,1961-1962,plant_height,145
1008,1961-1962,thousand_kernel_weight,44.6
1014,1961-1962,days_to_heading,161
1014,1961-1962,plant_height,120
1014,1961-1962,thousand_kernel_weight,37.4
1020,1961-1962,days_to_heading,168
1020,1961-1962,plant_height,145
1020,1961-1962,thousand_kernel_weight,50.7
1031,1961-1962,days_to_heading,165
1031,1961-1962,plant_height,150
1031,1961-1962,thousand_kernel_weight,40.8
1033,1961-1962,days_to_heading,166
1033,1961-1962,plant_height,155
1033,1961-1962,thousand_kernel_weight,50.5
