accenumb,campaign,plant_height
TS0286,1980-1981,155
TS0286,1980-1981,150
TS0286,1980-1981,140
TS0286,1980-1981,160
TS0287,1980-1981,160
TS0287,1980-1981,140
TS0287,1980-1981,155
TS0287,1980-1981,165
TS0288,1980-1981,160
TS0288,1980-1981,140
TS0288,1980-1981,145
TS0288,1980-1981,155
TS0288,1980-1981,165
TS0288,1980-1981,150
TS0289,1980-1981,160
TS0289,1980-1981,170
TS0289,1980-1981,150
TS0289,1980-1981,155
TS0289,1980-1981,145
TS0294,1980-1981,160
TS0294,1980-1981,145
TS0294,1980-1981,155
TS0294,1980-1981,150
TS0294,1980-1981,130
TS0294,1980-1981,140
TS0310,1980-1981,160
TS0310,1980-1981,165
TS0310,1980-1981,150
TS0310,1980-1981,170
TS0310,1980-1981,130
TS0310,1980-1981,140
TS0325,1980-1981,155
TS0325,1980-1981,150
TS0325,1980-1981,140
TS0325,1980-1981,160
TS0333,1980-1981,160
TS0333,1980-1981,155
TS0333,1980-1981,140
TS0336,1980-1981,155
TS0336,1980-1981,160
TS0336,1980-1981,150
TS0336,1980-1981,145
TS0337,1980-1981,160
TS0337,1980-1981,145
TS0337,1980-1981,135
TS0337,1980-1981,150
TS0337,1980-1981,155
TS0342,1980-1981,145
TS0342,1980-1981,135
TS0342,1980-1981,155
TS0342,1980-1981,165
TS0342,1980-1981,160
TS0342,1980-1981,150
TS0342,1980-1981,140
TS0345,1980-1981,145
TS0345,1980-1981,135
TS0345,1980-1981,160
TS0345,1980-1981,150
TS0345,1980-1981,155
TS0345,1980-1981,140
TS0347,1980-1981,160
TS0347,1980-1981,165
TS0347,1980-1981,155
TS0347,1980-1981,150
TS0350,1980-1981,155
TS0350,1980-1981,160
TS0350,1980-1981,150
TS0350,1980-1981,145
TS0363,1980-1981,130
TS0363,1980-1981,150
TS0363,1980-1981,155
TS0363,1980-1981,145
TS0363,1980-1981,160
TS0363,1980-1981,135
TS0363,1980-1981,165
TS0363,1980-1981,125
TS0363,1980-1981,140
TS0371,1980-1981,155
TS0371,1980-1981,150
TS0371,1980-1981,160
TS0371,1980-1981,140
TS0371,1980-1981,145
TS0371,1980-1981,130
TS0379,1980-1981,130
TS0379,1980-1981,150
TS0379,1980-1981,135
TS0379,1980-1981,160
TS0379,1980-1981,170
TS0379,1980-1981,145
TS0379,1980-1981,155
TS0379,1980-1981,125
TS0379,1980-1981,140
TS0380,1980-1981,150
TS0380,1980-1981,135
TS0380,1980-1981,165
TS0380,1980-1981,155
TS0380,1980-1981,160
TS0380,1980-1981,130
TS0380,1980-1981,145
TS0380,1980-1981,140
TS0384,1980-1981,160
TS0384,1980-1981,150
TS0384,1980-1981,155
TS0384,1980-1981,130
TS0384,1980-1981,125
TS0384,1980-1981,145
TS0384,1980-1981,165
TS0384,1980-1981,140
TS0431,1980-1981,150
TS0431,1980-1981,165
TS0431,1980-1981,160
TS0431,1980-1981,135
TS0431,1980-1981,145
TS0431,1980-1981,155
TS0435,1980-1981,155
TS0435,1980-1981,140
TS0435,1980-1981,145
TS0435,1980-1981,160
TS0435,1980-1981,150
TS0435,1980-1981,165
TS0436,1980-1981,160
TS0436,1980-1981,140
TS0436,1980-1981,155
TS0436,1980-1981,165
TS0436,1980-1981,150
TS0436,1980-1981,145
TS0437,1980-1981,160
TS0437,1980-1981,155
TS0437,1980-1981,140
TS0437,1980-1981,150
TS0437,1980-1981,165
TS0439,1980-1981,160
TS0439,1980-1981,170
TS0439,1980-1981,150
TS0439,1980-1981,145
TS0439,1980-1981,155
TS0439,1980-1981,165
TS0451,1980-1981,160
TS0451,1980-1981,145
TS0451,1980-1981,155
TS0451,1980-1981,165
TS0451,1980-1981,130
TS0451,1980-1981,150
TS0455,1980-1981,140
TS0455,1980-1981,150
TS0455,1980-1981,160
TS0455,1980-1981,130
TS0455,1980-1981,125
TS0455,1980-1981,155
TS0455,1980-1981,145
TS0461,1980-1981,140
TS0461,1980-1981,145
TS0461,1980-1981,150
TS0461,1980-1981,160
TS0479,1980-1981,150
TS0479,1980-1981,165
TS0479,1980-1981,160
TS0479,1980-1981,135
TS0479,1980-1981,145
TS0479,1980-1981,155
TS0480,1980-1981,150
TS0480,1980-1981,155
TS0480,1980-1981,165
TS0480,1980-1981,160
TS0483,1980-1981,160
TS0483,1980-1981,155
TS0483,1980-1981,150
TS0483,1980-1981,145
TS0483,1980-1981,140
TS0498,1980-1981,160
TS0498,1980-1981,150
TS0498,1980-1981,135
TS0498,1980-1981,155
TS0498,1980-1981,170
TS0498,1980-1981,145
TS0499,1980-1981,160
TS0499,1980-1981,150
TS0499,1980-1981,155
TS0499,1980-1981,165
TS0499,1980-1981,145
TS0499,1980-1981,140
TS0509,1980-1981,150
TS0509,1980-1981,160
TS0509,1980-1981,155
TS0509,1980-1981,145
TS0509,1980-1981,140
TS0517,1980-1981,165
TS0517,1980-1981,145
TS0517,1980-1981,155
TS0517,1980-1981,150
TS0517,1980-1981,160
TS0535,1980-1981,155
TS0535,1980-1981,150
TS0536,1980-1981,150
TS0536,1980-1981,155
TS0536,1980-1981,140
TS0553,1980-1981,160
TS0553,1980-1981,150
TS0554,1980-1981,155
TS0554,1980-1981,145
TS0554,1980-1981,150
TS0555,1980-1981,145
TS0555,1980-1981,150
TS0560,1980-1981,135
TS0560,1980-1981,140
TS0560,1980-1981,145
TS0560,1980-1981,150
TS0560,1980-1981,160
TS0560,1980-1981,155
TS0560,1980-1981,130
TS0561,1980-1981,135
TS0561,1980-1981,140
TS0561,1980-1981,155
TS0561,1980-1981,160
TS0561,1980-1981,150
TS0561,1980-1981,145
TS0566,1980-1981,140
TS0566,1980-1981,155
TS0566,1980-1981,150
TS0566,1980-1981,145
TS0566,1980-1981,160
TS0572,1980-1981,140
TS0572,1980-1981,145
TS0572,1980-1981,130
TS0572,1980-1981,150
TS0573,1980-1981,140
TS0573,1980-1981,145
TS0573,1980-1981,150
TS0573,1980-1981,155
TS0573,1980-1981,160
TS0574,1980-1981,140
TS0574,1980-1981,145
TS0574,1980-1981,150
TS0574,1980-1981,155
TS0574,1980-1981,130
TS0577,1980-1981,140
TS0577,1980-1981,150
TS0577,1980-1981,135
TS0577,1980-1981,130
TS0577,1980-1981,160
TS0577,1980-1981,145
TS0578,1980-1981,140
TS0578,1980-1981,130
TS0578,1980-1981,145
TS0578,1980-1981,160
TS0578,1980-1981,155
TS0578,1980-1981,150
TS0579,1980-1981,135
