genotype,days_to_heading_BLUE,plant_height_BLUE,thousand_kernel_weight_BLUE,leaf_rust_BLUE,septoria_tritici_ssp_BLUE,protein_content_BLUE,sds_sedimentation_volume_BLUE
TA00937,126.02,98.14,42.98,1.69,NA,NA,NA
TA00938,124.8,83.99,42.99,1.29,NA,NA,NA
TA00939,126.32,96.52,39.25,1.69,NA,NA,NA
TA00940,124.53,83.93,45.73,2.09,NA,NA,NA
TA00941,132.05,118.19,47.48,1.69,NA,NA,NA
TA00942,124.02,102.35,40.73,1.69,NA,NA,NA
TA00943,124.28,98.1,40.49,2.89,NA,NA,NA
TA00944,123.11,77.82,44.25,2.09,NA,NA,NA
TA00945,130.84,91.96,NA,1.24,3.18,NA,NA
TA00946,120.88,101.71,46.67,1.35,3.19,15.32,42.17
TA00947,120.85,95.07,42.72,3.18,2.93,13.84,26.36
TA00948,122.4,103.83,40.61,3.07,2.56,13.66,30.86
TA00949,122.86,77.75,NA,2.89,NA,NA,NA
TA00950,126.18,93.64,NA,1.69,NA,NA,NA
TA00951,130.15,111.29,NA,0.96,2.86,NA,NA
TA00952,123.84,70.4,31.98,2.09,NA,NA,NA
TA00953,126.25,69.6,37.25,2.09,NA,NA,NA
TA00954,141.66,87.69,36.77,1.24,2.86,NA,NA
TA00955,125.26,76.61,37.46,1.24,2.86,NA,NA
TA00956,139.78,71.92,38.76,2.09,NA,NA,NA
TA00957,126.14,62.55,44.72,NA,NA,NA,NA
TA00958,124.34,81.04,NA,1.69,NA,NA,NA
TA00959,124.21,88.31,NA,2.09,NA,NA,NA
TA00960,123.84,77.35,NA,1.51,3.02,NA,NA
TA00961,123.21,63.24,40.94,2.34,3.53,13.77,62.13
TA00962,125.43,61.68,43.49,1.29,NA,NA,NA
TA00963,125.34,61.27,41,2.68,NA,NA,NA
TA00964,126.17,54.28,35.83,2.42,2.96,14.9,56.85
TA00965,126.98,75.98,39.74,1.69,NA,NA,NA
TA00966,129.39,61.42,35.22,2.67,3.66,15.09,59.58
TA00967,124.87,107.05,47,1.69,NA,NA,NA
TA00968,124.55,67.49,35.24,2.89,NA,NA,NA
TA00969,123.7,76.94,44.48,1.24,3.18,NA,NA
TA00970,125.15,98.99,45.97,1.77,3.53,15.39,39.47
TA00971,121.66,93.36,48.58,1.76,3.51,15.54,51.1
TA00972,123.91,100.94,42.25,3.48,NA,NA,NA
TA00973,123.16,102.71,39.98,1.69,NA,NA,NA
TA00974,121.82,71.22,NA,5.09,3.12,NA,NA
TA00975,126.14,77.58,39.5,3.88,NA,NA,NA
TA00976,128.55,111.68,45.73,2.89,NA,NA,NA
TA00977,118.2,96.64,53.45,1.69,NA,NA,NA
TA00978,124.7,70.33,47.54,3.58,3.62,13.71,48.72
TA00979,120.75,84.43,44.26,3.07,NA,NA,NA
TA00980,129.89,109.14,NA,3.88,NA,NA,NA
TA00981,124.45,88.91,38.71,1.69,NA,NA,NA
TA00982,130.02,107.96,47.22,2.09,NA,NA,NA
TA00983,125.13,61.44,35.75,2.09,NA,NA,NA
TA00984,148.68,99.56,30.28,2.09,NA,NA,NA
TA00985,135.23,105.08,31.75,2.09,NA,NA,NA
TA00986,133.86,100.51,NA,1.69,NA,NA,NA
TA00987,126.89,69.75,36.75,1.29,NA,NA,NA
TA00988,139.68,107.54,38.22,1.33,3.1,NA,NA
TA00989,138.66,119.09,43.52,NA,NA,NA,NA
TA00990,125.11,68.42,37.99,1.69,NA,NA,NA
TA00991,127.07,92.07,38.99,2.89,NA,NA,NA
TA00992,123.4,57.94,36.25,2.09,NA,NA,NA
TA00993,NA,76.3,NA,4.68,NA,NA,NA
TA00994,124.95,84.02,NA,3.48,NA,NA,NA
TA00995,124.33,60.28,30.77,1.69,NA,NA,NA
TA00996,131.73,99.66,45.74,1.75,NA,NA,NA
TA00997,124.36,57.21,33.01,2.74,NA,NA,NA
TA00998,NA,NA,NA,NA,NA,NA,NA
TA00999,120.98,86.79,43.46,2.68,NA,NA,NA
TA01000,119.86,73.28,44.46,2.68,NA,NA,NA
TA01001,117.48,70.25,35.25,2.09,NA,NA,NA
TA01002,125.57,75.54,39.74,2.68,NA,NA,NA
TA01003,125.98,53.91,43.97,2.68,NA,NA,NA
TA01004,124.41,64.09,38.29,3.35,2.73,13.57,47.25
TA01005,130.93,60.51,NA,1.69,NA,NA,NA
TA01006,133,59.5,39.49,1.29,NA,NA,NA
TA01007,NA,65.77,NA,1.29,NA,NA,NA
TA01008,130.48,71.27,41.72,1.69,NA,NA,NA
TA01009,133.87,99.43,41.01,3.48,NA,NA,NA
TA01010,125.63,70.06,32.76,3.48,NA,NA,NA
TA01011,126.52,62.25,38.47,3.48,NA,NA,NA
TA01012,124.93,61.92,38.23,4.28,NA,NA,NA
TA01013,131.82,107.19,50.73,1.24,2.86,NA,NA
TA01014,124.34,88.59,38.25,2.09,NA,NA,NA
TA01015,121.08,73.67,NA,2.68,NA,NA,NA
TA01016,119.36,86.29,44.49,3.88,NA,NA,NA
TA01017,121.27,84.67,42.74,5.48,NA,NA,NA
TA01018,124.84,63.07,43.26,1.29,NA,NA,NA
TA01019,124.16,60.83,33.25,1.29,NA,NA,NA
TA01020,120.79,65.66,42.22,2.09,NA,NA,NA
TA01021,119.98,66.49,47,3.48,NA,NA,NA
TA01022,131.65,70.25,NA,2.68,NA,NA,NA
TA01023,124.14,66.04,NA,2.09,NA,NA,NA
TA01024,125.57,63.82,38.26,2.29,NA,NA,NA
TA01025,129.41,133.62,44.13,2.8,3.08,16.2,25.36
TA01026,127.57,82.09,NA,2.68,NA,NA,NA
TA01027,131.76,131.35,47.81,2.88,2.83,15.45,37.37
TA01028,135.39,120.32,43.42,3.03,2,16.53,42.47
TA01029,132.96,125,47.1,1.83,2.19,16.2,42.8
TA01030,135.9,119.1,44.26,4.25,2.39,16.82,47.43
TA01031,138.38,111.8,43.48,3.14,2.56,16.08,42.35
TA01032,135.19,126.94,46.17,2.76,3.07,16.15,46.09
TA01033,130.57,130.61,45.66,2.82,2.56,14.74,25.48
TA01034,130.9,128.99,43.45,2.68,2.46,14.72,24.27
TA01035,125.29,90.25,NA,3.07,NA,NA,NA
TA01036,125.72,91.56,NA,2.68,NA,NA,NA
TA01037,124.44,92.09,NA,3.48,NA,NA,NA
TA01038,127.14,87.88,NA,3.07,NA,NA,NA
TA01039,127.14,87.35,NA,3.07,NA,NA,NA
TA01040,125.08,88.93,NA,2.09,NA,NA,NA
TA01041,125.23,92.88,NA,2.89,NA,NA,NA
TA01042,125.44,88.41,NA,2.68,NA,NA,NA
TA01043,125.65,88.41,NA,2.68,NA,NA,NA
TA01044,129.87,75.55,28.25,2.09,NA,NA,NA
TA01045,119.95,54.52,40.26,4.68,NA,NA,NA
TA01047,125.91,70.72,37.74,2.68,NA,NA,NA
TA01048,124.84,86.68,44.49,5.09,NA,NA,NA
TA01049,131.62,104.11,31.01,3.48,NA,NA,NA
TA01050,121.05,67.28,38.5,5.09,NA,NA,NA
TA01051,129.69,96.64,NA,2.89,NA,NA,NA
TA01052,124.53,58.61,42.47,2.49,NA,NA,NA
TA01053,125.34,57.94,27.77,1.69,NA,NA,NA
TA01054,122.09,57.6,35.72,1.29,NA,NA,NA
TA01055,127.04,91.42,42.73,2.09,NA,NA,NA
TA01056,126.77,107.66,22.29,3.07,NA,NA,NA
TA01057,120.46,74.94,47.73,1.24,3.1,NA,NA
TA01058,129.91,54.29,34.01,2.47,3.02,NA,NA
TA01059,126.81,63.61,35.23,3.85,3.1,NA,NA
TA01060,131.07,70.84,29.74,1.29,NA,NA,NA
TA01061,128.22,78.86,51.28,1.52,3.18,NA,NA
TA01062,129.56,59.66,39.25,2.13,3.02,NA,NA
TA01063,133.96,105.95,46.76,2.07,2.86,NA,NA
TA01064,133.77,104.49,43.76,2.07,2.86,NA,NA
TA01065,130.41,99.71,46.29,2.07,3.02,NA,NA
TA01066,139.38,105.67,36.28,2.35,2.86,NA,NA
TA01067,136.07,126.52,45.79,2.75,2.86,NA,NA
TA01068,139.49,116.26,NA,1.69,NA,NA,NA
TA01069,120.47,80.22,43.01,2.13,2.85,15.02,50.51
TA01070,120.42,77,44.7,2,3.22,14.61,54.28
TA01071,124.89,57.39,43.01,2.09,NA,NA,NA
TA01072,123.29,76.3,NA,3.88,NA,NA,NA
TA01073,125.7,63.84,36.23,2.48,3.18,NA,NA
TA01074,137.43,81.81,43.23,2.89,NA,NA,NA
TA01075,143.64,106.03,31.52,4.28,NA,NA,NA
TA01076,129.93,62.35,NA,1.29,NA,NA,NA
TA01077,126.16,75.15,37,2.89,NA,NA,NA
TA01078,119.25,76.09,NA,7.09,NA,NA,NA
TA01079,118.75,71.83,37.23,5.29,NA,NA,NA
TA01080,144.16,88.85,NA,2.08,2.94,NA,NA
TA01081,140.18,102.06,40.26,2.49,NA,NA,NA
TA01082,124.41,68.18,30.5,2.9,NA,NA,NA
TA01083,134.89,113.61,47.5,2.38,3.02,NA,NA
TA01084,130.8,111.42,36.01,2.89,NA,NA,NA
TA01085,126.42,96.63,NA,4.15,2.94,NA,NA
TA01086,133.99,115.51,47.01,2.9,NA,NA,NA
TA01087,131.34,104.87,45.74,2.07,2.86,NA,NA
TA01088,121.61,90.35,NA,2.75,2.94,NA,NA
TA01089,118.56,105.09,43.96,3.87,3.17,15.71,35.41
TA01090,121.08,94.19,NA,3.07,NA,NA,NA
TA01091,127.4,87.5,NA,1.24,3.02,NA,NA
TA01092,124.71,79.2,37.73,3.88,NA,NA,NA
TA01093,125.3,72.15,40.23,2.89,NA,NA,NA
TA01094,127.44,58.93,NA,2.09,NA,NA,NA
TA01095,122.89,76.01,40.01,3.69,NA,NA,NA
TA01096,130.43,69.18,30.25,1.71,2.86,NA,NA
TA01097,138.64,94.17,38.77,2.38,2.86,NA,NA
TA01098,130.79,71.24,26.76,2.44,2.86,NA,NA
TA01099,130.08,70.95,30.01,1.82,2.86,NA,NA
TA01100,128.25,75.02,31.83,2.35,2.97,14.07,38.46
TA01101,130.8,71.98,32.54,2.09,NA,NA,NA
TA01102,125.57,79.47,42.82,2.61,4.11,16.15,52.72
TA01103,132.32,77.99,33.48,8.29,NA,16.43,50.02
TA01104,126.06,68.89,37.01,3.4,2.94,NA,NA
TA01105,127.59,76.61,37.06,1.89,4.11,13.53,40.62
TA01106,134.89,127.47,44.99,2.49,NA,NA,NA
TA01107,128.02,73.67,33.24,2.49,NA,NA,NA
TA01108,121.72,65.77,NA,2.49,NA,NA,NA
TA01109,122.68,75.5,43.77,2.1,NA,NA,NA
TA01110,128.84,70.61,35.48,1.29,NA,NA,NA
TA01111,129.15,83.83,33.77,2.68,2.86,NA,NA
TA01112,127.8,85.23,37.99,2.09,NA,NA,NA
TA01113,126.66,90.73,33.29,2.49,NA,NA,NA
TA01114,129.12,81.44,42.02,2.89,NA,NA,NA
TA01115,125.39,71.33,43,2.9,NA,NA,NA
TA01116,119.68,66.49,46.73,2.89,NA,NA,NA
TA01117,116.25,70.09,NA,2.09,NA,NA,NA
TA01118,115.78,71.12,NA,2.89,NA,NA,NA
TA01119,115.78,71.68,NA,2.09,NA,NA,NA
TA01120,138.89,102.03,47.26,1.24,2.86,NA,NA
TA01121,123.71,70.64,37.24,2.09,NA,NA,NA
TA01122,114.79,67.51,34.49,2.09,NA,NA,NA
TA01123,125.27,72.38,NA,6.02,2.94,NA,NA
TA01124,124.5,59.78,37.53,1.69,NA,NA,NA
TA01125,130.73,105.27,47.73,1.69,NA,NA,NA
TA01126,130.48,97.4,35.27,1.69,NA,NA,NA
TA01127,130.73,118.88,46.76,1.69,NA,NA,NA
TA01128,138.5,116.79,50.01,2.89,NA,NA,NA
TA01129,124.86,71.82,35.5,3.88,NA,NA,NA
TA01130,121.13,74.07,39.24,2.09,NA,NA,NA
TA01131,124.94,100.95,48.49,1.24,3.18,NA,NA
TA01132,124.54,91.44,46.22,3.52,3.1,NA,NA
TA01133,122.61,81.35,44.28,2.68,NA,NA,NA
TA01134,134.56,131.76,44.07,4.03,2.91,13.55,27.53
TA01135,134.08,137.17,45.94,2.78,3.08,14.72,30.45
TA01136,131.25,130.03,41.88,3.3,3.67,15.42,30.91
TA01137,136.91,78.51,40.76,2.49,NA,NA,NA
TA01138,130.86,93.14,NA,3.07,NA,NA,NA
TA01139,135.61,103,NA,1.24,3.1,NA,NA
TA01140,139.1,96.57,NA,0.96,3.1,NA,NA
TA01141,130.72,62.61,NA,2.1,NA,NA,NA
TA01142,125.57,73.44,38.01,1.69,NA,NA,NA
TA01143,124.64,80.62,40.01,2.09,NA,NA,NA
TA01144,132.37,105.39,50.25,1.69,NA,NA,NA
TA01145,131.96,107.94,48.52,1.69,NA,NA,NA
TA01146,132.3,102.66,47.51,1.69,NA,NA,NA
TA01147,122.68,65.5,45.25,2.09,NA,NA,NA
TA01148,125.36,89.38,37.77,1.29,NA,NA,NA
TA01149,135.71,114.96,45.49,1.75,NA,NA,NA
TA01150,125.3,86.03,46.49,3.88,NA,NA,NA
TA01151,128.52,87.01,43.49,2.09,NA,NA,NA
TA01152,133.37,90.46,NA,2.68,NA,NA,NA
TA01153,119.52,83.78,30.24,1.69,NA,NA,NA
TA01154,139.02,129.43,47.26,0.96,3.18,NA,NA
TA01155,NA,NA,NA,NA,NA,NA,NA
TA01156,129.98,82.55,40.23,1.69,NA,NA,NA
TA01157,123.79,76.06,33.49,1.69,NA,NA,NA
TA01158,128.21,59.45,NA,1.69,NA,NA,NA
TA01159,139.68,82.51,35.26,2.1,NA,NA,NA
TA01160,127.35,72.88,NA,2.49,NA,NA,NA
TA01161,126.36,78.35,32.98,1.29,NA,NA,NA
TA01162,127.75,68.25,33.5,2.1,NA,NA,NA
TA01163,124.98,58.51,NA,1.69,NA,NA,NA
TA01164,120.86,70.25,NA,1.29,NA,NA,NA
TA01165,122.09,69.99,43.78,1.29,NA,NA,NA
TA01166,127.19,67.38,33.75,5.29,NA,NA,NA
TA01167,124.09,72.88,32.01,3.48,NA,NA,NA
TA01168,124.93,73.19,33.76,2.09,NA,NA,NA
TA01169,135.52,58.93,NA,2.09,NA,NA,NA
TA01170,118.34,81.59,39.99,4.68,NA,NA,NA
TA01171,121.13,84.51,43.24,4.68,NA,NA,NA
TA01172,118.93,79.16,33.46,2.68,NA,NA,NA
TA01173,129.88,121.87,44.25,4.49,NA,NA,NA
TA01174,134.24,120.17,45.73,1.51,3.18,NA,NA
TA01175,133.8,125.84,43.24,1.69,NA,NA,NA
TA01176,136.29,106.3,NA,1.69,NA,NA,NA
TA01177,NA,56.56,NA,3.48,NA,NA,NA
TA01178,124,81.65,44.01,2.1,NA,NA,NA
TA01179,122.88,78.39,43.22,2.49,NA,NA,NA
TA01180,130.5,121.52,42.5,NA,NA,NA,NA
TA01181,130.86,78.93,NA,3.48,NA,NA,NA
TA01182,130.86,78.4,NA,3.48,NA,NA,NA
TA01183,131.75,110.38,46.06,2.89,NA,NA,NA
TA01184,134.64,116.29,43.25,2.09,NA,NA,NA
TA01185,135.87,103.96,39.28,1.79,2.94,NA,NA
TA01186,138.1,117.87,45.01,2.09,NA,NA,NA
TA01187,136.99,118.92,42.76,2.09,NA,NA,NA
TA01188,136.42,130.38,23.99,3.48,NA,NA,NA
TA01189,132.39,61.32,27.01,1.69,NA,NA,NA
TA01190,124.73,74.46,38.01,6.28,NA,NA,NA
TA01191,124.3,80.35,41.49,2.1,NA,NA,NA
TA01192,127.77,63.67,34.5,1.29,NA,NA,NA
TA01193,127.57,68.52,33.73,4.49,NA,NA,NA
TA01194,123.29,66.17,30.75,5.62,NA,NA,NA
TA01195,125.84,65.18,31.5,2.89,NA,NA,NA
TA01196,131.73,66.1,39.5,2.09,NA,NA,NA
TA01197,126.27,109.41,38.77,2.09,NA,NA,NA
TA01198,129.12,91.76,NA,2.07,3.26,NA,NA
TA01199,139.66,110.01,NA,1.51,3.02,NA,NA
TA01200,121.95,90.79,40.51,4.4,2.89,13.4,34.24
TA01201,122.96,83.28,36.94,6.52,3.36,14.79,41.27
TA01202,119.61,77.89,33.34,5.09,3.37,15.39,43.74
TA01203,NA,57.35,NA,3.29,NA,NA,NA
TA01204,127.16,96.39,41.49,2.68,NA,NA,NA
TA01205,125.83,64.79,34.47,3.88,NA,NA,NA
TA01206,124.47,59.35,32.73,NA,NA,NA,NA
TA01207,131.66,90.06,40.01,1.29,NA,NA,NA
TA01208,129.07,99.06,40.22,1.29,NA,NA,NA
TA01209,129.23,99.29,41.49,2.49,NA,NA,NA
TA01210,128.91,97.59,41.73,2.1,NA,NA,NA
TA01211,130.88,108.66,46.73,2.96,3.26,NA,NA
TA01212,131.09,112.51,52.49,1.69,NA,NA,NA
TA01213,126.45,60.59,29.98,1.29,NA,NA,NA
TA01214,NA,61.82,NA,2.49,NA,NA,NA
TA01215,126.86,104.43,46,3.69,NA,NA,NA
TA01216,135.34,104.87,49.76,1.69,NA,NA,NA
TA01217,133.76,107.83,NA,1.69,NA,NA,NA
TA01218,133.84,109.3,NA,1.69,NA,NA,NA
TA01219,134.8,96.83,NA,3.48,NA,NA,NA
TA01220,121.2,106.18,40.91,3.71,3.42,14.09,45.66
TA01221,119.28,103.92,42.63,4.81,3.1,14.42,44.38
TA01222,137.21,102.24,38.26,3.03,3.18,NA,NA
TA01223,136.89,100.82,37,3.03,3.02,NA,NA
TA01224,130.14,77.62,NA,2.49,NA,NA,NA
TA01225,125.63,64.94,32.99,1.24,NA,NA,NA
TA01226,119.47,61.76,37.23,3.48,NA,NA,NA
TA01227,122.78,86.04,NA,2.68,NA,NA,NA
TA01228,121.7,92.03,37.49,3.48,NA,NA,NA
TA01229,132.91,102.03,49.48,1.29,NA,NA,NA
TA01230,NA,56.82,NA,2.49,NA,NA,NA
TA01231,142.75,81.25,35.99,2.68,NA,NA,NA
TA01232,129.93,73.14,NA,3.88,NA,NA,NA
TA01233,NA,NA,NA,NA,NA,NA,NA
TA01235,NA,NA,NA,NA,NA,NA,NA
TA01236,NA,NA,NA,NA,NA,NA,NA
TA01237,NA,NA,NA,NA,NA,NA,NA
TA01238,NA,NA,NA,NA,NA,NA,NA
TA01239,NA,NA,NA,NA,NA,NA,NA
TA01240,NA,NA,NA,NA,NA,NA,NA
TA01241,127.91,69.92,43,2.15,2.65,12.95,46.62
TA01242,NA,NA,NA,NA,NA,NA,NA
TA01243,NA,NA,NA,NA,NA,NA,NA
TA01244,NA,NA,NA,NA,NA,NA,NA
TA01245,127.67,69.32,44.32,3.07,2.39,12.13,47.29
TA01246,NA,NA,NA,NA,NA,NA,NA
TA01247,NA,NA,NA,NA,NA,NA,NA
TA01248,120.36,62.14,43.52,3.6,3.61,13.06,55
TA01249,NA,NA,NA,NA,NA,NA,NA
TA01250,128.58,67.33,38.03,2.89,3.19,13.48,50.79
TA01251,118.17,62.86,49.98,3.93,2.77,13,50.98
TA01252,NA,NA,NA,NA,NA,NA,NA
TA01253,126.42,66.78,34.47,3.52,2.68,14.05,59.29
TA01255,NA,NA,NA,NA,NA,NA,NA
TA01256,NA,NA,NA,NA,NA,NA,NA
TA01257,NA,NA,NA,NA,NA,NA,NA
TA01258,NA,NA,NA,NA,NA,NA,NA
TA01259,NA,NA,NA,NA,NA,NA,NA
TA01260,NA,NA,NA,NA,NA,NA,NA
TA01261,NA,NA,NA,NA,NA,NA,NA
TA01262,NA,NA,NA,NA,NA,NA,NA
TA01263,NA,NA,NA,NA,NA,NA,NA
TA01264,NA,NA,NA,NA,NA,NA,NA
TA01265,NA,NA,NA,NA,NA,NA,NA
TA01266,NA,NA,NA,NA,NA,NA,NA
TA01267,NA,NA,NA,NA,NA,NA,NA
TA01268,NA,NA,NA,NA,NA,NA,NA
TA01270,NA,NA,NA,NA,NA,NA,NA
TA01271,NA,NA,NA,NA,NA,NA,NA
TA01272,NA,NA,NA,NA,NA,NA,NA
TA01273,NA,NA,NA,NA,NA,NA,NA
TA01274,NA,NA,NA,NA,NA,NA,NA
TA01275,NA,NA,NA,NA,NA,NA,NA
TA01276,NA,NA,NA,NA,NA,NA,NA
TA01277,NA,NA,NA,NA,NA,NA,NA
TA01278,NA,NA,NA,NA,NA,NA,NA
TA01280,NA,NA,NA,NA,NA,NA,NA
TA01282,NA,NA,NA,NA,NA,NA,NA
TA01283,NA,NA,NA,NA,NA,NA,NA
TA01285,NA,NA,NA,NA,NA,NA,NA
TA01286,NA,NA,NA,NA,NA,NA,NA
TA01287,NA,NA,NA,NA,NA,NA,NA
TA01290,NA,NA,NA,NA,NA,NA,NA
TA01291,NA,NA,NA,NA,NA,NA,NA
TA01292,NA,NA,NA,NA,NA,NA,NA
TA01296,NA,NA,NA,NA,NA,NA,NA
TA01297,NA,NA,NA,NA,NA,NA,NA
TA01298,NA,NA,NA,NA,NA,NA,NA
TA01299,NA,NA,NA,NA,NA,NA,NA
TA01300,NA,NA,NA,NA,NA,NA,NA
TA01301,127.01,70.87,38.86,3.75,2.9,12.27,44.4
TA01302,NA,NA,NA,NA,NA,NA,NA
TA01303,NA,NA,NA,NA,NA,NA,NA
TA01304,126.57,70.13,44.35,1.94,2.72,12.52,48.75
TA01305,NA,NA,NA,NA,NA,NA,NA
TA01306,NA,NA,NA,NA,NA,NA,NA
TA01307,NA,NA,NA,NA,NA,NA,NA
TA01308,NA,NA,NA,NA,NA,NA,NA
TA01309,NA,NA,NA,NA,NA,NA,NA
TA01310,NA,NA,NA,NA,NA,NA,NA
TA01312,NA,NA,NA,NA,NA,NA,NA
TA01314,NA,NA,NA,NA,NA,NA,NA
TA01315,NA,NA,NA,NA,NA,NA,NA
TA01316,NA,NA,NA,NA,NA,NA,NA
TA01318,NA,NA,NA,NA,NA,NA,NA
TA01319,123.99,69.96,44.27,2.58,3.66,12.7,45.41
TA01322,136.05,129.3,48.73,NA,NA,NA,NA
TA01323,121.96,68.33,47.86,0.87,2.5,13.64,59.47
TA01324,121.15,69.36,49.27,1.11,NA,13.31,54.76
TA01325,122.16,69.78,48.32,1.19,1.5,13.39,59.35
TA01335,NA,NA,NA,NA,NA,NA,NA
TA01336,137.73,112.21,48.76,NA,NA,NA,NA
TA01337,142.37,110.71,39.77,NA,NA,NA,NA
TA01340,125.45,86.19,30.26,NA,NA,NA,NA
TA01348,119.98,76.19,39,NA,NA,NA,NA
TA01353,120.13,76.59,34.26,NA,NA,NA,NA
TA01365,NA,NA,NA,NA,NA,NA,NA
TA01437,NA,NA,NA,NA,NA,NA,NA
TA01438,125.2,83.2,NA,NA,NA,NA,NA
TA01439,129.63,116.16,NA,NA,NA,NA,NA
TA01440,133.97,NA,NA,NA,NA,NA,NA
TA01441,129.27,NA,NA,NA,NA,NA,NA
TA01442,131.43,NA,NA,NA,NA,NA,NA
TA01443,135.17,NA,NA,NA,NA,NA,NA
TA02003,121.45,69.83,35.98,2.75,3.29,NA,NA
TA02004,125.08,62.09,38.55,2.47,3.44,NA,NA
TA02012,124.21,64.81,NA,4.04,4.36,NA,NA
TA02013,NA,NA,NA,NA,NA,NA,NA
TA02014,NA,NA,NA,NA,NA,NA,NA
TA02015,NA,86.73,55.08,1.44,3,16.7,27.36
TA02016,NA,NA,NA,NA,NA,NA,NA
TA02047,NA,NA,NA,NA,NA,NA,NA
TA02048,126.82,96.49,55.04,1.16,2.93,14.88,51.93
TA02058,124.43,58.93,NA,2.44,3.29,NA,NA
TA02059,139.88,91.48,36.48,0.34,3.04,16.34,27.26
TA02079,NA,NA,NA,NA,NA,NA,NA
TA02080,NA,NA,NA,NA,NA,NA,NA
TA02088,NA,NA,NA,NA,NA,NA,NA
TA02517,129.88,93.8,47.15,0.44,NA,15.75,46.54
TA02728,123.56,98.85,33.71,1.21,3.5,14.27,37.43
TA02930,NA,NA,NA,NA,NA,NA,NA
TA02996,128.08,87.24,49.54,3.52,NA,16.85,53.67
TA03358,123.22,83.02,49.47,1.16,3.67,14.77,43.64
TA03408,122.32,81.68,45.42,1.31,3.04,15.98,45.95
TA03666,130.24,105.79,41.3,0.69,2.45,15.74,47.59
TA03667,136.24,100.16,31.04,0.34,3.14,16.52,53.46
TA03668,124.55,80.91,31.14,0.34,3.33,14.56,72.85
TA03669,139.85,92.84,36.49,0.34,3.26,17.19,53.59
TA03670,135.32,103.03,39.77,0.57,5.61,17.49,59.01
TA03671,145.07,84.36,32.45,0.34,2.93,17.82,55.33
TA03672,133.48,83.8,37.41,0.34,3.33,16.27,45.3
TA03673,133.8,88.59,32.06,0.34,3.33,16.07,46.53
TA03674,127.88,79.37,30.81,0.57,3.76,14.32,41.4
TA03675,133.99,81.42,31.3,0.57,3.37,14.12,35.34
TA03676,139.85,98.12,35.69,0.34,3.04,15.58,28.41
TA03677,127.7,102.63,41.63,0.69,3.72,14.58,52.68
TA03678,142.43,114.09,35.59,0.57,3.26,15.43,69.21
TA03679,127.23,108.71,33.48,0.83,3.43,13.41,49.88
TA03680,139.83,104.49,37.68,0.34,3.04,15.85,41.06
TA03681,139.97,116.18,30.83,0.34,2.55,15.95,59.85
TA03682,137.26,107.4,31.7,0.34,3.04,16.9,51.99
TA03684,137.04,110.2,31.64,0.34,3.54,16.62,47.19
TA03685,136.6,110.57,32.52,0.34,3.14,16.7,55.08
TA03686,135.72,106.3,32.01,0.34,3.04,16.42,52.45
TA03687,136.51,105.26,33.91,0.34,3.14,17.36,58.84
TA03688,133,98.76,33.1,0.34,2.84,16.63,52.66
TA03689,135.72,110.27,33.99,0.34,2.84,16.43,53.91
TA03690,136.57,105.01,33.6,0.34,2.74,15.74,60.05
TA04432,119.46,68.77,50.17,1.65,3.62,18.52,36.14
TA04642,124.47,77.5,41.17,1.15,2.99,NA,NA
TA04705,NA,69.62,51.49,NA,NA,NA,NA
TA04731,NA,135.06,35.77,NA,NA,NA,NA
TA04732,NA,97.6,38.54,NA,NA,NA,NA
TA05020,122.29,81.74,NA,1.78,2.99,NA,NA
TA05021,125.42,81.37,NA,1.88,2.94,NA,NA
TA05022,124.94,84.42,49.82,1.53,2.99,14.42,40.64
TA05023,125.2,78.45,48.52,1.53,3.06,15.62,44.14
TA05024,126.56,83.33,45.32,1.4,2.96,15.43,44.75
TA05025,124.9,87.65,48.97,1.36,2.99,NA,45.14
TA05026,123.56,84.01,50.67,2.2,3.06,16.97,40.14
TA05027,123.6,80.82,NA,1.17,2.99,NA,NA
TA05028,124.19,84.12,57.77,1.89,3.45,17.62,42.14
TA05029,124.24,81.68,NA,0.96,3.93,NA,NA
TA05030,125.06,77.46,NA,0.96,2.79,NA,NA
TA05031,125.06,79.28,NA,0.96,2.71,NA,NA
TA05032,123.55,92.55,NA,2.59,2.92,NA,NA
TA05033,122.7,84.67,42.64,0.96,5.74,NA,NA
TA05048,121.73,104.09,NA,NA,NA,NA,NA
TA05049,122.83,91.64,33.98,NA,NA,NA,NA
TA05051,127.83,78.64,35.98,NA,NA,NA,NA
TA05055,121.56,95.15,44.22,NA,NA,NA,NA
TA05056,115.3,75.72,43.24,NA,NA,NA,NA
TA05058,NA,98.15,38,NA,NA,NA,NA
TA05059,134.56,70.75,38.79,NA,NA,NA,NA
TA05060,138,129.18,36.72,NA,NA,NA,NA
TA05061,124.1,104.82,63.96,NA,NA,NA,NA
TA05067,124.56,94.55,36.49,NA,NA,NA,NA
TA05068,143.1,125.67,30.97,NA,NA,NA,NA
TA05069,124.47,114.64,36.98,NA,NA,NA,NA
TA05070,136.1,131.62,49.24,NA,NA,NA,NA
TA05073,127.2,99.73,29.74,NA,NA,NA,NA
TA05077,131.47,96.5,46.33,NA,NA,NA,NA
TA05078,123.37,67.09,36.25,NA,NA,NA,NA
TA05081,114.66,76.3,42.25,NA,NA,NA,NA
TA05082,124.56,83.19,35,NA,NA,NA,NA
TA05084,126.03,88.2,36.74,NA,NA,NA,NA
TA05091,123.83,71.76,37.7,NA,NA,NA,NA
