genotype,days_to_heading_BLUE,plant_height_BLUE,thousand_kernel_weight_BLUE,leaf_rust_BLUE,septoria_tritici_ssp_BLUE,protein_content_BLUE,sds_sedimentation_volume_BLUE
TA00266,128.63,84.01,40.98,2.98,3.08,NA,NA
TA00267,120.96,81.6,35.1,2.82,3.09,15.16,56.03
TA00268,117.9,70.21,34.54,4.48,3.02,15.05,46.79
TA00269,119.77,82.62,NA,4.3,1.94,NA,NA
TA00270,123.93,63.82,NA,2.55,1.94,NA,NA
TA00271,125.62,70.22,NA,4.3,3.08,NA,NA
TA00272,125.16,93.31,NA,2.41,3.08,NA,NA
TA00273,123.92,63.65,NA,2.98,3.08,NA,NA
TA00274,124.58,83.5,30.24,2.11,NA,NA,NA
TA00275,130.24,79.6,35.49,2.11,NA,NA,NA
TA00276,127.45,89.59,34.5,3.38,NA,NA,NA
TA00277,126.57,72.82,NA,5.29,NA,NA,NA
TA00278,122.67,61.91,37.53,3.4,3.32,14.31,43.66
TA00279,123.7,60.88,33.72,4.54,3.19,14.95,54.45
TA00280,122.19,66.22,37.22,3.71,3.65,14.37,49.24
TA00281,127.27,59.66,37.75,0.83,NA,NA,NA
TA00282,124,84.72,34.73,3.38,NA,NA,NA
TA00283,124.89,76.22,45.25,1.35,NA,NA,NA
TA00284,124.64,60.84,NA,0.83,NA,NA,NA
TA00285,135.27,75.55,34.5,3.67,NA,NA,NA
TA00286,128.09,79.95,38.48,3.38,NA,NA,NA
TA00287,139.47,107.5,38.74,NA,NA,NA,NA
TA00288,122.84,62.04,38.73,NA,NA,NA,NA
TA00289,134.01,126.68,44.03,2.64,2.31,16.45,42.59
TA00290,127.12,60.8,34.99,2.11,NA,NA,NA
TA00291,126.01,60.97,30.06,3.38,NA,NA,NA
TA00292,126.87,59,35.75,1.68,NA,NA,NA
TA00293,123.27,71.93,41.7,0.83,NA,NA,NA
TA00294,130.3,77.19,40.24,NA,NA,NA,NA
TA00295,125.15,80.02,43.74,NA,NA,NA,NA
TA00296,127.26,98.36,41.5,2.11,NA,NA,NA
TA00297,140.61,61.4,37.71,1.55,NA,NA,NA
TA00298,122.92,65.17,NA,0.83,NA,NA,NA
TA00299,125.15,65.73,NA,0.83,NA,NA,NA
TA00300,122.22,92.59,48.58,4.48,3.15,14.96,49.87
TA00301,131.26,80.33,29.78,6.12,3.28,13.85,43.18
TA00302,132.04,62.6,NA,2.11,NA,NA,NA
TA00303,139.04,119.74,47.77,2.28,NA,NA,NA
TA00304,124.52,79.19,34.2,3.42,3.41,14.96,39.15
TA00305,130.12,69.72,32.15,1.42,2.97,13.75,49.05
TA00306,130.36,72.69,37.01,3.06,2.73,13.44,55.22
TA00307,125.06,81.58,36.88,3.47,3.88,14.63,36.01
TA00308,119.42,84.53,NA,2.11,NA,NA,NA
TA00309,124.08,65.1,NA,0.83,NA,NA,NA
TA00310,122.55,97.19,NA,0.83,NA,NA,NA
TA00311,122.27,99.84,NA,0.83,NA,NA,NA
TA00312,122.61,95,NA,0.83,NA,NA,NA
TA00313,122.48,98.45,40.99,NA,NA,NA,NA
TA00314,122.39,89.12,45.98,0.83,NA,NA,NA
TA00315,125.41,95.13,NA,2.11,NA,NA,NA
TA00316,127.57,123.49,44.23,3.38,NA,NA,NA
TA00317,122.56,65.38,33.99,2.25,NA,NA,NA
TA00318,123.51,65.45,NA,5.29,NA,NA,NA
TA00319,126.75,68.33,NA,NA,NA,NA,NA
TA00320,124.91,98.79,NA,NA,NA,NA,NA
TA00321,128.47,80.43,NA,NA,NA,NA,NA
TA00322,120.7,65.39,36.26,1.54,4,12.83,49.32
TA00323,124.53,66.17,NA,2.11,NA,NA,NA
TA00324,131.98,117.97,45.98,2.11,NA,NA,NA
TA00325,133.2,116.47,39.05,3.19,NA,NA,NA
TA00326,133.01,116.02,45.73,3.55,NA,NA,NA
TA00327,133.47,117.86,47.24,2.11,NA,NA,NA
TA00328,123.26,61.34,36.98,3.55,NA,NA,NA
TA00329,125.01,90.78,NA,NA,NA,NA,NA
TA00330,124.69,65.38,38.17,2.11,3.08,13.35,45.97
TA00331,126.89,92.39,NA,4.47,NA,NA,NA
TA00332,124.13,87.55,44.49,3.38,NA,NA,NA
TA00333,125.47,73.91,NA,NA,NA,NA,NA
TA00334,137.42,111.07,29.25,NA,NA,NA,NA
TA00335,129.62,58.43,40.24,2.11,NA,NA,NA
TA00336,127.31,66.93,47.1,3.97,2.96,13.36,46.85
TA00337,124.83,70.29,39,NA,NA,NA,NA
TA00338,124.91,78.2,NA,NA,NA,NA,NA
TA00339,123.08,69.9,31.5,3.53,NA,NA,NA
TA00340,115.53,72.39,32.49,3.67,NA,NA,NA
TA00341,119.22,78.04,NA,3.38,NA,NA,NA
TA00342,121.63,69.88,35.73,3.38,NA,NA,NA
TA00343,120.89,87.53,47.98,2.11,NA,NA,NA
TA00344,120.75,74.43,48.24,0.83,NA,NA,NA
TA00345,120.77,104.94,40.73,3.38,NA,NA,NA
TA00346,122.9,100.47,43.49,4.79,NA,NA,NA
TA00347,138.76,119.68,NA,0.92,NA,NA,NA
TA00348,118.42,62.52,NA,0.83,NA,NA,NA
TA00349,117.29,62.25,NA,0.83,NA,NA,NA
TA00350,118.29,66.19,NA,0.83,NA,NA,NA
TA00351,120.17,71.48,NA,0.83,NA,NA,NA
TA00352,122.02,76.12,NA,0.83,NA,NA,NA
TA00353,138.39,110.8,42.26,0.83,NA,NA,NA
TA00354,124.92,94.39,NA,0.83,NA,NA,NA
TA00355,123.2,71.18,36.98,NA,NA,NA,NA
TA00356,123.86,71.47,33.98,2.11,NA,NA,NA
TA00357,126.7,61.28,NA,0.83,NA,NA,NA
TA00358,117.9,67.1,NA,2.11,NA,NA,NA
TA00359,124.22,68.59,35.98,0.83,NA,NA,NA
TA00360,127.91,124.45,NA,NA,NA,NA,NA
TA00361,122.36,57.78,NA,NA,NA,NA,NA
TA00362,119.63,78.1,38.49,0.83,NA,NA,NA
TA00363,122.42,101.2,NA,3.38,NA,NA,NA
TA00364,120.52,63.63,49.2,4.3,3.35,15.92,55.46
TA00365,129.47,109.46,50,2.11,NA,NA,NA
TA00366,129.01,72.05,NA,3.38,NA,NA,NA
TA00367,138.07,120.64,NA,4.73,NA,NA,NA
TA00368,130.34,110.77,32.24,0.8,NA,NA,NA
TA00369,123.77,82.85,NA,2.11,NA,NA,NA
TA00370,125.88,101.63,NA,3.38,NA,NA,NA
TA00371,123.66,79.15,NA,3.38,NA,NA,NA
TA00372,133.55,117.92,40.27,2.11,NA,NA,NA
TA00373,139.63,100.78,NA,7.11,NA,NA,NA
TA00374,121.93,98.47,33.49,5.29,NA,NA,NA
TA00375,127.47,97.67,NA,3.38,NA,NA,NA
TA00376,124.16,75.46,NA,5.29,NA,NA,NA
TA00377,124.13,88.42,NA,3.38,NA,NA,NA
TA00378,124.25,82.07,NA,NA,NA,NA,NA
TA00379,125.97,87.17,NA,NA,NA,NA,NA
TA00380,128.77,104.74,NA,3.34,NA,NA,NA
TA00381,128.76,98.72,NA,3.34,NA,NA,NA
TA00382,129.07,107.6,NA,3.34,NA,NA,NA
TA00383,120.79,95.47,NA,3.57,NA,NA,NA
TA00384,NA,NA,NA,NA,NA,NA,NA
TA00385,128.55,105.62,46.22,1.37,NA,NA,NA
TA00386,129.68,103.65,NA,1.65,NA,NA,NA
TA00387,134.69,86.03,NA,5.29,NA,NA,NA
TA00388,118.77,93.66,38.01,2.11,NA,NA,NA
TA00389,119.03,69.05,NA,3.38,NA,NA,NA
TA00390,118.66,70.92,NA,5.29,NA,NA,NA
TA00391,121.04,79.45,41.48,3.27,3.15,13.46,49.39
TA00392,122.05,63.83,46.77,5.29,NA,NA,NA
TA00393,121.64,69.11,NA,0.83,NA,NA,NA
TA00394,122.75,81.28,42.75,2.11,NA,NA,NA
TA00395,130.57,119.42,34.28,NA,NA,NA,NA
TA00396,131.77,108.32,40.77,NA,NA,NA,NA
TA00397,130.77,128.18,51.53,1.91,2.73,15.66,52.52
TA00398,130.34,125.14,49.78,1.97,2.78,15.74,50.92
TA00399,130.33,134.73,50.64,2.09,2.93,15.63,50.45
TA00400,122.77,70.31,40.81,3.06,2.93,13.59,40.44
TA00401,125.7,68.64,49.85,2.5,3.19,12.71,53.81
TA00402,125.58,71.4,45.15,3.62,3.19,12.61,40.92
TA00403,136.97,70.24,34.77,5.19,NA,NA,NA
TA00404,127.35,108.64,NA,2.11,NA,NA,NA
TA00405,121.72,71.29,41.99,2.11,NA,NA,NA
TA00406,122.3,75.08,NA,2.47,NA,NA,NA
TA00407,121.78,82.77,NA,5.29,NA,NA,NA
TA00408,121.04,66.16,41.52,2.11,NA,NA,NA
TA00409,124.58,104.88,49,2.11,NA,NA,NA
TA00410,122.34,62.94,42.99,3.38,NA,NA,NA
TA00411,122.43,81.86,41.59,3.26,3.06,14.36,30.69
TA00412,123.83,79.87,NA,3.38,NA,NA,NA
TA00413,129.64,76.69,39.74,2.11,NA,NA,NA
TA00414,122.07,81.13,NA,NA,NA,NA,NA
TA00415,124.85,78.48,NA,3.38,NA,NA,NA
TA00416,120.74,71.05,36.49,2.11,NA,NA,NA
TA00417,120.46,77.45,NA,0.83,NA,NA,NA
TA00418,121.31,65.5,43.75,2.11,NA,NA,NA
TA00419,127.6,88.81,44.25,2.11,NA,NA,NA
TA00420,124.87,94.36,40.25,2.11,NA,NA,NA
TA00421,121.62,82.77,37.76,NA,NA,NA,NA
TA00422,119.4,93.33,NA,2.11,NA,NA,NA
TA00423,123.55,81.09,NA,5.29,NA,NA,NA
TA00424,125.65,74.68,31.76,3.38,NA,NA,NA
TA00425,124.01,72.75,34,NA,NA,NA,NA
TA00426,121.35,79.39,36.25,5.29,NA,NA,NA
TA00427,125.15,93.74,38.01,5.29,NA,NA,NA
TA00428,127.02,66.63,34.27,3.38,NA,NA,NA
TA00429,129.13,111.65,49.72,2.11,NA,NA,NA
TA00430,126.33,91.8,39.26,2.11,NA,NA,NA
TA00431,123.78,62.69,36.1,1.54,3.54,14,41.61
TA00432,123.66,74.45,NA,NA,NA,NA,NA
TA00433,125.19,91.63,37.8,1.24,NA,NA,NA
TA00434,124.65,95.65,NA,1.79,NA,NA,NA
TA00435,123.88,85.2,NA,3.57,NA,NA,NA
TA00436,125.43,80.68,NA,2.9,NA,NA,NA
TA00437,124.19,85.37,NA,2.23,NA,NA,NA
TA00438,122.17,64.02,NA,2.11,NA,NA,NA
TA00439,121.71,74.37,NA,2.11,NA,NA,NA
TA00440,133.14,113.31,49.52,1.6,3.09,13.97,40.65
TA00441,133,113.54,NA,NA,NA,NA,NA
TA00442,131.89,116.42,NA,NA,NA,NA,NA
TA00443,133.22,126.41,46.06,1.41,1.88,16.05,43.74
TA00444,132.28,131.84,51.46,1.11,2.34,14.8,43.21
TA00445,131.67,131.46,52.36,1.49,3.26,15.07,45.18
TA00446,131.54,129.4,51.05,1.5,2.26,15.36,49.04
TA00447,132.2,130.3,51.09,3.03,3,14.57,47.71
TA00448,129.39,110.12,38.21,4.51,2.64,15.55,39.75
TA00449,136.01,138.48,41.99,3.11,2.93,15.96,41.74
TA00450,133.61,133.09,45.09,1.81,3.04,15.83,49.78
TA00451,133.96,114.41,NA,1.24,NA,NA,NA
TA00452,132.6,134.35,45.44,0.95,2.79,14.26,29.54
