accenumb,agent_id,doi,days_to_heading,thousand_kernel_weight,plant_height,name,description,campaign
IG 99170,AW_31582,NA,160,54,110,CE9211,NA,1991-1992
IG 99171,AW_20168,NA,160,55,115,CE9211,NA,1991-1992
IG 99172,AW_20169,NA,160,54,102,CE9211,NA,1991-1992
IG 99173,AW_20170,NA,166,50,90,CE9211,NA,1991-1992
IG 99174,AW_31583,NA,166,53,102,CE9211,NA,1991-1992
IG 99175,AW_34362,NA,153,48,70,CE9211,NA,1991-1992
IG 99176,AW_17351,NA,153,44,68,CE9211,NA,1991-1992
IG 99177,AW_22957,NA,151,52,68,CE9211,NA,1991-1992
IG 99178,AW_20171,NA,153,47,58,CE9211,NA,1991-1992
IG 99179,AW_31584,NA,157,50,88,CE9211,NA,1991-1992
IG 99180,AW_34363,NA,157,46,78,CE9211,NA,1991-1992
IG 99181,AW_22958,NA,163,62,102,CE9211,NA,1991-1992
IG 99182,AW_22959,NA,163,60,90,CE9211,NA,1991-1992
IG 99183,AW_17352,NA,160,56,98,CE9211,NA,1991-1992
IG 99184,AW_34364,NA,160,54,88,CE9211,NA,1991-1992
IG 99185,AW_20172,NA,151,51,72,CE9211,NA,1991-1992
IG 99186,AW_20173,NA,151,47,66,CE9211,NA,1991-1992
IG 99187,AW_22960,NA,153,42,88,CE9211,NA,1991-1992
IG 99188,AW_17353,NA,151,41,92,CE9211,NA,1991-1992
IG 99189,AW_37130,NA,151,42,72,CE9211,NA,1991-1992
IG 99190,AW_34365,NA,151,46,68,CE9211,NA,1991-1992
IG 99191,AW_20174,NA,151,45,78,CE9211,NA,1991-1992
IG 99192,AW_34366,NA,151,43,68,CE9211,NA,1991-1992
IG 99193,AW_37131,NA,157,48,62,CE9211,NA,1991-1992
IG 99194,AW_25794,NA,153,45,58,CE9211,NA,1991-1992
IG 99195,AW_25795,NA,151,45,68,CE9211,NA,1991-1992
IG 99196,AW_22961,NA,151,41,68,CE9211,NA,1991-1992
IG 99197,AW_25796,NA,151,52,68,CE9211,NA,1991-1992
IG 99198,AW_34367,NA,151,51,68,CE9211,NA,1991-1992
IG 99199,AW_31585,NA,151,50,58,CE9211,NA,1991-1992
IG 99200,AW_22962,NA,151,49,62,CE9211,NA,1991-1992
IG 99201,AW_25797,NA,151,49,58,CE9211,NA,1991-1992
IG 99202,AW_20175,NA,147,54,68,CE9211,NA,1991-1992
IG 99203,AW_17354,NA,163,47,98,CE9211,NA,1991-1992
IG 99204,AW_22963,NA,166,53,92,CE9211,NA,1991-1992
IG 107099,AW_31635,NA,140,3.2,108,CE9402,NA,1993-1994
IG 107100,AW_34414,NA,134,3.6,108,CE9402,NA,1993-1994
IG 107101,AW_17406,NA,128,2.8,103,CE9402,NA,1993-1994
IG 107102,AW_23027,NA,136,2.4,88,CE9402,NA,1993-1994
IG 107103,AW_20230,NA,134,3.2,115,CE9402,NA,1993-1994
IG 107104,AW_23028,NA,146,2.4,100,CE9402,NA,1993-1994
IG 107105,AW_25839,NA,134,3.2,108,CE9402,NA,1993-1994
IG 107106,AW_31636,NA,136,3.2,108,CE9402,NA,1993-1994
IG 107107,AW_23029,NA,138,3.2,85,CE9402,NA,1993-1994
