genotype,days_to_heading_BLUE,plant_height_BLUE,thousand_kernel_weight_BLUE
LRC_SSD_IG_27370,NA,NA,NA
LRC_SSD_IG_27376,NA,NA,36.53
LRC_SSD_IG_27421,NA,NA,NA
LRC_SSD_IG_27425,NA,NA,NA
LRC_SSD_IG_27502,NA,NA,NA
LRC_SSD_IG_27536,NA,NA,NA
LRC_SSD_IG_27545,NA,NA,NA
LRC_SSD_IG_27605,NA,NA,NA
LRC_SSD_IG_27674,NA,NA,NA
LRC_SSD_IG_27932,NA,NA,NA
LRC_SSD_IG_27963,NA,NA,NA
LRC_SSD_IG_28068,NA,NA,NA
LRC_SSD_IG_28080,NA,NA,NA
LRC_SSD_IG_28123,NA,NA,NA
LRC_SSD_IG_28124,NA,NA,NA
LRC_SSD_IG_28277,NA,NA,37.36
LRC_SSD_IG_28278,NA,NA,NA
LRC_SSD_IG_28330,NA,NA,NA
LRC_SSD_IG_28331,NA,NA,NA
LRC_SSD_IG_28380,84.94,NA,NA
LRC_SSD_IG_28381,NA,NA,NA
LRC_SSD_IG_28383,NA,NA,NA
LRC_SSD_IG_28390,NA,NA,NA
LRC_SSD_IG_28393,NA,NA,NA
LRC_SSD_IG_28405,NA,NA,NA
LRC_SSD_IG_28547,90.34,NA,NA
LRC_SSD_IG_28552,NA,NA,NA
LRC_SSD_IG_28555,NA,NA,NA
LRC_SSD_IG_28561,NA,NA,NA
LRC_SSD_IG_28564,NA,NA,NA
LRC_SSD_IG_28571,NA,NA,NA
LRC_SSD_IG_28575,90.52,130.78,NA
LRC_SSD_IG_28582,NA,NA,NA
LRC_SSD_IG_28583,NA,NA,NA
LRC_SSD_IG_28590,NA,NA,NA
LRC_SSD_IG_28596,NA,NA,NA
LRC_SSD_IG_28611,NA,NA,NA
LRC_SSD_IG_28622,NA,NA,NA
LRC_SSD_IG_28627,NA,NA,NA
LRC_SSD_IG_28629,NA,NA,NA
LRC_SSD_IG_28642,NA,NA,NA
LRC_SSD_IG_28646,NA,NA,NA
LRC_SSD_IG_28654,NA,NA,NA
LRC_SSD_IG_28659,NA,NA,NA
LRC_SSD_IG_28660,NA,NA,NA
LRC_SSD_IG_28663,NA,NA,NA
LRC_SSD_IG_28666,NA,NA,NA
LRC_SSD_IG_28667,NA,NA,NA
LRC_SSD_IG_28668,NA,NA,NA
LRC_SSD_IG_28675,84.62,130.48,NA
LRC_SSD_IG_28697,NA,NA,NA
LRC_SSD_IG_28698,NA,NA,NA
LRC_SSD_IG_28710,NA,NA,NA
LRC_SSD_IG_28713,66.11,NA,NA
LRC_SSD_IG_28714,NA,NA,NA
LRC_SSD_IG_28717,NA,NA,NA
LRC_SSD_IG_28718,NA,NA,NA
LRC_SSD_IG_28719,NA,NA,NA
LRC_SSD_IG_28720,NA,NA,NA
LRC_SSD_IG_28721,NA,NA,NA
LRC_SSD_IG_28727,77.3,NA,NA
LRC_SSD_IG_28729,70.39,NA,38.31
LRC_SSD_IG_28730,NA,NA,NA
LRC_SSD_IG_28732,NA,NA,NA
LRC_SSD_IG_28734,82.21,126.45,NA
LRC_SSD_IG_28736,NA,NA,NA
LRC_SSD_IG_28747,NA,NA,NA
LRC_SSD_IG_28748,NA,NA,NA
LRC_SSD_IG_28755,NA,NA,NA
LRC_SSD_IG_28761,NA,NA,NA
LRC_SSD_IG_28763,86.9,132.79,NA
LRC_SSD_IG_28766,NA,NA,NA
LRC_SSD_IG_28793,NA,NA,NA
LRC_SSD_IG_28794,NA,NA,NA
LRC_SSD_IG_28798,NA,NA,NA
LRC_SSD_IG_28804,NA,NA,NA
LRC_SSD_IG_28811,69.29,130.34,NA
LRC_SSD_IG_28813,NA,NA,NA
LRC_SSD_IG_28815,83.86,144.82,NA
LRC_SSD_IG_28817,84.18,141.18,NA
LRC_SSD_IG_28825,NA,NA,NA
LRC_SSD_IG_28855,NA,NA,NA
LRC_SSD_IG_28860,98.03,147.14,NA
LRC_SSD_IG_28872,NA,NA,NA
LRC_SSD_IG_28877,NA,NA,NA
LRC_SSD_IG_28942,NA,NA,NA
LRC_SSD_IG_28959,NA,NA,34.93
LRC_SSD_IG_28983,NA,NA,NA
LRC_SSD_IG_29001,NA,NA,NA
LRC_SSD_IG_29051,NA,NA,NA
LRC_SSD_IG_29052,NA,NA,NA
LRC_SSD_IG_29054,NA,NA,NA
LRC_SSD_IG_29058,NA,NA,NA
LRC_SSD_IG_29069,NA,NA,NA
LRC_SSD_IG_31412,87.54,NA,NA
LRC_SSD_IG_31413,NA,NA,NA
LRC_SSD_IG_31450,83.61,NA,NA
LRC_SSD_IG_31453,NA,NA,NA
LRC_SSD_IG_31490,91.61,NA,NA
LRC_SSD_IG_31493,NA,NA,NA
LRC_SSD_IG_31495,NA,NA,NA
LRC_SSD_IG_31513,72.23,NA,NA
LRC_SSD_IG_31522,75.35,132.96,NA
LRC_SSD_IG_31864,92.36,NA,NA
LRC_SSD_IG_31865,98.24,NA,NA
LRC_SSD_IG_31866,97.83,NA,NA
LRC_SSD_IG_31870,81.75,121.35,32.17
LRC_SSD_IG_31876,99.22,133.35,44.05
LRC_SSD_IG_31891,96.74,138.3,42.73
LRC_SSD_IG_31923,89.12,134.43,46.05
LRC_SSD_IG_31924,NA,NA,NA
LRC_SSD_IG_31927,97.63,NA,44.85
LRC_SSD_IG_31935,95.26,NA,41.17
LRC_SSD_IG_31938,98.52,NA,35.73
LRC_SSD_IG_31942,91.49,130.83,38.29
LRC_SSD_IG_31945,99.46,130.57,45.17
LRC_SSD_IG_31968,90.98,145.72,40.98
LRC_SSD_IG_31973,88.02,NA,NA
LRC_SSD_IG_31975,90.09,145.59,NA
LRC_SSD_IG_31977,77.53,NA,NA
LRC_SSD_IG_31988,84.77,135.09,44.29
LRC_SSD_IG_31993,NA,NA,NA
LRC_SSD_IG_31995,97.08,134.69,42.98
LRC_SSD_IG_32000,98.87,140.31,43.17
LRC_SSD_IG_32004,92.4,144.11,NA
LRC_SSD_IG_32008,NA,NA,NA
LRC_SSD_IG_32009,93.61,NA,NA
LRC_SSD_IG_32012,93.44,NA,43.85
LRC_SSD_IG_32020,106.01,NA,NA
LRC_SSD_IG_32022,89.17,NA,40.85
LRC_SSD_IG_32031,95.7,NA,39.49
LRC_SSD_IG_32037,94.33,NA,NA
LRC_SSD_IG_32041,96.23,144.24,41.17
LRC_SSD_IG_32053,NA,NA,NA
LRC_SSD_IG_32066,95.67,NA,42.17
LRC_SSD_IG_32069,95.32,NA,NA
LRC_SSD_IG_32073,NA,NA,NA
LRC_SSD_IG_32077,NA,NA,NA
LRC_SSD_IG_32083,89.2,NA,38.05
LRC_SSD_IG_32088,89.27,NA,NA
LRC_SSD_IG_32575,80.83,132.83,37.42
LRC_SSD_IG_32584,72.84,NA,NA
LRC_SSD_IG_32587,NA,NA,NA
LRC_SSD_IG_32596,68.56,130.96,39.29
LRC_SSD_IG_32598,75.65,133.2,41.42
LRC_SSD_IG_32710,95.49,139.11,NA
LRC_SSD_IG_32715,NA,NA,NA
LRC_SSD_IG_32728,NA,NA,NA
LRC_SSD_IG_32733,95.46,NA,NA
LRC_SSD_IG_32748,NA,NA,NA
LRC_SSD_IG_32756,81.1,133.56,NA
LRC_SSD_IG_32774,73.31,NA,NA
LRC_SSD_IG_32777,80.62,133.11,NA
LRC_SSD_IG_32801,68.99,NA,NA
LRC_SSD_IG_32802,88.18,NA,NA
LRC_SSD_IG_32803,71.68,NA,NA
LRC_SSD_IG_32804,77.97,NA,NA
LRC_SSD_IG_33005,100.94,138.57,NA
LRC_SSD_IG_33006,NA,NA,NA
LRC_SSD_IG_33007,99.08,143.44,NA
LRC_SSD_IG_33008,NA,NA,NA
LRC_SSD_IG_33010,102.33,138.12,NA
LRC_SSD_IG_33015,73.5,NA,42.31
LRC_SSD_IG_33017,NA,NA,NA
LRC_SSD_IG_33021,NA,NA,NA
LRC_SSD_IG_33024,NA,NA,NA
LRC_SSD_IG_33026,74.41,NA,46.31
LRC_SSD_IG_33029,NA,NA,NA
LRC_SSD_IG_33042,77.08,NA,NA
LRC_SSD_IG_33043,NA,NA,NA
LRC_SSD_IG_33051,NA,NA,NA
LRC_SSD_IG_33052,NA,NA,NA
LRC_SSD_IG_33054,81.06,NA,46.31
LRC_SSD_IG_33056,82.06,NA,46.31
LRC_SSD_IG_33059,NA,NA,NA
LRC_SSD_IG_33063,NA,NA,NA
LRC_SSD_IG_33065,98.46,NA,NA
LRC_SSD_IG_33088,82.69,NA,NA
LRC_SSD_IG_33092,NA,NA,NA
LRC_SSD_IG_33104,NA,NA,NA
LRC_SSD_IG_33453,NA,NA,NA
LRC_SSD_IG_33631,NA,NA,NA
LRC_SSD_IG_33642,NA,NA,NA
LRC_SSD_IG_34576,NA,NA,NA
LRC_SSD_IG_35188,64.29,NA,NA
LRC_SSD_IG_35201,71.54,NA,50.31
LRC_SSD_IG_35205,NA,NA,NA
LRC_SSD_IG_35210,NA,NA,NA
LRC_SSD_IG_35214,NA,NA,NA
LRC_SSD_IG_35215,NA,NA,NA
LRC_SSD_IG_35216,NA,NA,NA
LRC_SSD_IG_35220,71.04,NA,48.31
LRC_SSD_IG_35221,NA,NA,NA
LRC_SSD_IG_35227,NA,NA,NA
LRC_SSD_IG_35249,NA,NA,NA
LRC_SSD_IG_35254,NA,NA,NA
LRC_SSD_IG_35255,NA,NA,NA
LRC_SSD_IG_35274,NA,NA,48.31
LRC_SSD_IG_35276,NA,NA,45.31
LRC_SSD_IG_35278,73.54,NA,NA
LRC_SSD_IG_35280,NA,NA,44.31
LRC_SSD_IG_35281,NA,NA,NA
LRC_SSD_IG_35291,NA,NA,46.31
LRC_SSD_IG_35292,NA,NA,42.81
LRC_SSD_IG_35308,71.93,NA,NA
LRC_SSD_IG_35313,NA,NA,NA
LRC_SSD_IG_35329,68.54,NA,48.31
LRC_SSD_IG_35341,NA,NA,48.31
LRC_SSD_IG_35342,NA,NA,NA
LRC_SSD_IG_35343,72.18,NA,42.31
LRC_SSD_IG_35344,NA,NA,NA
LRC_SSD_IG_35347,76.06,NA,45.81
LRC_SSD_IG_35348,67.57,NA,48.31
LRC_SSD_IG_35349,NA,NA,NA
LRC_SSD_IG_35351,67.42,NA,NA
LRC_SSD_IG_35354,NA,NA,41.21
LRC_SSD_IG_35362,NA,NA,NA
LRC_SSD_IG_35366,NA,NA,NA
LRC_SSD_IG_35377,95.67,NA,43.03
LRC_SSD_IG_35378,NA,NA,NA
LRC_SSD_IG_35380,88.91,NA,50.31
LRC_SSD_IG_35382,75.11,NA,48.31
LRC_SSD_IG_35385,88.12,NA,NA
LRC_SSD_IG_35390,84.98,NA,40.31
LRC_SSD_IG_35392,NA,NA,NA
LRC_SSD_IG_35398,89.36,NA,48.31
LRC_SSD_IG_35399,95.13,NA,NA
LRC_SSD_IG_35400,NA,NA,NA
LRC_SSD_IG_35405,97.83,NA,NA
LRC_SSD_IG_35406,98.21,NA,NA
LRC_SSD_IG_35407,71.29,NA,NA
LRC_SSD_IG_35432,NA,NA,NA
LRC_SSD_IG_35721,NA,NA,NA
LRC_SSD_IG_35754,76.04,NA,NA
LRC_SSD_IG_35788,NA,NA,NA
LRC_SSD_IG_36095,NA,NA,NA
LRC_SSD_IG_36249,NA,NA,NA
LRC_SSD_IG_36361,NA,NA,NA
LRC_SSD_IG_36418,NA,NA,NA
LRC_SSD_IG_36430,NA,NA,NA
LRC_SSD_IG_36474,NA,NA,NA
LRC_SSD_IG_36623,NA,NA,NA
LRC_SSD_IG_36631,NA,NA,NA
LRC_SSD_IG_36637,NA,NA,NA
LRC_SSD_IG_36642,75.4,NA,NA
LRC_SSD_IG_36651,NA,NA,NA
LRC_SSD_IG_36660,NA,NA,NA
LRC_SSD_IG_36712,NA,NA,NA
LRC_SSD_IG_36770,NA,NA,NA
LRC_SSD_IG_36800,NA,NA,NA
LRC_SSD_IG_36814,NA,NA,NA
LRC_SSD_IG_37066,87.29,NA,NA
LRC_SSD_IG_37071,NA,NA,NA
LRC_SSD_IG_37134,NA,NA,NA
LRC_SSD_IG_37177,105.68,NA,NA
LRC_SSD_IG_37178,NA,NA,NA
LRC_SSD_IG_37179,NA,NA,NA
LRC_SSD_IG_37180,102.08,NA,NA
LRC_SSD_IG_37181,104.14,NA,NA
LRC_SSD_IG_37182,107.41,NA,NA
LRC_SSD_IG_37183,109.14,NA,NA
LRC_SSD_IG_37184,104.94,NA,NA
