experiment_id,instcode,genus,accenumb,agent_id,doi,days_to_heading,thousand_kernel_weight,plant_height,name,description,campaign,site_name,longitude,latitude,remarks
2,LBN002,Hordeum,LRC_SSD_IG_24463,AB_04340,NA,80,31.7,142,Cat.1B,NA,1983-1984,NA,NA,NA,NA
2,LBN002,Hordeum,LRC_SSD_IG_24464,AB_04144,NA,75,26.9,156,Cat.1B,NA,1983-1984,NA,NA,NA,NA
2,LBN002,Hordeum,LRC_SSD_IG_24466,AB_03984,NA,70,27.3,153,Cat.1B,NA,1983-1984,NA,NA,NA,NA
2,LBN002,Hordeum,LRC_SSD_IG_24471,AB_04456,NA,90,33.8,137,Cat.1B,NA,1983-1984,NA,NA,NA,NA
2,LBN002,Hordeum,LRC_SSD_IG_24513,AB_04256,NA,50,30.2,135,Cat.1B,NA,1983-1984,NA,NA,NA,NA
2,LBN002,Hordeum,LRC_SSD_IG_24615,AB_04032,NA,60,36.3,133,Cat.1B,NA,1983-1984,NA,NA,NA,NA
2,LBN002,Hordeum,LRC_SSD_IG_24616,AB_04033,NA,60,43.2,132,Cat.1B,NA,1983-1984,NA,NA,NA,NA
2,LBN002,Hordeum,LRC_SSD_IG_24621,AB_04575,NA,70,38.6,136,Cat.1B,NA,1983-1984,NA,NA,NA,NA
2,LBN002,Hordeum,LRC_SSD_IG_24632,AB_04418,NA,50,43.1,136,Cat.1B,NA,1983-1984,NA,NA,NA,NA
2,LBN002,Hordeum,LRC_SSD_IG_24637,AB_04534,NA,75,22.1,123,Cat.1B,NA,1983-1984,NA,NA,NA,NA
2,LBN002,Hordeum,LRC_SSD_IG_24646,AB_04576,NA,40,37.2,135,Cat.1B,NA,1983-1984,NA,NA,NA,NA
2,LBN002,Hordeum,LRC_SSD_IG_24651,AB_04577,NA,60,36.1,122,Cat.1B,NA,1983-1984,NA,NA,NA,NA
2,LBN002,Hordeum,LRC_SSD_IG_24664,AB_04181,NA,60,34.7,142,Cat.1B,NA,1983-1984,NA,NA,NA,NA
2,LBN002,Hordeum,LRC_SSD_IG_24668,AB_04341,NA,NA,25.6,154,Cat.1B,NA,1983-1984,NA,NA,NA,NA
2,LBN002,Hordeum,LRC_SSD_IG_24669,AB_04273,NA,55,39,124,Cat.1B,NA,1983-1984,NA,NA,NA,NA
2,LBN002,Hordeum,LRC_SSD_IG_24670,AB_04274,NA,55,46.3,129,Cat.1B,NA,1983-1984,NA,NA,NA,NA
2,LBN002,Hordeum,LRC_SSD_IG_24671,AB_04328,NA,50,36.4,128,Cat.1B,NA,1983-1984,NA,NA,NA,NA
2,LBN002,Hordeum,LRC_SSD_IG_24718,AB_04018,NA,40,49.7,123,Cat.1B,NA,1983-1984,NA,NA,NA,NA
2,LBN002,Hordeum,LRC_SSD_IG_24719,AB_04333,NA,45,31.8,125,Cat.1B,NA,1983-1984,NA,NA,NA,NA
2,LBN002,Hordeum,LRC_SSD_IG_24744,AB_04034,NA,50,39.9,134,Cat.1B,NA,1983-1984,NA,NA,NA,NA
2,LBN002,Hordeum,LRC_SSD_IG_24753,AB_04182,NA,75,27.4,124,Cat.1B,NA,1983-1984,NA,NA,NA,NA
2,LBN002,Hordeum,LRC_SSD_IG_24755,AB_04175,NA,60,33.5,120,Cat.1B,NA,1983-1984,NA,NA,NA,NA
2,LBN002,Hordeum,LRC_SSD_IG_24764,AB_04404,NA,55,23.9,136,Cat.1B,NA,1983-1984,NA,NA,NA,NA
2,LBN002,Hordeum,LRC_SSD_IG_24779,AB_04090,NA,70,39.7,128,Cat.1B,NA,1983-1984,NA,NA,NA,NA
2,LBN002,Hordeum,LRC_SSD_IG_24780,AB_04183,NA,70,33.8,129,Cat.1B,NA,1983-1984,NA,NA,NA,NA
2,LBN002,Hordeum,LRC_SSD_IG_24861,AB_04105,NA,40,27.9,134,Cat.1B,NA,1983-1984,NA,NA,NA,NA
3,LBN002,Hordeum,LRC_SSD_IG_24872,AB_04094,NA,80,35.9,157,Cat.2,NA,1984-1985,NA,NA,NA,NA
3,LBN002,Hordeum,LRC_SSD_IG_24920,AB_04578,NA,80,45.3,159,Cat.2,NA,1984-1985,NA,NA,NA,NA
3,LBN002,Hordeum,LRC_SSD_IG_24938,AB_04106,NA,75,32.9,146,Cat.2,NA,1984-1985,NA,NA,NA,NA
3,LBN002,Hordeum,LRC_SSD_IG_24941,AB_04015,NA,85,39.3,149,Cat.2,NA,1984-1985,NA,NA,NA,NA
3,LBN002,Hordeum,LRC_SSD_IG_24944,AB_04329,NA,90,26.9,151,Cat.2,NA,1984-1985,NA,NA,NA,NA
3,LBN002,Hordeum,LRC_SSD_IG_25075,AB_04107,NA,70,41.8,141,Cat.2,NA,1984-1985,NA,NA,NA,NA
3,LBN002,Hordeum,LRC_SSD_IG_25162,AB_04492,NA,75,46.9,158,Cat.2,NA,1984-1985,NA,NA,NA,NA
3,LBN002,Hordeum,LRC_SSD_IG_25186,AB_04405,NA,75,31.2,157,Cat.2,NA,1984-1985,NA,NA,NA,NA
3,LBN002,Hordeum,LRC_SSD_IG_25205,AB_04016,NA,90,45.3,149,Cat.2,NA,1984-1985,NA,NA,NA,NA
3,LBN002,Hordeum,LRC_SSD_IG_25283,AB_04560,NA,70,44.9,146,Cat.2,NA,1984-1985,NA,NA,NA,NA
3,LBN002,Hordeum,LRC_SSD_IG_25319,AB_04561,NA,70,27,135,Cat.2,NA,1984-1985,NA,NA,NA,NA
3,LBN002,Hordeum,LRC_SSD_IG_25460,AB_04091,NA,85,39.9,135,Cat.2,NA,1984-1985,NA,NA,NA,NA
3,LBN002,Hordeum,LRC_SSD_IG_25468,AB_04168,NA,95,40.2,146,Cat.2,NA,1984-1985,NA,NA,NA,NA
3,LBN002,Hordeum,LRC_SSD_IG_25539,AB_04535,NA,85,38.2,141,Cat.2,NA,1984-1985,NA,NA,NA,NA
3,LBN002,Hordeum,LRC_SSD_IG_25556,AB_04536,NA,90,46,138,Cat.2,NA,1984-1985,NA,NA,NA,NA
3,LBN002,Hordeum,LRC_SSD_IG_25605,AB_04406,NA,75,32.3,159,Cat.2,NA,1984-1985,NA,NA,NA,NA
3,LBN002,Hordeum,LRC_SSD_IG_25617,AB_03989,NA,80,27.5,149,Cat.2,NA,1984-1985,NA,NA,NA,NA
3,LBN002,Hordeum,LRC_SSD_IG_25619,AB_04493,NA,60,41.1,149,Cat.2,NA,1984-1985,NA,NA,NA,NA
3,LBN002,Hordeum,LRC_SSD_IG_25679,AB_03990,NA,75,47.1,157,Cat.2,NA,1984-1985,NA,NA,NA,NA
3,LBN002,Hordeum,LRC_SSD_IG_25701,AB_04169,NA,60,23,135,Cat.2,NA,1984-1985,NA,NA,NA,NA
