genotype,days_to_heading_BLUE,plant_height_BLUE,thousand_kernel_weight_BLUE
IG 113097,129.6,87.92,30.57
IG 113098,134.62,93.48,20.57
IG 113099,134.91,98.89,18.57
IG 113100,128.95,89.34,22.57
IG 113101,134.91,102.01,20.57
IG 113102,134.91,95.98,22.57
IG 113103,136.01,97.28,20.57
IG 113105,134.91,95.84,22.57
IG 113106,129.1,91.73,20.57
IG 113107,141.5,97.14,20.57
IG 113108,135.93,97.31,22.57
IG 113109,134.91,97.45,22.57
IG 113110,135.89,90.27,22.57
IG 113111,131.81,89.64,18.57
IG 113112,129.74,96.93,20.57
IG 113113,135.75,95.13,20.57
IG 113116,126.85,91.75,22.57
IG 113117,137.03,91.9,22.57
IG 113218,144.54,87.06,22.57
IG 113219,140.4,82.23,NA
IG 113220,134.75,96.19,22.57
IG 113221,128.71,97.63,22.57
IG 113222,128.95,95.1,22.57
IG 113223,135.53,101.52,20.57
IG 113224,135.26,97.55,22.57
IG 113225,129.1,93.1,22.57
IG 113226,129.07,91.93,20.57
IG 113227,132.26,95.9,22.57
IG 115798,140.84,104.75,34.98
IG 115812,129.08,100.66,43.96
IG 116132,NA,102.32,NA
IG 116189,158.01,118.6,42.91
IG 117947,NA,98.78,29.64
IG 117948,NA,NA,NA
IG 117949,NA,104.98,27.08
IG 117950,NA,107.58,NA
IG 117951,NA,103.47,NA
IG 117952,NA,115.14,NA
IG 117953,NA,109.07,NA
IG 117954,NA,113.28,NA
IG 117955,NA,108.68,NA
IG 117956,NA,105.61,NA
IG 117957,NA,74.94,NA
IG 117958,149.8,109.55,NA
IG 117959,NA,78.94,NA
IG 117960,151.88,107.97,NA
IG 117965,134.07,94.75,39.76
IG 117966,NA,120.2,47.5
IG 117967,136.56,91.19,42.48
IG 117968,NA,88.64,44.77
IG 117969,NA,94.68,NA
IG 118177,152.37,103.77,29.75
IG 118699,139.63,103.75,38.07
IG 118700,143.19,97.32,38.91
IG 118701,NA,NA,NA
IG 118703,NA,NA,NA
IG 118704,NA,NA,NA
IG 118705,142.87,94.66,NA
IG 118706,142.74,99.14,NA
IG 118707,145.36,107.96,44.3
IG 118708,145.08,119.6,45.52
IG 118709,143.39,130.61,43.85
IG 118710,143.02,89.41,NA
IG 118711,NA,NA,NA
IG 118712,147.37,106.65,39.83
IG 118713,145.23,117.91,NA
IG 118714,NA,NA,NA
IG 118715,143.67,124.51,42.28
IG 118716,144.2,130.08,NA
IG 118717,NA,97.18,42.12
IG 118718,141.53,120.01,46.56
IG 118719,NA,96.69,32.23
IG 118720,NA,82.9,NA
IG 118721,NA,90.32,35.25
IG 118722,143.79,106.37,43.98
IG 118724,145.21,98.91,NA
IG 118726,139.27,101.17,NA
IG 118727,139.72,100.01,38.75
IG 118728,NA,NA,NA
IG 118729,145.91,110.47,NA
IG 118730,143.39,86.1,34.38
IG 118731,143.73,129.22,50.91
IG 118732,NA,131.86,38.29
IG 118733,NA,NA,NA
IG 118734,139.08,108.16,NA
IG 118735,148.53,122.78,NA
IG 118736,139.08,109.39,NA
IG 118737,143.27,122.66,NA
IG 118738,143.21,127.91,NA
IG 118739,139.27,109.14,NA
IG 118740,147.57,99.53,NA
IG 118742,143.62,99.49,38.73
IG 118746,NA,133.39,39.53
IG 118747,145.47,130.4,NA
IG 118748,147.42,133.59,45.89
IG 118749,143.33,123.28,32.5
IG 118750,143.24,100.43,34.75
IG 118751,NA,107.29,38.28
IG 118752,135.63,96.22,43.13
IG 118753,145.27,113.43,NA
IG 118754,147.15,99.43,NA
IG 118756,143.13,99.4,NA
IG 118758,NA,NA,NA
IG 118759,NA,92.49,30.75
IG 118760,NA,NA,NA
IG 118761,139.36,101.67,NA
IG 118762,139.36,95.77,41.7
IG 118763,139.36,103.66,NA
IG 118764,139.36,103.91,NA
IG 118765,136.15,102.44,NA
IG 118766,139.67,99.22,43.11
IG 118767,139.21,109.16,NA
IG 118768,143.03,96.55,40.41
IG 118769,135.32,92.15,NA
IG 118770,145.71,92.19,NA
IG 118771,152.96,92,NA
IG 118772,132.35,107.27,NA
IG 118773,NA,NA,NA
IG 118774,NA,NA,NA
IG 118775,NA,NA,NA
IG 118776,NA,107.45,37.65
IG 118777,NA,NA,NA
IG 118778,NA,NA,NA
IG 118779,NA,NA,NA
IG 118780,NA,NA,NA
IG 118781,NA,NA,NA
IG 118782,NA,NA,NA
IG 118783,143.02,113.66,NA
IG 118784,139.36,105.9,NA
IG 118785,NA,NA,NA
IG 118786,135.67,107.66,NA
IG 118787,NA,NA,NA
IG 118789,139.14,103.91,NA
IG 118790,147.3,95.84,40.46
IG 118791,154.39,82.05,NA
IG 118792,143.48,102.84,NA
IG 118793,NA,NA,NA
IG 118794,135.52,103.41,NA
IG 118795,147.54,93.5,26.66
IG 118796,139.29,97.4,NA
IG 118797,NA,NA,NA
IG 118798,NA,99.06,38.3
IG 118799,139.36,99.66,NA
IG 118800,139.47,107.42,NA
IG 118801,139.29,100.65,NA
IG 118802,139.09,109.91,NA
IG 118803,139.88,106.29,NA
IG 118804,143.67,96.24,34.75
IG 118805,139.64,106.39,35.42
IG 118806,143.76,97.65,38.03
IG 118807,NA,NA,NA
IG 118808,143.14,94.65,31.84
IG 118809,143.33,94.85,32.95
IG 118810,139.08,101.15,NA
IG 118811,NA,94.65,41.25
IG 118812,139.12,98.66,NA
IG 118813,NA,96.1,34.3
IG 118814,137.36,104.22,34.43
IG 118815,NA,NA,NA
IG 118816,NA,96.26,31.35
IG 118817,NA,98.75,35.76
IG 118818,135.42,103.91,NA
IG 118819,143.49,98.82,40.66
IG 118820,139.27,103.43,NA
IG 118821,NA,NA,NA
IG 118822,NA,NA,NA
IG 118823,NA,NA,NA
IG 118824,146.48,115.61,35.15
IG 118825,148.15,125.43,40.59
IG 118826,148.35,123.55,32.44
IG 118827,147.2,137.32,39.1
IG 118828,148.83,137.41,NA
IG 118829,NA,123.71,39.29
IG 118830,148.55,138.48,NA
IG 118831,144.71,135.19,NA
IG 118832,145.31,125.84,NA
IG 118833,NA,131.24,47.14
IG 118834,NA,NA,NA
IG 118835,135.7,107.66,NA
IG 118836,146.3,128.73,44.33
IG 118837,146.92,127.51,NA
IG 118838,146.29,87.44,NA
IG 118839,145.77,123.38,NA
IG 118840,NA,NA,NA
IG 118841,NA,NA,NA
IG 118842,145.69,98.28,41.29
IG 118843,145.49,114.11,NA
IG 118844,143.06,104.91,NA
IG 118845,143.21,99.16,NA
