accenumb,campaign,plant_height
LRC_SSD_IG_38519,1992-1993,158
LRC_SSD_IG_16925,1993-1994,154.3333
LRC_SSD_IG_16940,1993-1994,156.6667
LRC_SSD_IG_19706,1993-1994,160
LRC_SSD_IG_27184,1993-1994,139
LRC_SSD_IG_27246,1993-1994,160
LRC_SSD_IG_27252,1993-1994,141
LRC_SSD_IG_28575,1993-1994,137
LRC_SSD_IG_28675,1993-1994,137
LRC_SSD_IG_28734,1993-1994,133
LRC_SSD_IG_28763,1993-1994,139
LRC_SSD_IG_28811,1993-1994,137
LRC_SSD_IG_28815,1993-1994,151.6667
LRC_SSD_IG_28817,1993-1994,147.6667
LRC_SSD_IG_28860,1993-1994,153.6667
LRC_SSD_IG_31412,1993-1994,139
LRC_SSD_IG_31450,1993-1994,137
LRC_SSD_IG_31490,1993-1994,147
LRC_SSD_IG_31522,1993-1994,139
LRC_SSD_IG_31864,1993-1994,139
LRC_SSD_IG_31865,1993-1994,137
LRC_SSD_IG_31870,1993-1994,127
LRC_SSD_IG_31876,1993-1994,139
LRC_SSD_IG_31891,1993-1994,145
LRC_SSD_IG_31923,1993-1994,141
LRC_SSD_IG_31942,1993-1994,137
LRC_SSD_IG_31945,1993-1994,137
LRC_SSD_IG_31968,1993-1994,153
LRC_SSD_IG_31973,1993-1994,153
LRC_SSD_IG_31975,1993-1994,153
LRC_SSD_IG_31977,1993-1994,159
LRC_SSD_IG_31988,1993-1994,141
LRC_SSD_IG_31995,1993-1994,141
LRC_SSD_IG_32000,1993-1994,147
LRC_SSD_IG_32004,1993-1994,151
LRC_SSD_IG_32009,1993-1994,147
LRC_SSD_IG_32037,1993-1994,146
LRC_SSD_IG_32041,1993-1994,151
LRC_SSD_IG_32069,1993-1994,159
LRC_SSD_IG_32575,1993-1994,139
LRC_SSD_IG_32584,1993-1994,137
LRC_SSD_IG_32596,1993-1994,137
LRC_SSD_IG_32598,1993-1994,139
LRC_SSD_IG_32710,1993-1994,145
LRC_SSD_IG_32733,1993-1994,151
LRC_SSD_IG_32748,1993-1994,151
LRC_SSD_IG_32756,1993-1994,141
LRC_SSD_IG_32774,1993-1994,141
LRC_SSD_IG_32777,1993-1994,139
LRC_SSD_IG_32801,1993-1994,139
LRC_SSD_IG_32802,1993-1994,141
LRC_SSD_IG_32803,1993-1994,141
