accenumb,agent_id,doi,plant_height,days_to_heading,early_growth_tendency,thousand_kernel_weight,name,description,campaign
CGN00139,NA,10.18730/1318V,85,NA,7,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.",1985-1985
CGN00144,NA,10.18730/131D*,105,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.",1985-1985
CGN00145,NA,10.18730/131E~,105,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.",1985-1985
CGN00146,NA,10.18730/131F$,105,NA,6,48.6,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.",1985-1985
CGN00148,NA,10.18730/131HU,115,NA,4,40.7,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.",1985-1985
CGN00149,NA,10.18730/131J0,115,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.",1985-1985
CGN00150,NA,10.18730/131K1,105,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.",1985-1985
CGN00151,NA,10.18730/131M2,115,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.",1985-1985
CGN00152,NA,10.18730/131N3,95,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.",1985-1985
CGN00154,NA,10.18730/131Q5,110,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.",1985-1985
CGN00155,NA,10.18730/131R6,100,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.",1985-1985
CGN00156,NA,10.18730/131S7,90,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.",1985-1985
CGN00157,NA,10.18730/131T8,95,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.",1985-1985
CGN00158,NA,10.18730/131V9,100,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.",1985-1985
CGN00159,NA,10.18730/131WA,90,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.",1985-1985
CGN00161,NA,10.18730/131YC,105,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.",1985-1985
CGN00162,NA,10.18730/131ZD,110,156,5,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.",1985-1985
CGN00164,NA,10.18730/1321F,95,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.",1985-1985
CGN00165,NA,10.18730/1322G,110,NA,2,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.",1985-1985
CGN00166,NA,10.18730/1323H,105,NA,2,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.",1985-1985
CGN00167,NA,10.18730/1324J,110,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.",1985-1985
CGN00168,NA,10.18730/1325K,105,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.",1985-1985
CGN00169,NA,10.18730/1326M,100,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.",1985-1985
CGN00170,NA,10.18730/1327N,95,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.",1985-1985
CGN00171,NA,10.18730/1328P,115,NA,4,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.",1985-1985
CGN00172,NA,10.18730/1329Q,110,NA,5,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.",1985-1985
CGN00173,NA,10.18730/132AR,110,NA,5,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.",1985-1985
CGN00174,NA,10.18730/132BS,100,NA,4,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.",1985-1985
CGN00175,NA,10.18730/132CT,85,NA,4,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.",1985-1985
CGN00176,NA,10.18730/132DV,105,NA,2,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.",1985-1985
CGN00177,NA,10.18730/132EW,100,NA,2,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.",1985-1985
CGN00178,NA,10.18730/132FX,105,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.",1985-1985
CGN00179,NA,10.18730/132GY,110,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.",1985-1985
CGN00180,NA,10.18730/132HZ,115,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.",1985-1985
CGN00181,NA,10.18730/132J*,100,NA,7,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.",1985-1985
CGN00182,NA,10.18730/132K~,95,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.",1985-1985
CGN00183,NA,10.18730/132M$,90,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.",1985-1985
CGN00184,NA,10.18730/132N=,115,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.",1985-1985
CGN00185,NA,10.18730/132PU,80,NA,2,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.",1985-1985
CGN00186,NA,10.18730/132Q0,90,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.",1985-1985
CGN00188,NA,10.18730/132R1,100,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.",1985-1985
