accenumb,campaign,plant_height
CGN10395,1985-1985,80
CGN10396,1985-1985,65
CGN10397,1985-1985,120
CGN10399,1985-1985,100
CGN10400,1985-1985,80
CGN10401,1985-1985,70
CGN10402,1985-1985,70
CGN10405,1985-1985,65
CGN10406,1985-1985,70
CGN10495,1985-1985,85
CGN10496,1985-1985,80
CGN10497,1985-1985,85
CGN12037,1985-1985,70
CGN12042,1985-1985,70
CGN12263,1985-1985,70
CGN12264,1985-1985,65
CGN12265,1985-1985,70
CGN12266,1985-1985,75
CGN12267,1985-1985,90
CGN12290,1985-1985,115
CGN12292,1985-1985,60
CGN13143,1985-1985,75
CGN13144,1985-1985,80
CGN21103,1985-1985,95
CGN21104,1985-1985,65
CGN23086,1985-1985,65
CGN23460,1985-1985,65
CGN04314,1985-1986,150
CGN04332,1985-1986,130
CGN04403,1985-1986,120
CGN04420,1985-1986,120
CGN04421,1985-1986,130
CGN04428,1985-1986,110
CGN04448,1985-1986,110
CGN05360,1985-1986,120
CGN05397,1985-1986,155
CGN05398,1985-1986,155
CGN05403,1985-1986,155
CGN05406,1985-1986,165
CGN05407,1985-1986,140
CGN05408,1985-1986,135
CGN05409,1985-1986,150
CGN05412,1985-1986,105
CGN05416,1985-1986,95
CGN05418,1985-1986,125
CGN05429,1985-1986,110
CGN05435,1985-1986,120
CGN05446,1985-1986,125
CGN05450,1985-1986,110
CGN05451,1985-1986,120
CGN05453,1985-1986,165
CGN05454,1985-1986,175
CGN05455,1985-1986,170
CGN05467,1985-1986,125
CGN05477,1985-1986,170
CGN05478,1985-1986,105
CGN05507,1985-1986,155
CGN05526,1985-1986,175
CGN05537,1985-1986,160
CGN05542,1985-1986,160
CGN05544,1985-1986,140
CGN05549,1985-1986,160
CGN05566,1985-1986,110
CGN05574,1985-1986,130
CGN05594,1985-1986,150
CGN05599,1985-1986,145
CGN05616,1985-1986,120
CGN05618,1985-1986,155
CGN05620,1985-1986,135
CGN05621,1985-1986,145
CGN05622,1985-1986,125
CGN05630,1985-1986,155
CGN05635,1985-1986,170
CGN05639,1985-1986,115
CGN05644,1985-1986,140
CGN05650,1985-1986,165
CGN05652,1985-1986,120
CGN05654,1985-1986,165
CGN05656,1985-1986,175
CGN05666,1985-1986,105
CGN05672,1985-1986,150
CGN05684,1985-1986,140
CGN05685,1985-1986,120
CGN05689,1985-1986,120
CGN05697,1985-1986,130
CGN05698,1985-1986,100
CGN05707,1985-1986,150
CGN05724,1985-1986,130
CGN05728,1985-1986,115
CGN05730,1985-1986,120
CGN05731,1985-1986,110
CGN05752,1985-1986,145
