genotype,plant_height_BLUE
CGN01102,NA
CGN01105,NA
CGN01106,NA
CGN01109,92.07
CGN01111,NA
CGN01112,NA
CGN01114,80.93
CGN01119,NA
CGN01120,99.75
CGN01121,NA
CGN01127,NA
CGN01130,NA
CGN01131,NA
CGN01132,NA
CGN01133,NA
CGN01134,NA
CGN01136,NA
CGN01142,NA
CGN01143,NA
CGN01146,NA
CGN01147,88.25
CGN01148,NA
CGN01151,NA
CGN01152,NA
CGN01153,105.13
CGN01156,NA
CGN01157,86.85
CGN01163,88.76
CGN01164,NA
CGN01165,NA
CGN01173,97.9
CGN01175,NA
CGN01176,83.25
CGN01177,NA
CGN01178,NA
CGN01179,NA
CGN01183,74.8
CGN01184,NA
CGN01185,NA
CGN01186,72.69
CGN01187,NA
CGN01189,66.85
CGN01190,75.13
CGN01191,75.19
CGN01192,73.25
CGN01193,NA
CGN01194,NA
CGN01195,71.36
CGN01196,68.61
CGN01197,NA
CGN01198,NA
CGN01199,81.15
CGN01200,NA
CGN01201,NA
CGN01202,75.13
CGN01203,NA
CGN01205,NA
CGN01206,NA
CGN01207,59.8
CGN01208,NA
CGN01209,NA
CGN01211,64.8
CGN01212,68.25
CGN01214,NA
CGN01215,68.01
CGN01217,NA
CGN01218,NA
CGN01219,NA
CGN01220,NA
CGN01221,NA
CGN01222,NA
CGN01223,NA
CGN01224,NA
CGN01225,NA
CGN01226,NA
CGN01227,NA
CGN01228,NA
CGN01229,91.98
CGN01230,81.21
CGN01231,NA
CGN01232,NA
CGN01233,NA
CGN01234,NA
CGN01235,NA
CGN01236,NA
CGN01237,NA
CGN01238,NA
CGN01239,NA
CGN01240,NA
CGN01241,NA
CGN01242,NA
CGN01243,NA
CGN01244,NA
CGN01245,NA
CGN01246,NA
CGN01247,NA
CGN01248,NA
CGN01249,NA
CGN01250,NA
CGN01251,NA
CGN01252,NA
CGN01253,NA
CGN01254,NA
CGN01255,NA
CGN01256,99.4
CGN01257,NA
CGN01258,NA
CGN01259,NA
CGN01260,NA
CGN01261,NA
CGN01262,NA
CGN01263,NA
CGN01264,NA
CGN01265,NA
CGN01266,NA
CGN01267,NA
CGN01268,NA
CGN01269,NA
CGN01270,NA
CGN01271,83.9
CGN01272,NA
CGN01273,89.51
CGN01274,NA
CGN01275,NA
CGN01276,NA
CGN01277,NA
CGN01278,88.26
CGN01279,NA
CGN01280,NA
CGN01281,NA
CGN01282,NA
CGN01283,NA
CGN01284,NA
CGN01285,NA
CGN01286,87.48
CGN01287,96.6
CGN01288,91.98
CGN01289,NA
CGN01290,NA
CGN01291,NA
CGN01292,NA
CGN01293,87.62
CGN01294,NA
CGN01295,NA
CGN01296,NA
CGN01297,NA
CGN01298,49.63
CGN01299,NA
CGN01300,NA
CGN01301,96.34
CGN01302,NA
CGN01303,NA
CGN01304,NA
CGN01305,NA
CGN01306,NA
CGN01307,NA
CGN01308,NA
CGN01309,100.2
CGN01310,NA
CGN01311,NA
CGN01312,NA
CGN01313,NA
CGN01314,NA
CGN01315,NA
CGN01316,NA
CGN01317,93.38
CGN01318,NA
CGN01319,NA
CGN01320,NA
CGN01321,105.8
CGN01322,NA
CGN01323,NA
CGN01324,NA
CGN01325,NA
CGN01326,94.86
CGN01327,92.68
CGN01328,NA
CGN01329,NA
CGN01330,NA
