accession_match,responsibility,instcode,crop,genus,species,species_authority,accenumb,declatitude,declongitude
INIA_wheat/NC027524,INIA,ESP004,Wheat,Triticum,aestivum,(L.) Thell.,NC027524,NA,NA
INIA_wheat/NC028601,INIA,ESP004,Wheat,Triticum,aestivum,(L.) Thell.,NC028601,NA,NA
INIA_wheat/NC027508,INIA,ESP004,Wheat,Triticum,aestivum,(L.) Thell.,NC027508,NA,NA
INIA_wheat/NC027879,INIA,ESP004,Wheat,Triticum,aestivum,(L.) Thell.,NC027879,NA,NA
INIA_wheat/NC027884,INIA,ESP004,Wheat,Triticum,aestivum,(L.) Thell.,NC027884,NA,NA
INIA_wheat/NC029527,INIA,ESP004,Wheat,Triticum,aestivum,(L.) Thell.,NC029527,NA,NA
INIA_wheat/NC027959,INIA,ESP004,Wheat,Triticum,aestivum,(L.) Thell.,NC027959,NA,NA
INIA_wheat/NC027961,INIA,ESP004,Wheat,Triticum,aestivum,(L.) Thell.,NC027961,NA,NA
INIA_wheat/NC028570,INIA,ESP004,Wheat,Triticum,aestivum,(L.) Thell.,NC028570,NA,NA
INIA_wheat/NC028020,INIA,ESP004,Wheat,Triticum,aestivum,(L.) Thell.,NC028020,NA,NA
INIA_wheat/NC027538,INIA,ESP004,Wheat,Triticum,aestivum,(L.) Thell.,NC027538,NA,NA
INIA_wheat/NC088356,INIA,ESP004,Wheat,Triticum,aestivum,(L.) Thell.,NC088356,NA,NA
INIA_wheat/NC088310,INIA,ESP004,Wheat,Triticum,aestivum,(L.) Thell.,NC088310,NA,NA
INIA_wheat/NC027689,INIA,ESP004,Wheat,Triticum,aestivum,(L.) Thell.,NC027689,NA,NA
INIA_wheat/NC006516,INIA,ESP004,Wheat,Triticum,aestivum,(L.) Thell.,NC006516,NA,NA
ICARDA_wheat/IG 98852,ICARDA-Morocco,LBN002,Wheat,Triticum,NA,NA,IG 98852,NA,NA
ICARDA_wheat/IG 98929,ICARDA-Morocco,LBN002,Wheat,Triticum,NA,NA,IG 98929,NA,NA
ICARDA_wheat/IG 99007,ICARDA-Morocco,LBN002,Wheat,Triticum,NA,NA,IG 99007,NA,NA
ICARDA_wheat/IG 99019,ICARDA-Morocco,LBN002,Wheat,Triticum,NA,NA,IG 99019,NA,NA
ICARDA_wheat/IG 99053,ICARDA-Morocco,LBN002,Wheat,Triticum,NA,NA,IG 99053,NA,NA
ICARDA_wheat/IG 99105,ICARDA-Morocco,LBN002,Wheat,Triticum,NA,NA,IG 99105,NA,NA
ICARDA_wheat/IG 99108,ICARDA-Morocco,LBN002,Wheat,Triticum,NA,NA,IG 99108,NA,NA
