accenumb,campaign,days_to_heading
NC028560,2016-2017,167
NC028560,2016-2017,166
NC028560,2016-2017,168
NC028560,2016-2017,165
NC028637,2016-2017,176
NC028658,2016-2017,178
NC028663,2016-2017,164
NC028664,2016-2017,171
NC028667,2016-2017,184
NC029490,2016-2017,170
NC029534,2016-2017,176
NC035389,2016-2017,169
NC012636,2016-2017,173
NC022123,2016-2017,176
NC022225,2016-2017,171
NC027292,2016-2017,182
NC035762,2016-2017,165
NC040109,2016-2017,170
NC047317,2016-2017,172
NC050493,2016-2017,173
NC052490,2016-2017,159
NC056493,2016-2017,177
NC058625,2016-2017,175
NC058632,2016-2017,173
NC068345,2016-2017,172
NC068351,2016-2017,166
NC001206,2016-2017,188
NC052583,2016-2017,165
NC053000,2016-2017,167
NC069066,2016-2017,165
NC069068,2016-2017,164
NC019844,2016-2017,180
NC024268,2016-2017,182
NC026187,2016-2017,165
NC029444,2016-2017,176
NC074341,2016-2017,182
NC024036,2016-2017,172
NC027562,2016-2017,169
NC027602,2016-2017,181
NC027664,2016-2017,176
NC027665,2016-2017,170
NC027691,2016-2017,173
NC027778,2016-2017,172
NC027840,2016-2017,174
NC027855,2016-2017,180
NC027888,2016-2017,180
NC027973,2016-2017,168
NC028392,2016-2017,170
NC035377,2016-2017,179
NC006498,2016-2017,164
NC006575,2016-2017,180
NC008793,2016-2017,170
NC008858,2016-2017,171
NC010034,2016-2017,174
NC012098,2016-2017,167
NC024255,2016-2017,179
NC024705,2016-2017,183
NC024723,2016-2017,165
NC024741,2016-2017,183
NC024781,2016-2017,173
NC027621,2016-2017,174
NC027813,2016-2017,173
NC027844,2016-2017,179
NC027845,2016-2017,178
NC027897,2016-2017,170
NC027898,2016-2017,170
NC027906,2016-2017,182
NC027975,2016-2017,177
NC027978,2016-2017,171
NC027987,2016-2017,183
NC028518,2016-2017,155
NC028529,2016-2017,168
NC028582,2016-2017,168
NC028647,2016-2017,174
NC028670,2016-2017,175
NC028672,2016-2017,174
NC028673,2016-2017,150
NC029473,2016-2017,165
NC029489,2016-2017,166
NC029495,2016-2017,168
NC029503,2016-2017,175
NC029522,2016-2017,172
NC035396,2016-2017,173
NC035414,2016-2017,166
NC038574,2016-2017,165
NC050466,2016-2017,171
NC052997,2016-2017,176
NC052998,2016-2017,173
NC035380,2016-2017,171
NC024716,2016-2017,167
NC027971,2016-2017,176
NC035379,2016-2017,168
NC003561,2018-2019,166
NC028560,2018-2019,179
NC035554,2018-2019,180
NC006510,2018-2019,169
NC018874,2018-2019,178
