accenumb,campaign,plant_height
NC050294,2014-2015,114
NC088356,2014-2015,86.4
NC091672,2014-2015,107
NC098983,2014-2015,113
NC101739,2014-2015,117.2
NC101749,2014-2015,113
NC101776,2014-2015,112
NC101790,2014-2015,111
NC101794,2014-2015,117
NC102727,2014-2015,108.8
NC003561,2015-2016,97
NC028560,2015-2016,119
NC040596,2015-2016,135
NC091672,2015-2016,129
NC098983,2015-2016,125
NC101739,2015-2016,143
NC101749,2015-2016,140
NC101776,2015-2016,139
NC101790,2015-2016,139
NC101794,2015-2016,142
NC102727,2015-2016,128
NC001206,2016-2017,66
NC003561,2016-2017,60
NC003561,2016-2017,67
NC003561,2016-2017,76
NC003561,2016-2017,84
NC003561,2016-2017,80
NC003561,2016-2017,77
NC003561,2016-2017,73
NC003561,2016-2017,69
NC003561,2016-2017,59
NC003561,2016-2017,61
NC006498,2016-2017,105
NC006565,2016-2017,82
NC006575,2016-2017,81
NC006586,2016-2017,83
NC008793,2016-2017,90
NC008858,2016-2017,88
NC010034,2016-2017,71
NC012098,2016-2017,102
NC012636,2016-2017,96
NC019844,2016-2017,78
NC020603,2016-2017,81
NC020605,2016-2017,85
NC020638,2016-2017,84
NC022123,2016-2017,86
NC022225,2016-2017,96
NC024036,2016-2017,89
NC024102,2016-2017,94
NC024255,2016-2017,66
NC024268,2016-2017,70
NC024286,2016-2017,73
NC024705,2016-2017,80
NC024716,2016-2017,99
NC024723,2016-2017,101
NC024741,2016-2017,81
NC024774,2016-2017,77
NC024781,2016-2017,88
NC026187,2016-2017,82
NC026258,2016-2017,79
NC027266,2016-2017,97
NC027292,2016-2017,76
NC027560,2016-2017,107
NC027562,2016-2017,101
NC027602,2016-2017,77
NC027604,2016-2017,97
NC027605,2016-2017,103
NC027619,2016-2017,114
NC027620,2016-2017,106
NC027621,2016-2017,103
NC027663,2016-2017,97
NC027664,2016-2017,100
NC027665,2016-2017,103
NC027691,2016-2017,100
NC027762,2016-2017,77
NC027778,2016-2017,101
NC027788,2016-2017,108
NC027811,2016-2017,86
NC027813,2016-2017,91
NC027822,2016-2017,89
NC027840,2016-2017,79
NC027844,2016-2017,82
NC027845,2016-2017,86
NC027855,2016-2017,77
NC027888,2016-2017,83
NC027897,2016-2017,86
NC027898,2016-2017,101
NC027906,2016-2017,93
NC027971,2016-2017,93
NC027973,2016-2017,96
NC027975,2016-2017,87
NC027978,2016-2017,112
NC027982,2016-2017,94
NC027987,2016-2017,112
NC028015,2016-2017,89
NC028016,2016-2017,93
NC028069,2016-2017,97
NC028355,2016-2017,97
NC028378,2016-2017,119
NC028380,2016-2017,97
NC028392,2016-2017,115
NC028518,2016-2017,106
NC028529,2016-2017,115
NC028560,2016-2017,85
NC028560,2016-2017,74
NC028560,2016-2017,102
NC028560,2016-2017,99
NC028560,2016-2017,104
NC028560,2016-2017,110
NC028560,2016-2017,72
NC028560,2016-2017,84
NC028560,2016-2017,86
NC028560,2016-2017,89
NC028582,2016-2017,105
NC028637,2016-2017,108
NC028647,2016-2017,79
NC028658,2016-2017,93
NC028663,2016-2017,94
NC028664,2016-2017,90
NC028667,2016-2017,82
NC028670,2016-2017,99
NC028672,2016-2017,94
NC028673,2016-2017,95
NC029444,2016-2017,87
NC029473,2016-2017,68
NC029489,2016-2017,81
NC029490,2016-2017,83
NC029495,2016-2017,88
NC029503,2016-2017,87
NC029522,2016-2017,97
NC029534,2016-2017,83
NC035377,2016-2017,73
NC035379,2016-2017,82
NC035380,2016-2017,77
NC035389,2016-2017,84
NC035396,2016-2017,80
NC035414,2016-2017,87
NC035762,2016-2017,86
NC038574,2016-2017,85
NC040109,2016-2017,86
NC047313,2016-2017,72
NC047317,2016-2017,68
NC047354,2016-2017,81
NC050466,2016-2017,83
NC050493,2016-2017,80
NC050494,2016-2017,69
NC052490,2016-2017,61
NC052583,2016-2017,53
NC052997,2016-2017,94
NC052998,2016-2017,95
NC052999,2016-2017,87
NC053000,2016-2017,60
NC056493,2016-2017,68
NC058625,2016-2017,61
NC058632,2016-2017,76
NC068345,2016-2017,77
NC068351,2016-2017,68
NC069066,2016-2017,78
NC069068,2016-2017,76
NC074341,2016-2017,75
NC003561,2018-2019,72
NC006510,2018-2019,107.8
NC018874,2018-2019,116
NC028560,2018-2019,127
NC035554,2018-2019,117
