accenumb,campaign,thousand_kernel_weight
NC028054,2012-2013,31.14418608
NC028057,2012-2013,31.36046515
NC028058,2012-2013,32.982558175
NC028059,2012-2013,30.2790698
NC028061,2012-2013,41.201162835
NC028560,2012-2013,47.04
NC003561,2013-2014,24.44
NC003578,2013-2014,27.03488375
NC027548,2013-2014,25.9534884
NC035379,2013-2014,30.819767475
NC040593,2013-2014,23.7906977
NC086549,2013-2014,25.73720933
NC086550,2013-2014,29.19767445
NC086551,2013-2014,28.224418635
NC088356,2013-2014,27.03488375
NC092128,2013-2014,25.412790725
NC101749,2013-2014,28.656976744186
NC101794,2013-2014,29.3058139534884
NC102727,2013-2014,21.8441860465116
NC003561,2014-2015,29.52
NC003578,2014-2015,27.90000003
NC011926,2014-2015,33.09069771
NC012100,2014-2015,36.98372097
NC018874,2014-2015,37.308139575
NC024060,2014-2015,33.09069771
NC027229,2014-2015,30.387209335
NC027548,2014-2015,28.656976775
NC028560,2014-2015,34.17
NC035554,2014-2015,30.06279073
NC040593,2014-2015,33.30697678
NC040596,2014-2015,30.2790698
NC050294,2014-2015,40.552325625
NC088356,2014-2015,33.52325585
NC091672,2014-2015,34.496511665
NC101739,2014-2015,30.92790701
NC101749,2014-2015,32.550000035
NC101776,2014-2015,31.684883755
NC101790,2014-2015,34.6046512
NC101794,2014-2015,33.631395385
NC102727,2014-2015,21.627907
NC003561,2015-2016,28.33
NC028560,2015-2016,44.23
NC040596,2015-2016,34.82093027
NC091672,2015-2016,31.14418608
NC101739,2015-2016,39.038372135
NC101749,2015-2016,43.68837214
NC101776,2015-2016,42.60697679
NC101790,2015-2016,42.931395395
NC101794,2015-2016,40.984883765
NC102727,2015-2016,28.1162791
NC001206,2016-2017,23.8015116535
NC006565,2016-2017,28.2784884025
NC006575,2016-2017,26.537441889
NC006586,2016-2017,25.30465119
NC008793,2016-2017,34.020697711
NC008858,2016-2017,16.199302343
NC010034,2016-2017,22.9796511875
NC012098,2016-2017,32.982558175
NC012636,2016-2017,32.355348872
NC019844,2016-2017,25.780465144
NC020603,2016-2017,26.8510465405
NC020605,2016-2017,31.3929070105
NC020638,2016-2017,31.273953522
NC022123,2016-2017,27.2187209595
NC022225,2016-2017,30.8522093355
NC024036,2016-2017,28.505581426
NC024255,2016-2017,25.6398837485
NC024268,2016-2017,26.9808139825
NC024286,2016-2017,20.935813976
NC024705,2016-2017,30.0736046835
NC024716,2016-2017,28.440697705
NC024723,2016-2017,34.1396511995
NC024741,2016-2017,27.4566279365
NC024781,2016-2017,28.419069798
NC026187,2016-2017,33.263720966
NC026258,2016-2017,29.781627939
NC027266,2016-2017,32.4418605
NC027292,2016-2017,30.819767475
NC027560,2016-2017,35.03720934
NC027562,2016-2017,23.336511653
NC027602,2016-2017,26.6780232845
NC027604,2016-2017,39.3303488795
NC027605,2016-2017,28.289302356
NC027619,2016-2017,32.2363953835
NC027620,2016-2017,34.647907014
NC027621,2016-2017,23.747441886
NC027663,2016-2017,24.9045349105
NC027664,2016-2017,30.1384884045
NC027665,2016-2017,31.8687209645
NC027691,2016-2017,42.325813999
NC027762,2016-2017,31.295581429
NC027778,2016-2017,27.7377907275
NC027788,2016-2017,27.856744216
NC027811,2016-2017,25.8345349115
NC027813,2016-2017,29.976279102
NC027822,2016-2017,29.911395381
NC027840,2016-2017,32.528372128
NC027844,2016-2017,27.9540697975
NC027845,2016-2017,27.3484884015
NC027855,2016-2017,31.749767476
NC027888,2016-2017,26.667209331
NC027897,2016-2017,26.2454651445
NC027898,2016-2017,32.550000035
NC027906,2016-2017,29.911395381
NC027971,2016-2017,29.9870930555
NC027973,2016-2017,23.1526744435
NC027975,2016-2017,32.290465151
NC027978,2016-2017,28.246046542
NC027982,2016-2017,30.733255847
NC027987,2016-2017,30.949534917
NC028015,2016-2017,32.6905814305
NC028016,2016-2017,35.859069806
NC028069,2016-2017,25.326279097
NC028355,2016-2017,24.6450000265
NC028378,2016-2017,29.7491860785
NC028380,2016-2017,24.00697677
NC028392,2016-2017,27.7810465415
NC028518,2016-2017,37.459534924
NC028582,2016-2017,24.244883747
NC028637,2016-2017,28.6461628215
NC028647,2016-2017,28.5163953795
NC028658,2016-2017,27.921627937
NC028663,2016-2017,31.230697708
NC028664,2016-2017,27.46744189
NC028667,2016-2017,26.8726744475
NC028670,2016-2017,30.5710465445
NC028672,2016-2017,29.284186078
NC028673,2016-2017,26.299534912
NC029444,2016-2017,28.2784884025
NC029473,2016-2017,37.41627911
NC029489,2016-2017,33.436744222
NC029490,2016-2017,25.6182558415
NC029495,2016-2017,34.82093027
NC029503,2016-2017,24.720697701
NC029522,2016-2017,27.618837239
NC029534,2016-2017,26.7861628195
NC035377,2016-2017,31.209069801
NC035379,2016-2017,29.370697706
NC035380,2016-2017,28.592093054
NC035389,2016-2017,22.7201163035
NC035396,2016-2017,31.057674452
NC035414,2016-2017,27.7810465415
NC035762,2016-2017,24.5584883985
NC038574,2016-2017,33.890930269
NC040109,2016-2017,20.1247674635
NC047313,2016-2017,19.8436046725
NC047317,2016-2017,16.848139553
NC047354,2016-2017,26.81860468
NC050466,2016-2017,20.1896511845
NC050493,2016-2017,24.526046538
NC050494,2016-2017,27.856744216
NC052490,2016-2017,23.877209328
NC052583,2016-2017,24.7531395615
NC052997,2016-2017,30.0952325905
NC052998,2016-2017,27.2187209595
NC052999,2016-2017,25.4884883995
NC053000,2016-2017,26.2454651445
NC056493,2016-2017,29.0138372405
NC058625,2016-2017,27.7810465415
NC058632,2016-2017,23.2175581645
NC068345,2016-2017,24.309767468
NC068351,2016-2017,23.1959302575
NC069066,2016-2017,32.1715116625
NC069068,2016-2017,33.8584884085
NC074341,2016-2017,27.68372096
NC003561,2018-2019,38.5
NC006510,2018-2019,26.81860468
NC018874,2018-2019,41.0930233
NC028560,2018-2019,43.37
NC035554,2018-2019,32.65813957
