accenumb,campaign,plant_height,days_to_heading,thousand_kernel_weight
NC018901,2016-2017,74,161,26.0508139815
NC018905,2016-2017,71,160,34.8533721305
NC018907,2016-2017,101,164,30.430465149
NC018916,2016-2017,91,170,31.598372127
NC018917,2016-2017,108,157,35.923953527
NC018920,2016-2017,80,157,34.907441898
NC018925,2016-2017,98,163,25.802093051
NC019844,2016-2017,78,180,25.780465144
NC020603,2016-2017,81,182,26.8510465405
NC020605,2016-2017,85,179,31.3929070105
NC020638,2016-2017,84,177,31.273953522
NC022123,2016-2017,86,176,27.2187209595
NC022225,2016-2017,96,171,30.8522093355
NC024036,2016-2017,89,172,28.505581426
NC024102,2016-2017,94,166,34.1396511995
NC024255,2016-2017,66,179,25.6398837485
NC024268,2016-2017,70,182,26.9808139825
NC024286,2016-2017,73,173,20.935813976
NC024705,2016-2017,80,183,30.0736046835
NC024714,2016-2017,105,164,24.417907003
NC024716,2016-2017,99,167,28.440697705
NC024718,2016-2017,83,171,21.4656976975
NC024720,2016-2017,80,187,25.888604679
NC024723,2016-2017,101,165,34.1396511995
NC024726,2016-2017,98,169,30.06279073
NC024729,2016-2017,79,182,17.0752325765
NC024733,2016-2017,83,174,24.7747674685
NC024735,2016-2017,98,166,29.976279102
NC024738,2016-2017,88,169,28.202790728
NC024741,2016-2017,81,183,27.4566279365
NC024746,2016-2017,92,171,28.916511659
NC024754,2016-2017,93,172,29.4031395665
NC024756,2016-2017,90,172,27.597209332
NC024765,2016-2017,93,173,28.0405814255
NC024766,2016-2017,83,165,30.9603488705
NC024774,2016-2017,77,177,25.30465119
NC024781,2016-2017,88,173,28.419069798
NC026187,2016-2017,82,165,33.263720966
NC026258,2016-2017,79,169,29.781627939
NC026266,2016-2017,81,165,29.4680232875
NC027266,2016-2017,97,180,32.4418605
NC027292,2016-2017,76,182,30.819767475
NC027560,2016-2017,107,164,35.03720934
NC027562,2016-2017,101,169,23.336511653
NC027599,2016-2017,84,169,27.8459302625
NC027602,2016-2017,77,181,26.6780232845
NC027604,2016-2017,97,160,39.3303488795
NC027605,2016-2017,103,165,28.289302356
NC027612,2016-2017,95,165,34.5289535255
NC027615,2016-2017,94,164,34.1829070135
NC027619,2016-2017,114,173,32.2363953835
NC027620,2016-2017,106,171,34.647907014
NC027621,2016-2017,103,174,23.747441886
NC027663,2016-2017,97,174,24.9045349105
NC027664,2016-2017,100,176,30.1384884045
NC027665,2016-2017,103,170,31.8687209645
NC027673,2016-2017,84,176,28.1162791
NC027683,2016-2017,82,164,28.98139538
NC027691,2016-2017,100,173,42.325813999
NC027762,2016-2017,77,158,31.295581429
NC027772,2016-2017,94,183,25.174883748
NC027778,2016-2017,101,172,27.7377907275
NC027788,2016-2017,108,173,27.856744216
NC027811,2016-2017,86,173,25.8345349115
NC027813,2016-2017,91,173,29.976279102
NC027822,2016-2017,89,177,29.911395381
NC027824,2016-2017,73,180,28.505581426
NC027840,2016-2017,79,174,32.528372128
NC027844,2016-2017,82,179,27.9540697975
NC027845,2016-2017,86,178,27.3484884015
NC027855,2016-2017,77,180,31.749767476
NC027888,2016-2017,83,180,26.667209331
NC027897,2016-2017,86,170,26.2454651445
NC027898,2016-2017,101,170,32.550000035
NC027901,2016-2017,95,173,26.0508139815
NC027906,2016-2017,93,182,29.911395381
NC027909,2016-2017,106,160,33.242093059
NC027962,2016-2017,94,165,36.010465155
NC027968,2016-2017,98,177,30.7656977075
NC027969,2016-2017,95,172,27.0240697965
NC027971,2016-2017,93,176,29.9870930555
NC027973,2016-2017,96,168,23.1526744435
NC027975,2016-2017,87,177,32.290465151
NC027978,2016-2017,112,171,28.246046542
NC027982,2016-2017,94,180,30.733255847
NC027985,2016-2017,100,180,30.2898837535
NC027987,2016-2017,112,183,30.949534917
NC027990,2016-2017,99,165,35.2426744565
NC028015,2016-2017,89,170,32.6905814305
NC028016,2016-2017,93,155,35.859069806
NC028069,2016-2017,97,164,25.326279097
NC028355,2016-2017,97,178,24.6450000265
NC028378,2016-2017,119,163,29.7491860785
NC028380,2016-2017,97,171,24.00697677
NC028392,2016-2017,115,170,27.7810465415
NC028518,2016-2017,106,155,37.459534924
NC028529,2016-2017,115,168,NA
NC028560,2016-2017,NA,NA,44.23
NC028560,2016-2017,85,169,NA
NC028560,2016-2017,74,167,NA
NC028560,2016-2017,102,167,NA
NC028560,2016-2017,102,169,NA
NC028560,2016-2017,99,169,NA
NC028560,2016-2017,104,166,NA
NC028560,2016-2017,110,168,NA
NC028560,2016-2017,72,165,NA
NC028560,2016-2017,84,169,NA
NC028560,2016-2017,86,168,NA
NC028560,2016-2017,89,167,NA
NC028582,2016-2017,105,168,24.244883747
NC028637,2016-2017,108,176,28.6461628215
NC028644,2016-2017,91,183,28.4515116585
NC028647,2016-2017,79,174,28.5163953795
NC028658,2016-2017,93,178,27.921627937
NC028663,2016-2017,94,164,31.230697708
NC028664,2016-2017,90,171,27.46744189
NC028666,2016-2017,87,182,25.8777907255
NC028667,2016-2017,82,184,26.8726744475
NC028670,2016-2017,99,175,30.5710465445
NC028671,2016-2017,94,179,28.916511659
NC028672,2016-2017,94,174,29.284186078
NC028673,2016-2017,95,150,26.299534912
NC029444,2016-2017,87,176,28.2784884025
NC029453,2016-2017,112,164,37.091860505
NC029465,2016-2017,98,172,27.90000003
NC029468,2016-2017,85,167,28.527209333
NC029471,2016-2017,72,169,23.7798837465
NC029472,2016-2017,81,166,21.692790721
NC029473,2016-2017,68,165,37.41627911
NC029489,2016-2017,81,166,33.436744222
NC029490,2016-2017,83,170,25.6182558415
NC029495,2016-2017,88,168,34.82093027
NC029498,2016-2017,95,166,26.688837238
NC029499,2016-2017,95,170,23.596046537
NC029503,2016-2017,87,175,24.720697701
NC029508,2016-2017,93,169,26.7861628195
NC029517,2016-2017,90,170,33.717907013
NC029518,2016-2017,93,171,36.8431395745
NC029519,2016-2017,96,171,31.4361628245
NC029522,2016-2017,97,172,27.618837239
NC029527,2016-2017,76,161,25.542558167
NC029531,2016-2017,79,169,31.5875581735
NC029534,2016-2017,83,176,26.7861628195
NC035377,2016-2017,73,179,31.209069801
NC035379,2016-2017,82,168,29.370697706
NC035380,2016-2017,77,171,28.592093054
NC035389,2016-2017,84,169,22.7201163035
NC035392,2016-2017,82,181,23.3256976995
NC035396,2016-2017,80,173,31.057674452
NC035399,2016-2017,91,154,30.300697707
NC035403,2016-2017,79,177,30.5710465445
NC035414,2016-2017,87,166,27.7810465415
NC035420,2016-2017,82,180,24.6450000265
NC035559,2016-2017,85,173,20.8384883945
NC035762,2016-2017,86,165,24.5584883985
NC038574,2016-2017,85,165,33.890930269
NC040109,2016-2017,86,170,20.1247674635
NC040601,2016-2017,78,172,28.527209333
NC047313,2016-2017,72,168,19.8436046725
NC047317,2016-2017,68,172,16.848139553
NC047354,2016-2017,81,165,26.81860468
NC050466,2016-2017,83,171,20.1896511845
NC050493,2016-2017,80,173,24.526046538
NC050494,2016-2017,69,188,27.856744216
NC050495,2016-2017,72,166,25.7047674695
NC050503,2016-2017,82,166,23.5636046765
NC052490,2016-2017,61,159,23.877209328
NC052583,2016-2017,53,165,24.7531395615
NC052997,2016-2017,94,176,30.0952325905
NC052998,2016-2017,95,173,27.2187209595
NC052999,2016-2017,87,183,25.4884883995
NC053000,2016-2017,60,167,26.2454651445
NC056493,2016-2017,68,177,29.0138372405
NC058625,2016-2017,61,175,27.7810465415
NC058632,2016-2017,76,173,23.2175581645
NC068345,2016-2017,77,172,24.309767468
NC068351,2016-2017,68,166,23.1959302575
NC069066,2016-2017,78,165,32.1715116625
NC069068,2016-2017,76,164,33.8584884085
NC074341,2016-2017,75,182,27.68372096
NC078832,2016-2017,94,160,31.209069801
NC003561,2018-2019,72,166,38.5
NC004614,2018-2019,145,182,28.656976775
NC004615,2018-2019,122.8,178,31.14418608
NC004618,2018-2019,124.4,174,33.631395385
NC004619,2018-2019,132.8,177,34.496511665
NC006510,2018-2019,107.8,169,26.81860468
NC015569,2018-2019,106,167,46.06744191
NC018648,2018-2019,100,177,32.65813957
NC018874,2018-2019,116,178,41.0930233
NC027506,2018-2019,120.2,168,42.82325586
NC027514,2018-2019,129,178,35.03720934
NC027517,2018-2019,107.2,192,27.46744189
NC027519,2018-2019,95.2,190,33.09069771
NC027522,2018-2019,96.6,193,22.06046514
NC027523,2018-2019,90,159,35.68604655
NC027524,2018-2019,112.2,178,25.52093026
NC027527,2018-2019,121.8,187,31.252325615
NC027530,2018-2019,128,175,27.143023285
NC027531,2018-2019,120.2,172,26.60232561
NC027532,2018-2019,99.6,178,31.684883755
NC027533,2018-2019,128.4,184,35.46976748
NC027534,2018-2019,93.8,197,23.7906977
NC027535,2018-2019,89.6,178,39.470930275
NC027536,2018-2019,86.2,175,37.956976785
NC027537,2018-2019,79.2,191,30.2790698
NC027538,2018-2019,98,179,32.00930236
NC027539,2018-2019,81.6,196,27.25116282
NC027549,2018-2019,106.2,169,39.79534888
NC027574,2018-2019,78.8,174,34.496511665
NC027581,2018-2019,90,167,46.28372098
NC027586,2018-2019,106.6,159,43.90465121
NC027587,2018-2019,97.6,165,39.79534888
NC027593,2018-2019,115.6,156,45.63488377
NC027596,2018-2019,105.8,165,46.93255819
NC027630,2018-2019,95,179,36.659302365
NC027640,2018-2019,115.2,179,31.14418608
NC027643,2018-2019,129,180,31.252325615
NC027658,2018-2019,112.4,178,28.440697705
NC027669,2018-2019,78.2,171,31.684883755
NC027695,2018-2019,95.8,158,34.712790735
NC027696,2018-2019,92.6,158,29.738372125
NC027698,2018-2019,108.6,184,31.57674422
NC027706,2018-2019,120,185,61.63953495
NC027849,2018-2019,87.6,167,34.496511665
NC027879,2018-2019,99,172,41.633720975
NC027882,2018-2019,94,170,34.17209306
NC027883,2018-2019,98.2,177,28.98139538
NC027884,2018-2019,95.6,164,41.633720975
NC027910,2018-2019,89.8,160,42.39069772
NC027913,2018-2019,97.4,176,27.90000003
NC027914,2018-2019,102,158,38.49767446
NC027916,2018-2019,95.2,165,40.552325625
NC027917,2018-2019,93.4,163,40.22790702
NC027918,2018-2019,97.8,165,41.95813958
NC027919,2018-2019,88.2,151,42.82325586
NC027923,2018-2019,102.8,186,31.36046515
NC027929,2018-2019,70,154,49.31162796
NC027931,2018-2019,112,174,32.87441864
NC027933,2018-2019,79.8,156,43.68837214
NC027936,2018-2019,93.6,159,39.254651205
NC027937,2018-2019,95.4,165,40.552325625
NC027938,2018-2019,93.8,153,41.30930237
NC027940,2018-2019,99.4,166,46.71627912
NC027942,2018-2019,89.2,157,47.040697725
NC027943,2018-2019,84.4,157,41.201162835
NC027952,2018-2019,106.8,155,44.12093028
NC027953,2018-2019,73.4,154,44.98604656
NC027957,2018-2019,84.2,164,40.87674423
NC027966,2018-2019,108.4,186,24.22325584
NC027967,2018-2019,106.4,180,30.71162794
NC027977,2018-2019,115.2,185,39.36279074
NC027996,2018-2019,91.6,165,44.661627955
NC028001,2018-2019,126.8,184,33.30697678
NC028004,2018-2019,101.6,179,33.30697678
NC028008,2018-2019,103.6,169,35.90232562
NC028009,2018-2019,116.2,184,30.06279073
NC028014,2018-2019,76.8,169,32.333720965
NC028019,2018-2019,130.6,169,44.012790745
NC028020,2018-2019,133,186,28.224418635
NC028022,2018-2019,134.8,177,44.12093028
NC028023,2018-2019,104,186,32.65813957
NC028024,2018-2019,119.4,181,34.17209306
NC028029,2018-2019,107.2,186,31.57674422
NC028030,2018-2019,111.2,184,37.956976785
NC028031,2018-2019,107.2,184,29.41395352
NC028033,2018-2019,100.6,178,33.52325585
NC028034,2018-2019,115.6,183,31.36046515
NC028036,2018-2019,99.6,177,26.38604654
NC028038,2018-2019,115.6,178,38.71395353
NC028041,2018-2019,100.2,180,35.90232562
NC028044,2018-2019,97,164,30.92790701
NC028046,2018-2019,107.4,182,32.982558175
NC028049,2018-2019,123.8,183,35.145348875
NC028050,2018-2019,111,189,27.359302355
NC028051,2018-2019,121.4,172,25.08837212
NC028560,2018-2019,127,179,43.37
NC029521,2018-2019,104.6,190,44.229069815
NC029524,2018-2019,108.8,180,34.712790735
NC035554,2018-2019,117,180,32.65813957
NC038575,2018-2019,122.6,189,42.066279115
