accenumb,campaign,plant_height,days_to_heading,thousand_kernel_weight
NC052490,1999-2000,106,168,23.877209328
NC052583,1999-2000,98,176,28.33255817
NC053000,1999-2000,97,176,31.036046545
NC069066,1999-2000,127,178,36.7674419
NC069068,1999-2000,134,176,35.361627945
NC069382,1999-2000,130,181,37.740697715
NC069463,1999-2000,137,182,34.712790735
NC019844,2000-2001,140,187,NA
NC024268,2000-2001,150,185,33.09069771
NC024779,2000-2001,129,184,34.280232595
NC026187,2000-2001,95,169,32.4418605
NC028560,2000-2001,137,178,NA
NC028560,2000-2001,132,177,NA
NC029444,2000-2001,124,180,39.254651205
NC029445,2000-2001,122,180,39.14651167
NC029446,2000-2001,113,184,33.631395385
NC029447,2000-2001,124,178,34.6046512
NC071826,2000-2001,134,187,28.224418635
NC071921,2000-2001,155,182,33.73953492
NC071934,2000-2001,161,192,33.631395385
NC072464,2000-2001,121,192,NA
NC074341,2000-2001,136,185,37.84883725
NC074342,2000-2001,123,192,38.173255855
NC012617,2001-2002,104,196,29.305813985
NC008775,2002-2003,136,195,36.11860469
NC027902,2002-2003,130,198,32.87441864
NC027921,2002-2003,130,176,45.20232563
NC038576,2002-2003,115,210,NA
NC040567,2002-2003,142,183,38.06511632
NC069066,2002-2003,127,189,34.6046512
NC072464,2002-2003,136,167,30.06279073
NC072512,2002-2003,109,177,30.819767475
NC073254,2002-2003,125,178,24.65581398
NC073256,2002-2003,134,177,32.00930236
NC001202,2003-2004,145,190,30.71162794
NC003561,2003-2004,113,177,NA
NC003561,2003-2004,116,177,NA
NC003562,2003-2004,136,200,30.819767475
NC006502,2003-2004,144,196,40.22790702
NC011116,2003-2004,141,196,32.4418605
NC018904,2003-2004,126,196,39.14651167
NC024036,2003-2004,154,190,38.605813995
NC024719,2003-2004,140,185,29.63023259
NC024737,2003-2004,129,190,32.550000035
NC024764,2003-2004,131,175,32.982558175
NC027501,2003-2004,148,200,36.11860469
NC027557,2003-2004,131,179,41.95813958
NC027562,2003-2004,150,196,33.198837245
NC027602,2003-2004,141,199,38.173255855
NC027613,2003-2004,159,200,34.496511665
NC027622,2003-2004,135,185,36.8755813953488
NC027664,2003-2004,137,198,45.094186095
NC027665,2003-2004,168,196,36.226744225
NC027679,2003-2004,137,200,40.01162795
NC027691,2003-2004,146,196,39.36279074
NC027699,2003-2004,153,200,28.873255845
NC027773,2003-2004,143,198,34.38837213
NC027775,2003-2004,145,198,34.17209306
NC027778,2003-2004,149,196,34.82093027
NC027786,2003-2004,132,201,36.11860469
NC027831,2003-2004,135,200,36.7674419
NC027838,2003-2004,139,198,33.30697678
NC027839,2003-2004,142,198,38.9302326
NC027840,2003-2004,136,200,36.11860469
NC027846,2003-2004,132,198,35.145348875
NC027852,2003-2004,137,199,35.03720934
NC027854,2003-2004,139,200,34.929069805
NC027855,2003-2004,144,198,36.11860469
NC027860,2003-2004,128,197,38.9302326
NC027861,2003-2004,133,199,35.03720934
NC027865,2003-2004,149,200,31.14418608
NC027888,2003-2004,144,198,27.90000003
NC027896,2003-2004,133,196,37.84883725
NC027899,2003-2004,137,190,32.87441864
NC027903,2003-2004,154,198,36.98372097
NC027972,2003-2004,133,199,42.17441865
NC027973,2003-2004,124,196,31.036046545
NC027979,2003-2004,133,196,36.98372097
NC028359,2003-2004,135,198,30.06279073
NC028392,2003-2004,146,196,35.03720934
NC028525,2003-2004,148,196,33.52325585
NC028560,2003-2004,NA,NA,34.17
NC028560,2003-2004,130,196,NA
NC028560,2003-2004,137,190,NA
NC028665,2003-2004,136,201,32.00930236
NC029452,2003-2004,133,198,38.06511632
NC029475,2003-2004,135,190,33.198837245
NC029482,2003-2004,145,196,30.387209335
NC029501,2003-2004,149,196,32.65813957
NC029504,2003-2004,126,200,34.38837213
NC035377,2003-2004,130,200,33.09069771
NC035395,2003-2004,141,199,32.4418605
NC035416,2003-2004,132,200,38.28139539
NC035423,2003-2004,142,198,32.117441895
NC038576,2003-2004,137,199,37.41627911
NC040603,2003-2004,158,206,33.631395385
NC050294,2003-2004,136,196,41.95813958
NC053001,2003-2004,155,190,31.14418608
NC058625,2003-2004,137,190,32.550000035
NC058628,2003-2004,147,200,33.847674455
NC068351,2003-2004,127,185,41.417441905
NC072511,2003-2004,131,190,37.740697715
NC074341,2003-2004,139,199,39.470930275
NC001203,2004-2005,94,183,27.46744189
NC003561,2004-2005,64,170,NA
NC003561,2004-2005,71,169,NA
NC003561,2004-2005,78,169,NA
NC003561,2004-2005,79,169,NA
NC006476,2004-2005,112,171,35.90232562
NC006498,2004-2005,109,170,43.255814
NC006575,2004-2005,104,180,31.036046545
NC008793,2004-2005,118,176,28.873255845
NC008804,2004-2005,96,180,36.33488376
NC008858,2004-2005,119,176,25.9534884
NC010034,2004-2005,85,179,25.9534884
NC011702,2004-2005,116,170,34.929069805
NC011705,2004-2005,98,179,29.305813985
NC011706,2004-2005,126,168,41.95813958
NC011723,2004-2005,111,176,32.65813957
NC011970,2004-2005,117,179,31.36046515
NC012098,2004-2005,119,178,36.55116283
NC012564,2004-2005,120,179,32.00930236
NC012565,2004-2005,113,191,30.819767475
NC012566,2004-2005,114,178,34.280232595
NC012617,2004-2005,108,179,32.485116314
NC012632,2004-2005,112,175,27.68372096
NC015617,2004-2005,120,169,37.091860505
NC015895,2004-2005,115,175,30.49534887
NC018895,2004-2005,119,174,35.794186085
NC018908,2004-2005,114,174,35.25348841
NC018930,2004-2005,116,179,35.90232562
NC018938,2004-2005,121,174,NA
NC018987,2004-2005,112,171,36.443023295
NC018988,2004-2005,114,169,35.25348841
NC024021,2004-2005,112,176,34.280232595
NC024060,2004-2005,114,165,35.794186085
NC024255,2004-2005,100,181,32.65813957
NC024344,2004-2005,102,180,32.22558143
NC024442,2004-2005,103,180,31.252325615
NC024702,2004-2005,102,180,36.226744225
NC024705,2004-2005,108,180,35.68604655
NC024712,2004-2005,85,184,31.36046515
NC024722,2004-2005,107,179,28.440697705
NC024723,2004-2005,108,169,38.9302326
NC024736,2004-2005,117,180,32.00930236
NC024741,2004-2005,105,180,34.929069805
NC024744,2004-2005,101,183,29.954651195
NC024767,2004-2005,101,178,32.87441864
NC024781,2004-2005,102,180,31.57674422
NC027237,2004-2005,95,174,32.87441864
NC027266,2004-2005,113,179,35.68604655
NC027558,2004-2005,108,184,23.466279095
NC027603,2004-2005,116,169,43.03953493
NC027618,2004-2005,115,172,35.90232562
NC027621,2004-2005,109,178,28.1162791
NC027682,2004-2005,133,179,27.68372096
NC027692,2004-2005,112,183,27.03488375
NC027782,2004-2005,115,180,36.11860469
NC027787,2004-2005,111,180,34.82093027
NC027794,2004-2005,107,179,35.68604655
NC027813,2004-2005,115,179,32.00930236
NC027816,2004-2005,118,178,34.496511665
NC027828,2004-2005,115,179,42.498837255
NC027834,2004-2005,110,179,37.41627911
NC027844,2004-2005,113,180,34.82093027
NC027845,2004-2005,108,183,36.443023295
NC027847,2004-2005,118,180,31.901162825
NC027863,2004-2005,106,183,25.629069795
NC027867,2004-2005,104,165,29.738372125
NC027869,2004-2005,100,181,42.066279115
NC027890,2004-2005,97,179,31.036046545
NC027891,2004-2005,100,179,26.494186074999998
NC027897,2004-2005,93,176,29.19767445
NC027898,2004-2005,98,178,31.252325615
NC027904,2004-2005,111,179,31.901162825
NC027905,2004-2005,116,180,34.6046512
NC027906,2004-2005,102,183,38.28139539
NC027975,2004-2005,100,183,32.4418605
NC027978,2004-2005,120,180,28.656976775
NC027981,2004-2005,98,180,32.982558175
NC027983,2004-2005,103,180,27.143023285
NC027984,2004-2005,100,180,27.25116282
NC027986,2004-2005,109,183,33.631395385
NC027987,2004-2005,103,183,26.494186074999998
NC027989,2004-2005,89,184,28.440697705
NC028069,2004-2005,94,181,24.115116305
NC028373,2004-2005,111,183,31.901162825
NC028379,2004-2005,104,179,33.95581399
NC028398,2004-2005,98,174,25.08837212
NC028502,2004-2005,116,162,35.361627945
NC028518,2004-2005,112,165,33.30697678
NC028519,2004-2005,113,174,25.629069795
NC028523,2004-2005,102,174,31.57674422
NC028528,2004-2005,102,176,30.92790701
NC028529,2004-2005,110,174,31.57674422
NC028538,2004-2005,108,183,31.57674422
NC028545,2004-2005,111,176,31.684883755
NC028560,2004-2005,NA,NA,27.25116282
NC028560,2004-2005,114,176,NA
NC028560,2004-2005,117,176,NA
NC028560,2004-2005,92,176,NA
NC028560,2004-2005,97,178,NA
NC028571,2004-2005,88,179,26.061627935
NC028578,2004-2005,105,176,28.008139565
NC028581,2004-2005,86,184,31.468604685
NC028582,2004-2005,90,174,26.494186074999998
NC028634,2004-2005,96,176,41.0930233
NC028636,2004-2005,97,174,27.46744189
NC028647,2004-2005,105,176,28.76511631
NC028652,2004-2005,101,180,31.252325615
NC028670,2004-2005,100,178,31.684883755
NC028672,2004-2005,106,180,30.2790698
NC028673,2004-2005,108,165,21.627907
NC029456,2004-2005,99,179,34.063953525
NC029457,2004-2005,103,180,32.4418605
NC029458,2004-2005,92,183,33.30697678
NC029459,2004-2005,101,180,34.280232595
NC029462,2004-2005,103,179,28.76511631
NC029463,2004-2005,107,179,30.49534887
NC029464,2004-2005,117,179,34.280232595
NC029473,2004-2005,98,176,34.82093027
NC029478,2004-2005,99,179,32.87441864
NC029479,2004-2005,117,179,32.4418605
NC029480,2004-2005,104,176,34.929069805
NC029483,2004-2005,90,183,31.036046545
NC029486,2004-2005,107,179,39.79534888
NC029487,2004-2005,125,179,33.09069771
NC029489,2004-2005,119,179,32.87441864
NC029491,2004-2005,111,183,37.41627911
NC029492,2004-2005,110,183,37.740697715
NC029493,2004-2005,113,174,34.063953525
NC029495,2004-2005,117,174,33.30697678
NC029503,2004-2005,119,178,34.38837213
NC029511,2004-2005,98,180,37.308139575
NC029514,2004-2005,102,174,29.19767445
NC029520,2004-2005,108,178,35.03720934
NC029522,2004-2005,120,176,31.57674422
NC029528,2004-2005,117,174,33.30697678
NC029530,2004-2005,108,176,34.38837213
NC035373,2004-2005,98,174,32.117441895
NC035374,2004-2005,111,178,34.929069805
NC035378,2004-2005,106,176,32.65813957
NC035383,2004-2005,110,181,33.52325585
NC035384,2004-2005,112,178,33.847674455
NC035387,2004-2005,94,176,21.952325605
NC035391,2004-2005,109,179,37.84883725
NC035394,2004-2005,90,181,32.117441895
NC035396,2004-2005,126,179,29.954651195
NC035400,2004-2005,120,179,33.415116315
NC035414,2004-2005,97,174,36.55116283
NC035417,2004-2005,105,176,29.954651195
NC035418,2004-2005,101,171,33.73953492
NC035422,2004-2005,104,176,40.552325625
NC035525,2004-2005,115,180,26.16976747
NC035530,2004-2005,111,172,32.550000035
NC035532,2004-2005,91,165,38.06511632
NC035762,2004-2005,91,176,28.76511631
NC038466,2004-2005,111,165,30.603488405
NC038570,2004-2005,115,185,34.38837213
NC038574,2004-2005,102,174,28.98139538
NC040591,2004-2005,98,181,25.30465119
NC040600,2004-2005,94,180,33.415116315
NC047303,2004-2005,91,174,20.76279072
NC050283,2004-2005,105,180,31.36046515
NC050466,2004-2005,92,178,19.89767444
NC050494,2004-2005,91,180,26.926744215
NC050506,2004-2005,82,183,29.954651195
NC050789,2004-2005,74,170,30.2790698
NC052574,2004-2005,73,170,24.00697677
NC052722,2004-2005,79,199,29.305813985
NC052883,2004-2005,105,180,30.06279073
NC052997,2004-2005,94,180,22.384883745
NC052998,2004-2005,96,178,29.19767445
NC052999,2004-2005,70,165,26.81860468
NC053547,2004-2005,103,180,31.57674422
NC053549,2004-2005,105,174,38.389534925
NC068009,2004-2005,94,181,28.76511631
NC068345,2004-2005,89,176,27.575581425
NC069094,2004-2005,94,181,36.443023295
NC069334,2004-2005,100,180,30.71162794
NC071826,2004-2005,95,179,30.49534887
NC071934,2004-2005,110,181,30.49534887
NC072827,2004-2005,98,181,33.73953492
NC072880,2004-2005,101,178,31.79302329
NC074342,2004-2005,90,184,31.14418608
NC079028,2004-2005,87,171,32.65813957
NC080166,2004-2005,86,174,28.008139565
NC082510,2004-2005,121,174,35.68604655
NC082511,2004-2005,121,174,39.36279074
NC000761,2005-2006,113,182,33.415116315
NC003551,2005-2006,84,173,34.82093027
NC003561,2005-2006,NA,NA,28.12
NC003561,2005-2006,85,171,NA
NC003561,2005-2006,88,173,NA
NC003561,2005-2006,91,169,NA
NC003568,2005-2006,113,169,34.82093027
NC003587,2005-2006,117,171,33.631395385
