genotype,days_to_heading_BLUE,plant_height_BLUE,thousand_kernel_weight_BLUE
NC027897,179.33,108.3,34.94
NC027898,180.11,117.8,41.25
NC027899,NA,NA,NA
NC027901,NA,NA,NA
NC027902,NA,NA,NA
NC027903,NA,NA,NA
NC027904,NA,NA,NA
NC027905,NA,NA,NA
NC027906,189.38,116.4,38.61
NC027907,NA,NA,NA
NC027908,NA,NA,NA
NC027909,NA,NA,NA
NC027910,NA,NA,NA
NC027913,NA,NA,NA
NC027914,NA,NA,NA
NC027915,NA,NA,NA
NC027916,NA,NA,NA
NC027917,NA,NA,NA
NC027918,NA,NA,NA
NC027919,NA,NA,NA
NC027920,NA,NA,NA
NC027921,NA,NA,NA
NC027922,NA,NA,NA
NC027923,NA,NA,NA
NC027924,NA,NA,NA
NC027925,NA,NA,NA
NC027926,NA,NA,NA
NC027927,NA,NA,NA
NC027928,NA,NA,NA
NC027929,NA,NA,NA
NC027931,NA,NA,NA
NC027933,NA,NA,NA
NC027934,186.75,110.02,35.12
NC027935,NA,NA,NA
NC027936,NA,NA,NA
NC027937,NA,NA,NA
NC027938,NA,NA,NA
NC027939,NA,NA,NA
NC027940,NA,NA,NA
NC027942,NA,NA,NA
NC027943,NA,NA,NA
NC027944,NA,NA,NA
NC027945,NA,NA,NA
NC027946,NA,NA,NA
NC027947,NA,NA,NA
NC027948,168.01,113.75,31.13
NC027949,NA,NA,NA
NC027950,NA,NA,NA
NC027951,NA,NA,NA
NC027952,NA,NA,NA
NC027953,NA,NA,NA
NC027957,NA,NA,NA
NC027958,NA,NA,NA
NC027959,NA,NA,NA
NC027960,172.26,117.47,23.66
NC027961,NA,NA,NA
NC027962,NA,NA,NA
NC027963,176.52,93.63,34.69
NC027966,NA,NA,NA
NC027967,NA,NA,NA
NC027968,NA,NA,NA
NC027969,NA,NA,NA
NC027970,NA,NA,NA
NC027971,185.8,114.99,38.68
NC027972,NA,NA,NA
NC027973,180.12,105.14,31.85
NC027974,NA,NA,NA
NC027975,186.33,112.6,40.99
NC027977,NA,NA,NA
NC027978,181.5,134.85,36.94
NC027979,NA,NA,NA
NC027981,NA,NA,NA
NC027982,186.91,132.25,39.43
NC027983,NA,NA,NA
NC027984,NA,NA,NA
NC027985,NA,NA,NA
NC027986,NA,NA,NA
NC027987,189.99,125.5,39.64
NC027989,NA,NA,NA
NC027990,NA,NA,NA
NC027991,NA,NA,NA
NC027992,NA,NA,NA
NC027996,NA,NA,NA
NC027997,NA,NA,NA
NC028001,NA,NA,NA
NC028004,NA,NA,NA
NC028005,NA,NA,NA
NC028007,NA,NA,NA
NC028008,NA,NA,NA
NC028009,NA,NA,NA
NC028014,NA,NA,NA
NC028015,180.17,130.37,41.39
NC028016,160.28,115.17,44.55
NC028017,NA,NA,NA
NC028018,170.82,120.42,40.32
NC028019,NA,NA,NA
NC028020,NA,NA,NA
NC028022,NA,NA,NA
NC028023,NA,NA,NA
NC028024,NA,NA,NA
NC028025,183.01,119.87,33.51
NC028026,NA,NA,NA
NC028027,NA,NA,NA
NC028029,NA,NA,NA
NC028030,NA,NA,NA
NC028031,NA,NA,NA
NC028032,NA,NA,NA
NC028033,NA,NA,NA
NC028034,NA,NA,NA
NC028035,NA,NA,NA
NC028036,NA,NA,NA
NC028037,188.01,96.97,17.93
NC028038,NA,NA,NA
NC028040,NA,NA,NA
NC028041,NA,NA,NA
NC028043,NA,NA,NA
NC028044,NA,NA,NA
NC028045,185.01,103.85,25.72
NC028046,NA,NA,NA
NC028047,184.95,119.87,26.58
NC028049,NA,NA,NA
NC028050,NA,NA,NA
NC028051,NA,NA,NA
